Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U,
,,-,,,,,,,1608 ± 79,380 ± 30,5010 ± 210,401 ± 17,989 ± 68,96800 ± 7700,692000 ± 38000,5020 ± 280,819000 ± 38000,12.3 ± 1.3,1.00E+0 ± 0,454 ± 79,107 ± 30,4760 ± 210,227 ± 17,572 ± 68,96800 ± 7700,692000 ± 38000,5020 ± 280,816000 ± 38000,7.75 ± 0.70,454 ± 79,107 ± 30,4760 ± 210,227 ± 17,572 ± 68,96800 ± 7700,692000 ± 38000,5020 ± 280,816000 ± 38000,0.00702 ± 0.00025,45.1 ± 1.6,0.0469 ± 0.0032,46.4 ± 3.1,0.00642 ± 0.00100,129 ± 20,0.1710 ± 0.0060,1015 ± 33,0.154 ± 0.011,144.5 ± 9.5,0.197 ± 0.032,3460 ± 510,0.0489 ± 0.0031,567 ± 92,0.00906 ± 0.00032,58.1 ± 2.0,0.0599 ± 0.0042,58.8 ± 4.0,0 ± 0.0E+0,0 ± 0.0E+0,0.0486 ± 0.0031,564 ± 91,113.5 ± 4.2,2.50 ± 0.23,64.3 ± 3.5,27.7 ± 2.2,0.169412,0.242697,
,,-,,,,,,,1631 ± 76,397 ± 39,409000 ± 27000,37000 ± 2500,44800 ± 1600,325000 ± 25000,2180000 ± 180000,15800 ± 1300,3020000 ± 200000,10.1 ± 1.1,1.00E+0 ± 0,482 ± 76,125 ± 39,409000 ± 27000,36900 ± 2500,44400 ± 1600,325000 ± 25000,2180000 ± 180000,15800 ± 1300,3020000 ± 200000,7.9 ± 1.2,482 ± 76,125 ± 39,409000 ± 27000,36900 ± 2500,44400 ± 1600,325000 ± 25000,2180000 ± 180000,15800 ± 1300,3020000 ± 200000,0.1903 ± 0.0040,1122 ± 22,2.363 ± 0.050,1229 ± 15,0.1452 ± 0.0097,2730 ± 170,4.710 ± 0.091,11210 ± 100,7.90 ± 0.15,2217 ± 17,4.39 ± 0.29,33700 ± 1100,0.09006 ± 0.00046,1425.4 ± 9.7,0.2484 ± 0.0048,1429 ± 25,3.047 ± 0.057,1418 ± 14,0 ± 0.0E+0,0 ± 0.0E+0,0.08947 ± 0.00045,1412.8 ± 9.7,4.056 ± 0.078,2.53 ± 0.37,206 ± 17,94.7 ± 7.2,0.173675,0.965114,
,,-,,,,,,,1619 ± 69,397 ± 38,911000 ± 37000,150700 ± 5900,218100 ± 5100,867000 ± 34000,2470000 ± 130000,17920 ± 940,4640000 ± 170000,12.0 ± 1.1,1.00E+0 ± 0,473 ± 69,125 ± 38,910000 ± 37000,150500 ± 5900,217600 ± 5100,867000 ± 34000,2470000 ± 130000,17920 ± 940,4640000 ± 170000,2.85 ± 0.18,473 ± 69,125 ± 38,910000 ± 37000,150500 ± 5900,217600 ± 5100,867000 ± 34000,2470000 ± 130000,17920 ± 940,4640000 ± 170000,0.3731 ± 0.0085,2042 ± 40,8.51 ± 0.20,2286 ± 22,0.2548 ± 0.0084,4580 ± 130,9.05 ± 0.20,14870 ± 130,27.99 ± 0.59,3415 ± 21,7.77 ± 0.28,43680 ± 640,0.16532 ± 0.00058,2509.8 ± 5.9,0.475 ± 0.010,2501 ± 45,10.74 ± 0.23,2497 ± 20,0 ± 0.0E+0,0 ± 0.0E+0,0.16416 ± 0.00058,2497.9 ± 5.9,2.119 ± 0.047,0.914 ± 0.058,236 ± 12,255.5 ± 9.9,0.0398118,0.978481,
,,-,,,,,,,1637 ± 81,411 ± 41,1182000 ± 37000,355000 ± 11000,225600 ± 5000,601000 ± 29000,2067000 ± 92000,14990 ± 670,4450000 ± 140000,13.40 ± 1.00,1.00E+0 ± 0,494 ± 81,140 ± 41,1182000 ± 37000,355000 ± 11000,225200 ± 5000,601000 ± 29000,2067000 ± 92000,14990 ± 670,4450000 ± 140000,3.56 ± 0.24,494 ± 81,140 ± 41,1182000 ± 37000,355000 ± 11000,225200 ± 5000,601000 ± 29000,2067000 ± 92000,14990 ± 670,4450000 ± 140000,0.577 ± 0.014,2943 ± 62,23.92 ± 0.62,3265 ± 26,0.383 ± 0.018,6580 ± 270,13.86 ± 0.33,17400 ± 150,77.9 ± 2.0,4435 ± 27,11.87 ± 0.59,51330 ± 900,0.3007 ± 0.0011,3473.1 ± 5.7,0.725 ± 0.017,3510 ± 63,29.80 ± 0.76,3480 ± 26,0 ± 0.0E+0,0 ± 0.0E+0,0.2985 ± 0.0011,3461.8 ± 5.8,1.385 ± 0.033,1.142 ± 0.078,198.4 ± 8.8,178.3 ± 8.5,-0.147707,0.977391,
,,-,,,,,,,1691 ± 72,390 ± 36,781000 ± 22000,70900 ± 2100,146800 ± 5400,1062000 ± 47000,4040000 ± 140000,29300 ± 1000,6130000 ± 200000,10.5 ± 1.1,1.00E+0 ± 0,550 ± 72,119 ± 36,781000 ± 22000,70800 ± 2100,146400 ± 5400,1062000 ± 47000,4040000 ± 140000,29300 ± 1000,6130000 ± 200000,3.88 ± 0.15,550 ± 72,119 ± 36,781000 ± 22000,70800 ± 2100,146400 ± 5400,1062000 ± 47000,4040000 ± 140000,29300 ± 1000,6130000 ± 200000,0.1935 ± 0.0032,1140 ± 17,2.429 ± 0.041,1250 ± 12,0.1387 ± 0.0039,2622 ± 69,4.776 ± 0.079,11293 ± 88,8.11 ± 0.13,2241 ± 15,4.23 ± 0.13,33320 ± 490,0.09113 ± 0.00037,1448.0 ± 7.6,0.2493 ± 0.0041,1434 ± 21,3.093 ± 0.051,1429 ± 12,0 ± 0.0E+0,0 ± 0.0E+0,0.09044 ± 0.00036,1433.7 ± 7.6,4.035 ± 0.066,1.243 ± 0.049,390 ± 14,317 ± 14,-0.0559638,0.957684,
,,-,,,,,,,1543 ± 82,423 ± 39,91800 ± 3100,6980 ± 240,9740 ± 350,88100 ± 8700,634000 ± 29000,4600 ± 210,836000 ± 35000,8.6 ± 1.1,1.00E+0 ± 0,404 ± 82,153 ± 39,91500 ± 3100,6800 ± 240,9310 ± 350,88100 ± 8700,634000 ± 29000,4600 ± 210,834000 ± 35000,8.7 ± 1.4,404 ± 82,153 ± 39,91500 ± 3100,6800 ± 240,9310 ± 350,88100 ± 8700,634000 ± 29000,4600 ± 210,834000 ± 35000,0.1453 ± 0.0058,873 ± 33,1.489 ± 0.063,924 ± 26,0.124 ± 0.019,2200 ± 200,3.67 ± 0.15,9880 ± 200,4.94 ± 0.27,1811 ± 41,3.58 ± 0.58,28200 ± 2000,0.07447 ± 0.00081,1050 ± 22,0.1912 ± 0.0078,1126 ± 41,1.88 ± 0.10,1078 ± 31,0 ± 0.0E+0,0 ± 0.0E+0,0.07389 ± 0.00081,1035 ± 22,5.38 ± 0.20,2.77 ± 0.45,61.5 ± 2.8,26.4 ± 2.6,-0.0952376,0.968247,
,,-,,,,,,,1642 ± 65,390 ± 34,7950 ± 220,549 ± 22,1298 ± 54,156000 ± 11000,1191000 ± 56000,8630 ± 400,1377000 ± 58000,10.6 ± 1.2,1.00E+0 ± 0,506 ± 65,120 ± 34,7700 ± 220,369 ± 22,867 ± 54,156000 ± 11000,1191000 ± 56000,8630 ± 400,1375000 ± 58000,8.41 ± 0.65,506 ± 65,120 ± 34,7700 ± 220,369 ± 22,867 ± 54,156000 ± 11000,1191000 ± 56000,8630 ± 400,1375000 ± 58000,0.00656 ± 0.00024,42.1 ± 1.5,0.0437 ± 0.0025,43.4 ± 2.4,0.00624 ± 0.00060,126 ± 12,0.1608 ± 0.0058,959 ± 32,0.1416 ± 0.0076,134.0 ± 6.8,0.182 ± 0.018,3340 ± 300,0.0489 ± 0.0026,420 ± 81,0.00835 ± 0.00030,53.6 ± 1.9,0.0537 ± 0.0029,53.1 ± 2.8,0 ± 0.0E+0,0 ± 0.0E+0,0.0485 ± 0.0026,425 ± 81,123.0 ± 4.2,2.69 ± 0.21,116.1 ± 5.4,47.0 ± 3.4,0.073847,0.096675,
,,-,,,,,,,1634 ± 75,363 ± 34,395000 ± 25000,36600 ± 2400,62700 ± 1700,436000 ± 20000,1950000 ± 120000,14190 ± 840,2910000 ± 150000,9.8 ± 1.1,1.00E+0 ± 0,502 ± 75,93 ± 34,395000 ± 25000,36400 ± 2400,62200 ± 1700,436000 ± 20000,1950000 ± 120000,14190 ± 840,2900000 ± 150000,4.47 ± 0.25,502 ± 75,93 ± 34,395000 ± 25000,36400 ± 2400,62200 ± 1700,436000 ± 20000,1950000 ± 120000,14190 ± 840,2900000 ± 150000,0.2018 ± 0.0050,1184 ± 27,2.556 ± 0.067,1285 ± 19,0.1421 ± 0.0053,2681 ± 93,5.00 ± 0.11,11520 ± 120,8.51 ± 0.18,2287 ± 20,4.33 ± 0.19,33590 ± 700,0.09191 ± 0.00055,1464 ± 11,0.2580 ± 0.0059,1478 ± 30,3.209 ± 0.067,1460 ± 17,0 ± 0.0E+0,0 ± 0.0E+0,0.09113 ± 0.00054,1448 ± 11,3.914 ± 0.087,1.428 ± 0.081,192 ± 11,133.1 ± 6.1,0.0563218,0.947284,
,,-,,,,,,,1511 ± 61,393 ± 32,116300 ± 3800,6590 ± 230,17680 ± 660,405000 ± 22000,2103000 ± 89000,15260 ± 650,2660000 ± 110000,11.9 ± 1.2,1.00E+0 ± 0,381 ± 61,125 ± 32,116000 ± 3800,6400 ± 230,17240 ± 660,405000 ± 22000,2103000 ± 89000,15250 ± 650,2660000 ± 110000,5.30 ± 0.23,381 ± 61,125 ± 32,116000 ± 3800,6400 ± 230,17240 ± 660,405000 ± 22000,2103000 ± 89000,15250 ± 650,2660000 ± 110000,0.0547 ± 0.0011,343.4 ± 6.7,0.4198 ± 0.0088,355.4 ± 6.2,0.0438 ± 0.0019,866 ± 36,1.347 ± 0.029,5488 ± 78,1.391 ± 0.030,883 ± 13,1.336 ± 0.064,16980 ± 540,0.05561 ± 0.00051,433 ± 20,0.0694 ± 0.0015,432.3 ± 9.0,0.524 ± 0.011,426.8 ± 7.5,0 ± 0.0E+0,0 ± 0.0E+0,0.05512 ± 0.00050,413 ± 21,14.56 ± 0.30,1.692 ± 0.073,208.1 ± 8.9,124.1 ± 6.9,0.173321,0.898389,
,,-,,,,,,,1604 ± 89,403 ± 40,1196000 ± 52000,197700 ± 8700,196600 ± 7600,798000 ± 42000,3230000 ± 140000,23400 ± 1000,5640000 ± 230000,8.9 ± 1.0,1.00E+0 ± 0,476 ± 89,134 ± 40,1196000 ± 52000,197500 ± 8700,196200 ± 7600,798000 ± 42000,3230000 ± 140000,23400 ± 1000,5640000 ± 230000,4.13 ± 0.18,476 ± 89,134 ± 40,1196000 ± 52000,197500 ± 8700,196200 ± 7600,798000 ± 42000,3230000 ± 140000,23400 ± 1000,5640000 ± 230000,0.3710 ± 0.0072,2032 ± 34,8.45 ± 0.16,2281 ± 17,0.250 ± 0.010,4500 ± 160,9.22 ± 0.15,14989 ± 99,28.42 ± 0.52,3431 ± 18,7.44 ± 0.27,43080 ± 690,0.16499 ± 0.00067,2507.8 ± 7.2,0.4736 ± 0.0076,2504 ± 36,10.66 ± 0.20,2492 ± 17,0 ± 0.0E+0,0 ± 0.0E+0,0.16350 ± 0.00066,2492.5 ± 7.3,2.115 ± 0.036,1.315 ± 0.059,321 ± 14,246 ± 13,0.00782577,0.957904,
