Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U,
,,-,,,,,,,1620 ± 85,448 ± 40,1429000 ± 65000,425000 ± 19000,170500 ± 7500,434000 ± 25000,2430000 ± 140000,17660 ± 980,4920000 ± 240000,10.3 ± 1.0,1.00E+0 ± 0,494 ± 85,180 ± 40,1429000 ± 65000,425000 ± 19000,170000 ± 7500,434000 ± 25000,2430000 ± 140000,17660 ± 980,4920000 ± 240000,5.64 ± 0.30,494 ± 85,180 ± 40,1429000 ± 65000,425000 ± 19000,170000 ± 7500,434000 ± 25000,2430000 ± 140000,17660 ± 980,4920000 ± 240000,0.594 ± 0.014,3003 ± 56,24.38 ± 0.61,3279 ± 25,0.396 ± 0.019,6710 ± 270,14.60 ± 0.33,17690 ± 140,81.0 ± 1.8,4470 ± 23,12.01 ± 0.58,51550 ± 870,0.2978 ± 0.0013,3457.7 ± 6.7,0.748 ± 0.017,3595 ± 62,30.30 ± 0.69,3492 ± 22,0 ± 0.0E+0,0 ± 0.0E+0,0.2950 ± 0.0013,3443.2 ± 6.7,1.348 ± 0.030,1.797 ± 0.096,243 ± 14,134.8 ± 7.9,-0.0927499,0.977504,
,,-,,,,,,,1621 ± 75,373 ± 31,63600 ± 2500,3690 ± 170,9250 ± 530,238000 ± 19000,1187000 ± 53000,8610 ± 380,1502000 ± 72000,10.6 ± 1.2,1.00E+0 ± 0,497 ± 75,105 ± 31,63300 ± 2500,3510 ± 170,8810 ± 530,238000 ± 19000,1187000 ± 53000,8610 ± 380,1500000 ± 72000,5.35 ± 0.38,497 ± 75,105 ± 31,63300 ± 2500,3510 ± 170,8810 ± 530,238000 ± 19000,1187000 ± 53000,8610 ± 380,1500000 ± 72000,0.0534 ± 0.0013,335.0 ± 8.2,0.411 ± 0.011,350.2 ± 7.9,0.0394 ± 0.0025,780 ± 49,1.317 ± 0.032,5405 ± 89,1.375 ± 0.035,876 ± 15,1.202 ± 0.074,15820 ± 690,0.05590 ± 0.00083,452 ± 33,0.0673 ± 0.0016,419.9 ± 9.9,0.513 ± 0.013,419.7 ± 8.7,0 ± 0.0E+0,0 ± 0.0E+0,0.05536 ± 0.00083,431 ± 33,15.04 ± 0.37,1.70 ± 0.12,119.2 ± 5.3,74.3 ± 6.0,0.350089,0.858153,
,,-,,,,,,,1295 ± 93,293 ± 43,401 ± 81,163 ± 18,369 ± 50,0 ± 0.0E+0,1600 ± 1600,12 ± 11,4200 ± 1600,0.021 ± 0.021,1.00E+0 ± 0,74 ± 95,9 ± 44,173 ± 82,16 ± 18,10 ± 52,-0.0000147653 ± 0.0000000012,1700 ± 1600,12 ± 12,2000 ± 1600,-110000000 ± 110000000,74 ± 95,9 ± 44,173 ± 82,16 ± 18,10 ± 52,-0.0000147653 ± 0.0000000012,1700 ± 1600,12 ± 12,2000 ± 1600,-810000 ± 440000,47000 ± 26000,-710 ± 710,5500 ± 1500,-700000 ± 3500000,319500 ± 6300,-810000 ± 440000,47000 ± 26000,-710 ± 710,5500 ± 1500,-700000 ± 3500000,319500 ± 6300,-0.40 ± 0.71,2770 ± 810,-45000 ± 25000,36000 ± 20000,-290 ± 290,4800 ± 1300,0 ± 0.0E+0,0 ± 0.0E+0,-0.40 ± 0.70,2770 ± 810,640 ± 950,-35000000 ± 34000000,0.11 ± 0.11,-3.07E-9 ± 0,nan,nan,
,,-,,,,,,,1240 ± 60,283 ± 30,213 ± 22,141 ± 11,377 ± 39,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2254 ± 84,0 ± 0.0E+0,1.00E+0 ± 0,22 ± 60,-4 ± 30,-21 ± 22,-7 ± 11,16 ± 39,-0.0000146970 ± 0.0000000016,-0.000179956 ± 0.000000038,-0.0246818 ± 0.0000052,18 ± 84,12.2444 ± 0.0013,22 ± 60,-4 ± 30,-21 ± 22,-7 ± 11,16 ± 39,-0.0000146970 ± 0.0000000016,-0.000179956 ± 0.000000038,-0.0246818 ± 0.0000052,18 ± 84,120000 ± 120000,81300 ± 1700,270 ± 450,7260 ± 240,-1100000 ± 2600000,318200 ± 5000,120000 ± 120000,81300 ± 1700,270 ± 450,7260 ± 240,-1100000 ± 2600000,318200 ± 5000,0.09 ± 0.40,3280 ± 470,6700 ± 6900,62800 ± 1700,110 ± 180,6360 ± 240,0 ± 0.0E+0,0 ± 0.0E+0,0.09 ± 0.40,3280 ± 470,0.000017 ± 0.000030,3.84763 ± 0.00031,-1.20E-8 ± 0,-3.08E-9 ± 0,nan,nan,
,,-,,,,,,,1176 ± 63,291 ± 31,205 ± 20,144 ± 11,353 ± 33,0 ± 0.0E+0,630 ± 940,4.6 ± 6.8,2810 ± 950,0.0057 ± 0.0080,1.00E+0 ± 0,-40 ± 63,4 ± 31,-29 ± 20,-5 ± 11,-11 ± 33,-0.0000145995 ± 0.0000000017,630 ± 940,4.6 ± 6.8,570 ± 950,-43000000 ± 64000000,-40 ± 63,4 ± 31,-29 ± 20,-5 ± 11,-11 ± 33,-0.0000145995 ± 0.0000000017,630 ± 940,4.6 ± 6.8,570 ± 950,170000 ± 110000,79900 ± 5100,170 ± 450,7010 ± 620,700000 ± 2200000,317900 ± 3900,170000 ± 110000,79900 ± 5100,170 ± 450,7010 ± 620,700000 ± 2200000,317900 ± 3900,0.06 ± 0.38,3290 ± 420,9500 ± 6400,62200 ± 4000,70 ± 190,6180 ± 530,0 ± 0.0E+0,0 ± 0.0E+0,0.06 ± 0.38,3280 ± 420,-430 ± 950,-14000000 ± 20000000,0.043 ± 0.063,-3.09E-9 ± 0,nan,nan,
,,-,,,,,,,1198 ± 67,287 ± 35,246 ± 27,139 ± 10,367 ± 35,0 ± 0.0E+0,1200 ± 1300,9.0 ± 9.3,3500 ± 1300,0.017 ± 0.017,1.00E+0 ± 0,-15 ± 67,1 ± 35,11 ± 27,-11 ± 10,2 ± 35,-0.0000145077 ± 0.0000000016,1200 ± 1300,9.0 ± 9.3,1200 ± 1300,-85000000 ± 88000000,-15 ± 67,1 ± 35,11 ± 27,-11 ± 10,2 ± 35,-0.0000145077 ± 0.0000000016,1200 ± 1300,9.0 ± 9.3,1200 ± 1300,-40000 ± 150000,71500 ± 9300,450 ± 420,6560 ± 740,-100000 ± 2400000,321000 ± 4400,-40000 ± 150000,71500 ± 9300,450 ± 420,6560 ± 740,-100000 ± 2400000,321000 ± 4400,-0.02 ± 0.27,3300 ± 460,-2500 ± 8300,55100 ± 7300,190 ± 170,5420 ± 780,0 ± 0.0E+0,0 ± 0.0E+0,-0.02 ± 0.27,3300 ± 460,600 ± 1200,-27000000 ± 28000000,0.084 ± 0.087,-3.10E-9 ± 0,nan,nan,
,,-,,,,,,,1238 ± 80,299 ± 37,270 ± 39,167 ± 13,355 ± 49,690 ± 960,340 ± 690,2.5 ± 5.0,3400 ± 1200,0.0047 ± 0.0093,1.00E+0 ± 0,27 ± 80,13 ± 37,35 ± 39,16 ± 13,-12 ± 49,690 ± 960,340 ± 690,2.5 ± 5.0,1100 ± 1200,-24000000 ± 48000000,27 ± 80,13 ± 37,35 ± 39,16 ± 13,-12 ± 49,690 ± 960,340 ± 690,2.5 ± 5.0,1100 ± 1200,-200000 ± 230000,76300 ± 8400,-670 ± 540,6240 ± 890,800000 ± 3400000,297000 ± 35000,-200000 ± 230000,76300 ± 8400,-670 ± 540,6240 ± 890,800000 ± 3400000,297000 ± 35000,0.34 ± 0.59,3680 ± 390,-11000 ± 13000,58600 ± 6600,-280 ± 220,5380 ± 830,0 ± 0.0E+0,0 ± 0.0E+0,0.33 ± 0.59,3670 ± 390,130 ± 270,-8000000 ± 15000000,0.024 ± 0.047,0.15 ± 0.21,nan,nan,
,,-,,,,,,,1074 ± 60,257 ± 30,248 ± 38,158 ± 11,383 ± 38,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2121 ± 88,0 ± 0.0E+0,1.00E+0 ± 0,-135 ± 60,-28 ± 30,12 ± 38,6 ± 11,14 ± 38,-0.0000143221 ± 0.0000000017,-0.000170820 ± 0.000000040,-0.0234295 ± 0.0000055,-121 ± 88,11.9270 ± 0.0014,-135 ± 60,-28 ± 30,12 ± 38,6 ± 11,14 ± 38,-0.0000143221 ± 0.0000000017,-0.000170820 ± 0.000000040,-0.0234295 ± 0.0000055,-121 ± 88,-70000 ± 220000,82400 ± 1500,-250 ± 460,6470 ± 510,-1000000 ± 2700000,320700 ± 4400,-70000 ± 220000,82400 ± 1500,-250 ± 460,6470 ± 510,-1000000 ± 2700000,320700 ± 4400,0.09 ± 0.26,2780 ± 630,-4000 ± 12000,63900 ± 1500,-100 ± 190,5570 ± 500,0 ± 0.0E+0,0 ± 0.0E+0,0.09 ± 0.26,2770 ± 630,0.000015 ± 0.000023,3.76946 ± 0.00036,-1.19E-8 ± 0,-3.13E-9 ± 0,nan,nan,
,,-,,,,,,,1185 ± 83,270 ± 38,261 ± 33,165 ± 13,419 ± 39,300 ± 600,1200 ± 1400,9 ± 10,3800 ± 1600,0.012 ± 0.014,1.00E+0 ± 0,26 ± 83,-5 ± 38,13 ± 33,-6 ± 13,7 ± 39,300 ± 600,1200 ± 1400,9 ± 10,1500 ± 1600,-100000000 ± 120000000,26 ± 83,-5 ± 38,13 ± 33,-6 ± 13,7 ± 39,300 ± 600,1200 ± 1400,9 ± 10,1500 ± 1600,-140000 ± 270000,76000 ± 11000,320 ± 780,6860 ± 800,-400000 ± 3200000,308000 ± 25000,-140000 ± 270000,76000 ± 11000,320 ± 780,6860 ± 800,-400000 ± 3200000,308000 ± 25000,-0.6 ± 1.3,2560 ± 620,-8000 ± 15000,58900 ± 8600,130 ± 310,6000 ± 700,0 ± 0.0E+0,0 ± 0.0E+0,-0.6 ± 1.2,2550 ± 620,-410 ± 490,-32000000 ± 38000000,0.11 ± 0.13,0.08 ± 0.17,nan,nan,
,,-,,,,,,,1149 ± 77,292 ± 37,229 ± 27,144 ± 13,396 ± 40,0 ± 0.0E+0,290 ± 590,2.1 ± 4.3,2510 ± 590,0.0040 ± 0.0079,1.00E+0 ± 0,-8 ± 77,17 ± 37,-19 ± 27,-28 ± 13,-18 ± 40,-0.0000120869 ± 0.0000000015,290 ± 590,2.1 ± 4.3,230 ± 590,-24000000 ± 49000000,-8 ± 77,17 ± 37,-19 ± 27,-28 ± 13,-18 ± 40,-0.0000120869 ± 0.0000000015,290 ± 590,2.1 ± 4.3,230 ± 590,180000 ± 230000,83600 ± 6000,1680 ± 800,7720 ± 500,1500000 ± 3300000,319800 ± 5300,180000 ± 230000,83600 ± 6000,1680 ± 800,7720 ± 500,1500000 ± 3300000,319800 ± 5300,-1.9 ± 2.3,3360 ± 630,9000 ± 12000,65300 ± 4700,660 ± 310,6800 ± 430,0 ± 0.0E+0,0 ± 0.0E+0,-1.9 ± 2.3,3350 ± 630,90 ± 170,-8000000 ± 16000000,0.027 ± 0.054,-3.42E-9 ± 0,nan,nan,
,,-,,,,,,,1245 ± 81,283 ± 36,228 ± 26,165 ± 14,410 ± 53,0 ± 0.0E+0,660 ± 920,4.8 ± 6.7,2990 ± 960,0.009 ± 0.012,1.00E+0 ± 0,90 ± 81,9 ± 36,-20 ± 26,-9 ± 14,-5 ± 53,-0.0000119911 ± 0.0000000014,660 ± 920,4.8 ± 6.7,720 ± 960,-55000000 ± 77000000,90 ± 81,9 ± 36,-20 ± 26,-9 ± 14,-5 ± 53,-0.0000119911 ± 0.0000000014,660 ± 920,4.8 ± 6.7,720 ± 960,190000 ± 220000,79800 ± 9000,570 ± 920,7370 ± 850,400000 ± 4400000,322000 ± 6200,190000 ± 220000,79800 ± 9000,570 ± 920,7370 ± 850,400000 ± 4400000,322000 ± 6200,0.0 ± 3.3,3170 ± 740,10000 ± 12000,62300 ± 7100,220 ± 360,6480 ± 760,0 ± 0.0E+0,0 ± 0.0E+0,0.0 ± 3.3,3160 ± 740,-150 ± 440,-18000000 ± 25000000,0.061 ± 0.085,-3.42E-9 ± 0,nan,nan,
,,-,,,,,,,1196 ± 86,280 ± 34,250 ± 29,166 ± 13,395 ± 43,0 ± 0.0E+0,1000 ± 1100,6.9 ± 7.8,3200 ± 1100,0.013 ± 0.015,1.00E+0 ± 0,43 ± 86,7 ± 34,1 ± 29,-8 ± 13,-22 ± 43,-0.0000119030 ± 0.0000000014,1000 ± 1100,6.9 ± 7.8,1000 ± 1100,-80000000 ± 90000000,43 ± 86,7 ± 34,1 ± 29,-8 ± 13,-22 ± 43,-0.0000119030 ± 0.0000000014,1000 ± 1100,6.9 ± 7.8,1000 ± 1100,-50000 ± 260000,76000 ± 11000,440 ± 860,7020 ± 920,1900000 ± 3600000,324500 ± 5300,-50000 ± 260000,76000 ± 11000,440 ± 860,7020 ± 920,1900000 ± 3600000,324500 ± 5300,-0.0 ± 3.4,3410 ± 530,-3000 ± 14000,59300 ± 8700,170 ± 330,6160 ± 810,0 ± 0.0E+0,0 ± 0.0E+0,-0.0 ± 3.4,3400 ± 530,-330 ± 430,-26000000 ± 29000000,0.09 ± 0.10,-3.42E-9 ± 0,nan,nan,
,,-,,,,,,,1193 ± 75,250 ± 38,229 ± 32,167 ± 21,388 ± 53,0 ± 0.0E+0,900 ± 1300,6.6 ± 9.2,3100 ± 1300,0.012 ± 0.017,1.00E+0 ± 0,42 ± 75,-23 ± 38,-20 ± 32,-8 ± 21,-32 ± 53,-0.0000118091 ± 0.0000000012,900 ± 1300,6.6 ± 9.2,900 ± 1300,-80000000 ± 110000000,42 ± 75,-23 ± 38,-20 ± 32,-8 ± 21,-32 ± 53,-0.0000118091 ± 0.0000000012,900 ± 1300,6.6 ± 9.2,900 ± 1300,190000 ± 280000,78000 ± 13000,600 ± 1400,7300 ± 1100,2700000 ± 4500000,325100 ± 5700,190000 ± 280000,78000 ± 13000,600 ± 1400,7300 ± 1100,2700000 ± 4500000,325100 ± 5700,-0.2 ± 7.4,3700 ± 390,10000 ± 15000,61000 ± 10000,220 ± 530,6400 ± 1000,0 ± 0.0E+0,0 ± 0.0E+0,-0.2 ± 7.3,3690 ± 390,-20 ± 230,-25000000 ± 34000000,0.08 ± 0.12,-3.42E-9 ± 0,nan,nan,
,,-,,,,,,,1184 ± 59,285 ± 35,304 ± 51,180 ± 11,420 ± 45,260 ± 530,530 ± 740,3.8 ± 5.4,3170 ± 910,0.007 ± 0.010,1.00E+0 ± 0,36 ± 59,13 ± 35,54 ± 51,4 ± 11,-1 ± 45,260 ± 530,530 ± 740,3.8 ± 5.4,890 ± 910,-45000000 ± 63000000,36 ± 59,13 ± 35,54 ± 51,4 ± 11,-1 ± 45,260 ± 530,530 ± 740,3.8 ± 5.4,890 ± 910,-490000 ± 470000,78000 ± 10000,-240 ± 750,6550 ± 760,0 ± 3800000,313000 ± 20000,-490000 ± 470000,78000 ± 10000,-240 ± 750,6550 ± 760,0 ± 3800000,313000 ± 20000,13 ± 17,3180 ± 690,-26000 ± 25000,60200 ± 8100,-90 ± 290,5650 ± 700,0 ± 0.0E+0,0 ± 0.0E+0,13 ± 17,3170 ± 690,160 ± 220,-14000000 ± 20000000,0.050 ± 0.070,0.08 ± 0.15,nan,nan,
,,-,,,,,,,1156 ± 64,281 ± 35,351 ± 60,190 ± 13,410 ± 39,0 ± 0.0E+0,260 ± 510,1.9 ± 3.7,2650 ± 550,0.0035 ± 0.0069,1.00E+0 ± 0,10 ± 64,9 ± 35,101 ± 60,13 ± 13,-13 ± 39,-0.0000116271 ± 0.0000000016,260 ± 510,1.8 ± 3.7,360 ± 550,-22000000 ± 44000000,10 ± 64,9 ± 35,101 ± 60,13 ± 13,-13 ± 39,-0.0000116271 ± 0.0000000016,260 ± 510,1.8 ± 3.7,360 ± 550,-870000 ± 560000,69500 ± 8700,-960 ± 920,7150 ± 700,1100000 ± 3400000,323800 ± 4600,-870000 ± 560000,69500 ± 8700,-960 ± 920,7150 ± 700,1100000 ± 3400000,323800 ± 4600,-17 ± 21,3110 ± 550,-46000 ± 29000,51200 ± 7900,-370 ± 350,6220 ± 640,0 ± 0.0E+0,0 ± 0.0E+0,-17 ± 21,3100 ± 550,9 ± 17,-7000000 ± 14000000,0.024 ± 0.049,-3.41E-9 ± 0,nan,nan,
,,-,,,,,,,1136 ± 50,261 ± 29,329 ± 43,192 ± 16,475 ± 51,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2392 ± 99,0 ± 0.0E+0,1.00E+0 ± 0,-9 ± 50,-11 ± 29,78 ± 43,14 ± 16,51 ± 51,-0.0000115374 ± 0.0000000015,-0.000102954 ± 0.000000036,-0.0141275 ± 0.0000049,107 ± 99,8.9235 ± 0.0020,-9 ± 50,-11 ± 29,78 ± 43,14 ± 16,51 ± 51,-0.0000115374 ± 0.0000000015,-0.000102954 ± 0.000000036,-0.0141275 ± 0.0000049,107 ± 99,-760000 ± 420000,76700 ± 6600,-1000 ± 1100,7730 ± 500,-4400000 ± 4400000,324200 ± 5800,-760000 ± 420000,76700 ± 6600,-1000 ± 1100,7730 ± 500,-4400000 ± 4400000,324200 ± 5800,2.3 ± 6.4,2880 ± 500,-40000 ± 22000,57700 ± 6600,-390 ± 440,6760 ± 500,0 ± 0.0E+0,0 ± 0.0E+0,2.3 ± 6.3,2860 ± 500,0.00025 ± 0.00023,2.86311 ± 0.00067,-9.84E-9 ± 0,-3.41E-9 ± 0,nan,nan,
,,-,,,,,,,1093 ± 82,286 ± 39,326 ± 43,204 ± 13,405 ± 48,0 ± 0.0E+0,610 ± 850,4.4 ± 6.2,2930 ± 830,0.008 ± 0.012,1.00E+0 ± 0,-50 ± 82,15 ± 39,75 ± 43,26 ± 13,-21 ± 48,-0.0000114439 ± 0.0000000014,610 ± 850,4.4 ± 6.2,640 ± 830,-53000000 ± 75000000,-50 ± 82,15 ± 39,75 ± 43,26 ± 13,-21 ± 48,-0.0000114439 ± 0.0000000014,610 ± 850,4.4 ± 6.2,640 ± 830,-770000 ± 410000,71000 ± 13000,-1710 ± 970,6440 ± 1000,1900000 ± 4200000,328100 ± 5100,-770000 ± 410000,71000 ± 13000,-1710 ± 970,6440 ± 1000,1900000 ± 4200000,328100 ± 5100,-3.9 ± 4.6,3240 ± 330,-40000 ± 22000,54000 ± 10000,-650 ± 370,5540 ± 920,0 ± 0.0E+0,0 ± 0.0E+0,-3.9 ± 4.6,3230 ± 330,-4900 ± 9700,-17000000 ± 24000000,0.059 ± 0.082,-3.40E-9 ± 0,nan,nan,
,,-,,,,,,,1187 ± 70,261 ± 33,245 ± 26,184 ± 11,458 ± 43,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2334 ± 99,0 ± 0.0E+0,1.00E+0 ± 0,46 ± 70,-10 ± 33,-7 ± 26,5 ± 11,30 ± 43,-0.0000113473 ± 0.0000000016,-0.000098320 ± 0.000000039,-0.0134924 ± 0.0000053,46 ± 99,8.6647 ± 0.0022,46 ± 70,-10 ± 33,-7 ± 26,5 ± 11,30 ± 43,-0.0000113473 ± 0.0000000016,-0.000098320 ± 0.000000039,-0.0134924 ± 0.0000053,46 ± 99,70000 ± 260000,84000 ± 3100,-350 ± 840,7400 ± 370,-2600000 ± 3800000,323300 ± 4900,70000 ± 260000,84000 ± 3100,-350 ± 840,7400 ± 370,-2600000 ± 3800000,323300 ± 4900,0.90 ± 0.99,2780 ± 460,4000 ± 14000,64900 ± 3100,-130 ± 320,6430 ± 370,0 ± 0.0E+0,0 ± 0.0E+0,0.89 ± 0.99,2760 ± 460,0.000086 ± 0.000075,2.77519 ± 0.00075,-9.50E-9 ± 0,-3.39E-9 ± 0,nan,nan,
,,-,,,,,,,1157 ± 56,286 ± 33,244 ± 45,169.4 ± 9.3,438 ± 37,0 ± 0.0E+0,430 ± 600,3.1 ± 4.4,2730 ± 600,0.0058 ± 0.0081,1.00E+0 ± 0,19 ± 56,16 ± 33,-8 ± 45,-10.5 ± 9.3,8 ± 37,-0.0000112503 ± 0.0000000017,430 ± 600,3.1 ± 4.4,440 ± 600,-38000000 ± 53000000,19 ± 56,16 ± 33,-8 ± 45,-10.5 ± 9.3,8 ± 37,-0.0000112503 ± 0.0000000017,430 ± 600,3.1 ± 4.4,440 ± 600,80000 ± 470000,79100 ± 5000,840 ± 700,7450 ± 520,-700000 ± 3300000,326700 ± 4400,80000 ± 470000,79100 ± 5000,840 ± 700,7450 ± 520,-700000 ± 3300000,326700 ± 4400,1.1 ± 1.7,3110 ± 450,4000 ± 25000,60700 ± 4200,320 ± 260,6510 ± 470,0 ± 0.0E+0,0 ± 0.0E+0,1.1 ± 1.6,3100 ± 450,100 ± 300,-12000000 ± 17000000,0.042 ± 0.058,-3.38E-9 ± 0,nan,nan,
,,-,,,,,,,1146 ± 75,295 ± 36,242 ± 27,187 ± 14,425 ± 48,0 ± 0.0E+0,570 ± 790,4.1 ± 5.8,2860 ± 800,0.008 ± 0.011,1.00E+0 ± 0,10 ± 75,25 ± 36,-11 ± 27,7 ± 14,-7 ± 48,-0.0000111621 ± 0.0000000015,570 ± 790,4.1 ± 5.8,570 ± 800,-51000000 ± 71000000,10 ± 75,25 ± 36,-11 ± 27,7 ± 14,-7 ± 48,-0.0000111621 ± 0.0000000015,570 ± 790,4.1 ± 5.8,570 ± 800,120000 ± 290000,80700 ± 7300,-500 ± 1100,7140 ± 770,600000 ± 4300000,328600 ± 4600,120000 ± 290000,80700 ± 7300,-500 ± 1100,7140 ± 770,600000 ± 4300000,328600 ± 4600,-0.5 ± 1.3,3020 ± 450,6000 ± 15000,62800 ± 5900,-190 ± 400,6220 ± 690,0 ± 0.0E+0,0 ± 0.0E+0,-0.5 ± 1.3,3010 ± 450,10 ± 250,-16000000 ± 23000000,0.055 ± 0.077,-3.37E-9 ± 0,nan,nan,
,,-,,,,,,,1174 ± 85,288 ± 38,336 ± 59,177 ± 13,403 ± 49,0 ± 0.0E+0,620 ± 870,4.5 ± 6.3,3000 ± 860,0.008 ± 0.012,1.00E+0 ± 0,40 ± 85,19 ± 38,83 ± 59,-4 ± 13,-31 ± 49,-0.0000110662 ± 0.0000000014,620 ± 870,4.5 ± 6.3,710 ± 860,-56000000 ± 79000000,40 ± 85,19 ± 38,83 ± 59,-4 ± 13,-31 ± 49,-0.0000110662 ± 0.0000000014,620 ± 870,4.5 ± 6.3,710 ± 860,-860000 ± 650000,73000 ± 10000,500 ± 1000,7510 ± 790,2800000 ± 4400000,329400 ± 4400,-860000 ± 650000,73000 ± 10000,500 ± 1000,7510 ± 790,2800000 ± 4400000,329400 ± 4400,0.4 ± 1.7,2980 ± 720,-45000 ± 33000,55700 ± 8400,180 ± 380,6580 ± 710,0 ± 0.0E+0,0 ± 0.0E+0,0.4 ± 1.7,2970 ± 720,250 ± 430,-18000000 ± 25000000,0.061 ± 0.085,-3.36E-9 ± 0,nan,nan,
,,-,,,,,,,1124 ± 72,280 ± 36,275 ± 46,175 ± 13,427 ± 44,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2281 ± 95,0 ± 0.0E+0,1.00E+0 ± 0,-8 ± 72,11 ± 36,22 ± 46,-8 ± 13,-9 ± 44,-0.0000109744 ± 0.0000000015,-0.000089235 ± 0.000000037,-0.0122471 ± 0.0000051,-13 ± 95,8.1311 ± 0.0023,-8 ± 72,11 ± 36,22 ± 46,-8 ± 13,-9 ± 44,-0.0000109744 ± 0.0000000015,-0.000089235 ± 0.000000037,-0.0122471 ± 0.0000051,-13 ± 95,-240000 ± 520000,83300 ± 2500,600 ± 1100,8040 ± 300,800000 ± 4100000,330600 ± 4000,-240000 ± 520000,83300 ± 2500,600 ± 1100,8040 ± 300,800000 ± 4100000,330600 ± 4000,-1.0 ± 1.6,3080 ± 440,-13000 ± 27000,64200 ± 2500,240 ± 410,7050 ± 300,0 ± 0.0E+0,0 ± 0.0E+0,-1.0 ± 1.6,3070 ± 440,0.000066 ± 0.000040,2.59485 ± 0.00076,-8.80E-9 ± 0,-3.35E-9 ± 0,nan,nan,
,,-,,,,,,,1088 ± 70,262 ± 32,298 ± 31,183 ± 13,464 ± 41,0 ± 0.0E+0,470 ± 650,3.4 ± 4.7,2770 ± 670,0.0063 ± 0.0089,1.00E+0 ± 0,-41 ± 70,-7 ± 32,44 ± 31,0 ± 13,26 ± 41,-0.0000108828 ± 0.0000000017,470 ± 650,3.4 ± 4.7,470 ± 670,-43000000 ± 60000000,-41 ± 70,-7 ± 32,44 ± 31,0 ± 13,26 ± 41,-0.0000108828 ± 0.0000000017,470 ± 650,3.4 ± 4.7,470 ± 670,-430000 ± 350000,78300 ± 6900,0 ± 1100,7450 ± 600,-2400000 ± 3800000,282000 ± 23000,-430000 ± 350000,78300 ± 6900,0 ± 1100,7450 ± 600,-2400000 ± 3800000,282000 ± 23000,0.9 ± 1.2,2810 ± 530,-22000 ± 18000,60200 ± 5500,20 ± 400,6500 ± 550,0 ± 0.0E+0,0 ± 0.0E+0,0.9 ± 1.2,2800 ± 530,40 ± 56,-14000000 ± 19000000,0.046 ± 0.065,-3.35E-9 ± 0,nan,nan,
,,-,,,,,,,1090 ± 69,248 ± 36,390 ± 110,220 ± 18,452 ± 51,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2400 ± 140,0 ± 0.0E+0,1.00E+0 ± 0,-38 ± 69,-20 ± 36,140 ± 110,35 ± 18,13 ± 51,-0.0000107914 ± 0.0000000015,-0.000084774 ± 0.000000036,-0.0116356 ± 0.0000050,110 ± 140,7.8557 ± 0.0023,-38 ± 69,-20 ± 36,140 ± 110,35 ± 18,13 ± 51,-0.0000107914 ± 0.0000000015,-0.000084774 ± 0.000000036,-0.0116356 ± 0.0000050,110 ± 140,-1600000 ± 1300000,84100 ± 3800,-3000 ± 1500,8450 ± 370,-1200000 ± 4800000,311000 ± 13000,-1600000 ± 1300000,84100 ± 3800,-3000 ± 1500,8450 ± 370,-1200000 ± 4800000,311000 ± 13000,-0.4 ± 1.3,3170 ± 590,-85000 ± 69000,65000 ± 3800,-1140 ± 570,7450 ± 370,0 ± 0.0E+0,0 ± 0.0E+0,-0.4 ± 1.3,3150 ± 590,0.000009 ± 0.000024,2.50246 ± 0.00076,-8.44E-9 ± 0,-3.34E-9 ± 0,nan,nan,
