Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
,,-,,,,,,,1293 ± 45,353 ± 26,811000 ± 24000,134300 ± 3900,241400 ± 7200,892000 ± 36000,2158000 ± 80000,15650 ± 580,4270000 ± 140000,0 ± 0.0E+0,1.00E+0 ± 0,174 ± 45,80 ± 26,811000 ± 24000,134100 ± 3900,240900 ± 7200,892000 ± 36000,2158000 ± 80000,15650 ± 580,4270000 ± 140000,2.438 ± 0.065,174 ± 45,80 ± 26,811000 ± 24000,134100 ± 3900,240900 ± 7200,892000 ± 36000,2158000 ± 80000,15650 ± 580,4270000 ± 140000,0.3792 ± 0.0065,2070 ± 30,8.65 ± 0.15,2298 ± 15,0.2720 ± 0.0061,4856 ± 96,0.1896 ± 0.0033,1118 ± 18,4.327 ± 0.074,1695 ± 14,0.1360 ± 0.0030,2575 ± 54,0.16557 ± 0.00056,2512.2 ± 5.6,0.4755 ± 0.0082,2504 ± 36,10.74 ± 0.18,2497 ± 16,0 ± 0.0E+0,0 ± 0.0E+0,0.16393 ± 0.00055,2495.4 ± 5.6,2.119 ± 0.034,0.000776 ± 0.000021,553 ± 20,768 ± 31,0.980808,0.154816,
,,-,,,,,,,1267 ± 45,313 ± 22,422000 ± 24000,127200 ± 7200,70100 ± 3900,178000 ± 13000,749000 ± 49000,5440 ± 350,1554000 ± 93000,0 ± 0.0E+0,1.00E+0 ± 0,147 ± 45,39 ± 22,422000 ± 24000,127000 ± 7200,69600 ± 3900,178000 ± 13000,749000 ± 49000,5440 ± 350,1552000 ± 93000,-60000000 ± 110000000,147 ± 45,39 ± 22,422000 ± 24000,127000 ± 7200,69600 ± 3900,178000 ± 13000,749000 ± 49000,5440 ± 350,1552000 ± 93000,0.577 ± 0.015,2927 ± 62,24.00 ± 0.65,3261 ± 24,-10000000 ± 19000000,6890 ± 300,0.2887 ± 0.0077,1631 ± 38,12.00 ± 0.32,2597 ± 23,-4800000 ± 9400000,3760 ± 180,0.3013 ± 0.0011,3475.9 ± 5.5,0.722 ± 0.019,3489 ± 71,29.71 ± 0.80,3469 ± 24,0 ± 0.0E+0,0 ± 0.0E+0,0.2984 ± 0.0011,3460.7 ± 5.5,1.413 ± 0.034,-16000 ± 32000,189 ± 12,149 ± 11,0.992841,-0.0486443,
,,-,,,,,,,1302 ± 50,300 ± 22,43420 ± 800,3446 ± 74,5080 ± 120,46200 ± 4600,292000 ± 15000,2120 ± 110,394000 ± 18000,0 ± 0.0E+0,1.00E+0 ± 0,181 ± 50,26 ± 22,43140 ± 800,3241 ± 74,4560 ± 120,46200 ± 4600,292000 ± 15000,2120 ± 110,391000 ± 18000,-290000000 ± 570000000,181 ± 50,26 ± 22,43140 ± 800,3241 ± 74,4560 ± 120,46200 ± 4600,292000 ± 15000,2120 ± 110,391000 ± 18000,0.1558 ± 0.0070,930 ± 38,1.627 ± 0.076,967 ± 28,-4100000 ± 8000000,2290 ± 220,0.0779 ± 0.0035,482 ± 21,0.813 ± 0.038,597 ± 21,-2000000 ± 4000000,1190 ± 120,0.07561 ± 0.00097,1077 ± 26,0.1943 ± 0.0087,1139 ± 46,2.008 ± 0.094,1102 ± 31,0 ± 0.0E+0,0 ± 0.0E+0,0.07488 ± 0.00096,1057 ± 26,5.38 ± 0.22,-80000 ± 150000,72.8 ± 3.8,37.7 ± 3.8,0.970601,-0.0916323,
,,-,,,,,,,1305 ± 51,337 ± 26,55900 ± 1300,4390 ± 110,6560 ± 170,54100 ± 5300,377000 ± 19000,2730 ± 140,499000 ± 22000,0 ± 0.0E+0,1.00E+0 ± 0,183 ± 51,62 ± 26,55600 ± 1300,4180 ± 110,6050 ± 170,54100 ± 5300,377000 ± 19000,2730 ± 140,496000 ± 22000,8.9 ± 1.0,183 ± 51,62 ± 26,55600 ± 1300,4180 ± 110,6050 ± 170,54100 ± 5300,377000 ± 19000,2730 ± 140,496000 ± 22000,0.1517 ± 0.0056,908 ± 31,1.601 ± 0.067,961 ± 25,0.145 ± 0.017,2580 ± 260,0.0758 ± 0.0028,471 ± 17,0.801 ± 0.033,592 ± 18,0.0724 ± 0.0083,1350 ± 140,0.07555 ± 0.00080,1080 ± 21,0.1886 ± 0.0070,1110 ± 37,1.971 ± 0.082,1094 ± 26,0 ± 0.0E+0,0 ± 0.0E+0,0.07483 ± 0.00079,1061 ± 21,5.41 ± 0.20,0.00276 ± 0.00032,92.6 ± 4.7,42.9 ± 4.2,0.973831,0.0190502,
,,-,,,,,,,1306 ± 51,310 ± 24,4310 ± 200,387 ± 17,888 ± 44,73800 ± 6400,597000 ± 39000,4330 ± 280,683000 ± 42000,0 ± 0.0E+0,1.00E+0 ± 0,182 ± 51,34 ± 24,4030 ± 200,178 ± 17,365 ± 44,73800 ± 6400,597000 ± 39000,4330 ± 280,681000 ± 42000,9.9 ± 1.3,182 ± 51,34 ± 24,4030 ± 200,178 ± 17,365 ± 44,73800 ± 6400,597000 ± 39000,4330 ± 280,681000 ± 42000,0.00707 ± 0.00031,45.4 ± 2.0,0.0421 ± 0.0037,41.7 ± 3.6,0.0064 ± 0.0013,121 ± 21,0.00354 ± 0.00015,22.76 ± 0.99,0.0210 ± 0.0019,21.1 ± 1.8,0.00321 ± 0.00065,61 ± 11,0.0439 ± 0.0037,570 ± 110,0.00877 ± 0.00038,56.3 ± 2.4,0.0516 ± 0.0046,50.8 ± 4.4,0 ± 0.0E+0,0 ± 0.0E+0,0.0435 ± 0.0036,560 ± 110,119.0 ± 4.9,0.00512 ± 0.00071,144.9 ± 9.4,57.2 ± 4.9,0.493749,-0.0231481,
,,-,,,,,,,1273 ± 53,327 ± 28,280300 ± 7200,25810 ± 720,19750 ± 770,124800 ± 9400,1413000 ± 57000,10240 ± 420,1878000 ± 71000,0 ± 0.0E+0,1.00E+0 ± 0,146 ± 53,50 ± 28,280000 ± 7200,25600 ± 720,19220 ± 770,124800 ± 9400,1413000 ± 57000,10240 ± 420,1875000 ± 71000,13.2 ± 1.1,146 ± 53,50 ± 28,280000 ± 7200,25600 ± 720,19220 ± 770,124800 ± 9400,1413000 ± 57000,10240 ± 420,1875000 ± 71000,0.2030 ± 0.0041,1190 ± 22,2.545 ± 0.052,1281 ± 15,0.176 ± 0.013,3240 ± 220,0.1015 ± 0.0020,623 ± 12,1.272 ± 0.026,831 ± 11,0.0881 ± 0.0066,1700 ± 120,0.09096 ± 0.00050,1444 ± 10,0.2503 ± 0.0050,1438 ± 26,3.106 ± 0.064,1430 ± 15,0 ± 0.0E+0,0 ± 0.0E+0,0.09012 ± 0.00050,1426 ± 11,4.028 ± 0.082,-0.00471 ± 0.00043,336 ± 14,92.7 ± 6.9,0.967857,0.036851,
,,-,,,,,,,1295 ± 49,308 ± 22,64500 ± 1900,3740 ± 110,11340 ± 280,247000 ± 12000,1199000 ± 59000,8700 ± 420,1535000 ± 62000,0 ± 0.0E+0,1.00E+0 ± 0,166 ± 49,30 ± 22,64200 ± 1900,3520 ± 110,10800 ± 280,247000 ± 12000,1199000 ± 59000,8700 ± 420,1532000 ± 62000,5.20 ± 0.38,166 ± 49,30 ± 22,64200 ± 1900,3520 ± 110,10800 ± 280,247000 ± 12000,1199000 ± 59000,8700 ± 420,1532000 ± 62000,0.0542 ± 0.0013,340.3 ± 7.9,0.412 ± 0.010,350.5 ± 7.6,0.0458 ± 0.0022,903 ± 42,0.02712 ± 0.00064,172.4 ± 4.0,0.2061 ± 0.0052,190.6 ± 4.5,0.0229 ± 0.0011,457 ± 21,0.05514 ± 0.00065,413 ± 26,0.0667 ± 0.0016,415.9 ± 9.6,0.502 ± 0.013,412.8 ± 8.7,0 ± 0.0E+0,0 ± 0.0E+0,0.05464 ± 0.00064,395 ± 26,15.19 ± 0.38,-0.000808 ± 0.000053,283 ± 14,180.0 ± 9.0,0.902137,0.175279,
,,-,,,,,,,1320 ± 56,317 ± 22,70800 ± 4100,4160 ± 240,10880 ± 540,219000 ± 13000,1292000 ± 89000,9370 ± 650,1610000 ± 100000,0 ± 0.0E+0,1.00E+0 ± 0,176 ± 56,33 ± 22,70500 ± 4100,3920 ± 240,10290 ± 540,219000 ± 13000,1292000 ± 89000,9370 ± 650,1610000 ± 100000,6.02 ± 0.39,176 ± 56,33 ± 22,70500 ± 4100,3920 ± 240,10290 ± 540,219000 ± 13000,1292000 ± 89000,9370 ± 650,1610000 ± 100000,0.0559 ± 0.0012,351.8 ± 7.7,0.427 ± 0.010,361.6 ± 7.4,0.0490 ± 0.0026,965 ± 50,0.02796 ± 0.00061,177.8 ± 3.8,0.2137 ± 0.0050,196.4 ± 4.2,0.0245 ± 0.0013,489 ± 26,0.05542 ± 0.00063,426 ± 25,0.0667 ± 0.0015,417.6 ± 9.1,0.505 ± 0.012,415.4 ± 8.3,0 ± 0.0E+0,0 ± 0.0E+0,0.05497 ± 0.00062,411 ± 24,15.13 ± 0.35,-0.000159 ± 0.000010,292 ± 20,140.9 ± 8.4,0.878802,0.0569226,
,,-,,,,,,,1295 ± 45,337 ± 24,344000 ± 19000,57100 ± 3200,75300 ± 4400,275000 ± 19000,903000 ± 62000,6550 ± 450,1660000 ± 100000,0 ± 0.0E+0,1.00E+0 ± 0,150 ± 45,53 ± 24,344000 ± 19000,56900 ± 3200,74700 ± 4400,275000 ± 19000,903000 ± 62000,6550 ± 450,1660000 ± 100000,-70000000 ± 100000000,150 ± 45,53 ± 24,344000 ± 19000,56900 ± 3200,74700 ± 4400,275000 ± 19000,903000 ± 62000,6550 ± 450,1660000 ± 100000,0.401 ± 0.011,2167 ± 50,9.14 ± 0.26,2336 ± 23,0.291 ± 0.016,4990 ± 200,0.2007 ± 0.0056,1176 ± 30,4.57 ± 0.13,1730 ± 21,0.1454 ± 0.0081,2660 ± 110,0.16550 ± 0.00064,2511.3 ± 6.5,0.477 ± 0.013,2506 ± 57,10.77 ± 0.30,2487 ± 24,0 ± 0.0E+0,0 ± 0.0E+0,0.16415 ± 0.00063,2497.6 ± 6.5,2.152 ± 0.054,1800 ± 2800,204 ± 14,176 ± 12,0.990967,0.0526743,
,,-,,,,,,,1300 ± 42,345 ± 25,344000 ± 21000,103400 ± 6400,81300 ± 5900,227000 ± 20000,589000 ± 38000,4270 ± 270,1350000 ± 86000,0 ± 0.0E+0,1.00E+0 ± 0,154 ± 42,60 ± 25,344000 ± 21000,103200 ± 6400,80700 ± 5900,227000 ± 20000,589000 ± 38000,4270 ± 270,1348000 ± 86000,3.37 ± 0.43,154 ± 42,60 ± 25,344000 ± 21000,103200 ± 6400,80700 ± 5900,227000 ± 20000,589000 ± 38000,4270 ± 270,1348000 ± 86000,0.607 ± 0.024,2988 ± 73,25.15 ± 0.98,3275 ± 30,0.411 ± 0.030,6620 ± 300,0.303 ± 0.012,1669 ± 45,12.57 ± 0.49,2611 ± 29,0.205 ± 0.015,3600 ± 170,0.3000 ± 0.0011,3468.8 ± 5.7,0.719 ± 0.028,3415 ± 81,29.5 ± 1.2,3432 ± 31,0 ± 0.0E+0,0 ± 0.0E+0,0.2975 ± 0.0011,3456.3 ± 5.7,1.451 ± 0.046,-0.000101 ± 0.000013,132.9 ± 8.5,144 ± 13,1,0.0119132,
