Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,
,,-,,,,,,,1252 ± 74,314 ± 32,159100 ± 6000,9090 ± 330,14380 ± 410,325000 ± 21000,3150000 ± 150000,22800 ± 1100,3710000 ± 150000,0 ± 0.0E+0,1.00E+0 ± 0,135 ± 74,42 ± 32,158800 ± 6000,8890 ± 330,13880 ± 410,325000 ± 21000,3150000 ± 150000,22800 ± 1100,3710000 ± 150000,10.04 ± 0.60,135 ± 74,42 ± 32,158800 ± 6000,8890 ± 330,13880 ± 410,325000 ± 21000,3150000 ± 150000,22800 ± 1100,3710000 ± 150000,0.05030 ± 0.00096,316.3 ± 5.9,0.3892 ± 0.0085,333.4 ± 6.2,0.0443 ± 0.0024,875 ± 47,0.02515 ± 0.00048,160.1 ± 3.0,0.3892 ± 0.0085,333.4 ± 6.2,0.0443 ± 0.0024,875 ± 47,0.05600 ± 0.00059,453 ± 25,0.0665 ± 0.0013,414.8 ± 7.7,0.512 ± 0.011,419.0 ± 7.4,0 ± 0.0E+0,0 ± 0.0E+0,0.05544 ± 0.00059,431 ± 25,15.08 ± 0.27,2.88 ± 0.17,793 ± 37,285 ± 19,
,,-,,,,,,,1232 ± 86,408 ± 79,815000 ± 66000,136000 ± 11000,249000 ± 18000,939000 ± 93000,2320000 ± 190000,16800 ± 1300,4480000 ± 360000,0 ± 0.0E+0,1.00E+0 ± 0,114 ± 86,135 ± 79,815000 ± 66000,136000 ± 11000,249000 ± 18000,939000 ± 93000,2320000 ± 190000,16800 ± 1300,4470000 ± 360000,2.55 ± 0.15,114 ± 86,135 ± 79,815000 ± 66000,136000 ± 11000,249000 ± 18000,939000 ± 93000,2320000 ± 190000,16800 ± 1300,4470000 ± 360000,0.353 ± 0.011,1947 ± 52,8.10 ± 0.25,2239 ± 28,0.270 ± 0.014,4830 ± 220,0.1764 ± 0.0054,1047 ± 30,8.10 ± 0.25,2239 ± 28,0.270 ± 0.014,4830 ± 220,0.1666 ± 0.0013,2522 ± 13,0.465 ± 0.014,2461 ± 63,10.62 ± 0.33,2488 ± 28,0 ± 0.0E+0,0 ± 0.0E+0,0.1649 ± 0.0013,2506 ± 13,2.164 ± 0.066,0.733 ± 0.042,581 ± 47,811 ± 81,
,,-,,,,,,,1153 ± 75,299 ± 40,546500 ± 8600,164300 ± 2700,86600 ± 1900,211000 ± 18000,988000 ± 45000,7170 ± 320,2015000 ± 54000,0 ± 0.0E+0,1.00E+0 ± 0,33 ± 75,25 ± 40,546200 ± 8600,164100 ± 2700,86100 ± 1900,211000 ± 18000,988000 ± 45000,7170 ± 320,2013000 ± 54000,4.93 ± 0.41,33 ± 75,25 ± 40,546200 ± 8600,164100 ± 2700,86100 ± 1900,211000 ± 18000,988000 ± 45000,7170 ± 320,2013000 ± 54000,0.562 ± 0.024,2865 ± 98,23.3 ± 1.0,3229 ± 40,0.429 ± 0.033,7160 ± 460,0.281 ± 0.012,1592 ± 60,23.3 ± 1.0,3229 ± 40,0.429 ± 0.033,7160 ± 460,0.3005 ± 0.0018,3471.5 ± 9.4,0.740 ± 0.032,3560 ± 120,30.5 ± 1.3,3492 ± 41,0 ± 0.0E+0,0 ± 0.0E+0,0.2975 ± 0.0018,3456.1 ± 9.4,1.379 ± 0.055,1.42 ± 0.12,247 ± 11,179 ± 16,
,,-,,,,,,,1293 ± 74,261 ± 35,47200 ± 2200,3770 ± 180,5640 ± 300,53900 ± 9300,355000 ± 31000,2580 ± 220,470000 ± 36000,0 ± 0.0E+0,1.00E+0 ± 0,171 ± 74,-14 ± 35,47000 ± 2200,3570 ± 180,5130 ± 300,53900 ± 9300,355000 ± 31000,2580 ± 220,468000 ± 36000,8.4 ± 1.8,171 ± 74,-14 ± 35,47000 ± 2200,3570 ± 180,5130 ± 300,53900 ± 9300,355000 ± 31000,2580 ± 220,468000 ± 36000,0.140 ± 0.013,840 ± 70,1.47 ± 0.13,904 ± 53,0.120 ± 0.026,2120 ± 360,0.0699 ± 0.0063,434 ± 38,1.47 ± 0.13,904 ± 53,0.120 ± 0.026,2120 ± 360,0.0760 ± 0.0016,1090 ± 43,0.184 ± 0.017,1082 ± 88,1.92 ± 0.18,1072 ± 59,0 ± 0.0E+0,0 ± 0.0E+0,0.0753 ± 0.0016,1070 ± 43,5.79 ± 0.48,2.43 ± 0.51,88.3 ± 7.7,45.2 ± 7.8,
,,-,,,,,,,1265 ± 77,305 ± 41,60200 ± 1900,4720 ± 150,7110 ± 240,59400 ± 8100,431000 ± 29000,3130 ± 210,566000 ± 34000,0 ± 0.0E+0,1.00E+0 ± 0,142 ± 77,29 ± 41,59900 ± 1900,4510 ± 150,6590 ± 240,59400 ± 8100,431000 ± 29000,3130 ± 210,563000 ± 34000,9.6 ± 1.6,142 ± 77,29 ± 41,59900 ± 1900,4510 ± 150,6590 ± 240,59400 ± 8100,431000 ± 29000,3130 ± 210,563000 ± 34000,0.1406 ± 0.0068,846 ± 38,1.463 ± 0.072,908 ± 30,0.148 ± 0.027,2530 ± 360,0.0703 ± 0.0034,437 ± 20,1.463 ± 0.072,908 ± 30,0.148 ± 0.027,2530 ± 360,0.0756 ± 0.0012,1078 ± 33,0.1845 ± 0.0089,1089 ± 48,1.908 ± 0.094,1076 ± 33,0 ± 0.0E+0,0 ± 0.0E+0,0.0749 ± 0.0012,1058 ± 33,5.58 ± 0.28,2.80 ± 0.46,106.7 ± 7.1,49.1 ± 6.7,
,,-,,,,,,,1265 ± 66,293 ± 32,4980 ± 150,425 ± 18,929 ± 55,79000 ± 8500,721000 ± 34000,5230 ± 250,815000 ± 37000,0 ± 0.0E+0,1.00E+0 ± 0,141 ± 66,18 ± 32,4700 ± 150,216 ± 18,405 ± 55,79000 ± 8500,721000 ± 34000,5230 ± 250,813000 ± 37000,11.6 ± 1.9,141 ± 66,18 ± 32,4700 ± 150,216 ± 18,405 ± 55,79000 ± 8500,721000 ± 34000,5230 ± 250,813000 ± 37000,0.00664 ± 0.00028,42.7 ± 1.8,0.0426 ± 0.0039,42.2 ± 3.8,0.0070 ± 0.0018,129 ± 28,0.00332 ± 0.00014,21.36 ± 0.88,0.0426 ± 0.0039,42.2 ± 3.8,0.0070 ± 0.0018,129 ± 28,0.0464 ± 0.0041,500 ± 130,0.00870 ± 0.00036,55.8 ± 2.3,0.0554 ± 0.0051,54.6 ± 4.9,0 ± 0.0E+0,0 ± 0.0E+0,0.0459 ± 0.0040,490 ± 130,117.8 ± 5.0,3.36 ± 0.55,177.7 ± 8.3,64.5 ± 6.9,
,,-,,,,,,,1254 ± 87,316 ± 46,320000 ± 18000,29400 ± 1700,24200 ± 1600,152000 ± 18000,1670000 ± 120000,12150 ± 830,2240000 ± 130000,0 ± 0.0E+0,1.00E+0 ± 0,126 ± 87,39 ± 46,319000 ± 18000,29200 ± 1700,23700 ± 1600,152000 ± 18000,1670000 ± 120000,12150 ± 830,2240000 ± 130000,12.6 ± 1.6,126 ± 87,39 ± 46,319000 ± 18000,29200 ± 1700,23700 ± 1600,152000 ± 18000,1670000 ± 120000,12150 ± 830,2240000 ± 130000,0.1884 ± 0.0044,1112 ± 24,2.371 ± 0.058,1232 ± 17,0.176 ± 0.021,3160 ± 310,0.0942 ± 0.0022,580 ± 13,2.371 ± 0.058,1232 ± 17,0.176 ± 0.021,3160 ± 310,0.09134 ± 0.00075,1452 ± 16,0.2460 ± 0.0058,1417 ± 30,3.076 ± 0.075,1425 ± 18,0 ± 0.0E+0,0 ± 0.0E+0,0.09046 ± 0.00075,1433 ± 16,4.07 ± 0.10,3.69 ± 0.46,409 ± 28,121 ± 14,
,,-,,,,,,,1236 ± 65,288 ± 27,70400 ± 2100,4120 ± 110,10840 ± 410,228000 ± 17000,1398000 ± 55000,10140 ± 400,1740000 ± 53000,0 ± 0.0E+0,1.00E+0 ± 0,108 ± 65,10 ± 27,70100 ± 2100,3900 ± 110,10300 ± 410,228000 ± 17000,1398000 ± 55000,10140 ± 400,1738000 ± 53000,6.55 ± 0.50,108 ± 65,10 ± 27,70100 ± 2100,3900 ± 110,10300 ± 410,228000 ± 17000,1398000 ± 55000,10140 ± 400,1738000 ± 53000,0.0507 ± 0.0013,318.6 ± 8.0,0.384 ± 0.011,329.0 ± 7.9,0.0472 ± 0.0029,930 ± 56,0.02534 ± 0.00066,161.3 ± 4.1,0.384 ± 0.011,329.0 ± 7.9,0.0472 ± 0.0029,930 ± 56,0.05522 ± 0.00095,416 ± 38,0.0661 ± 0.0017,412 ± 10,0.497 ± 0.014,410.2 ± 10.0,0 ± 0.0E+0,0 ± 0.0E+0,0.05469 ± 0.00094,400 ± 37,15.34 ± 0.39,1.93 ± 0.15,340 ± 13,179 ± 13,
,,-,,,,,,,1267 ± 73,278 ± 30,92500 ± 3700,5360 ± 230,13520 ± 520,276000 ± 21000,1765000 ± 92000,12800 ± 660,2170000 ± 110000,0 ± 0.0E+0,1.00E+0 ± 0,124 ± 73,-6 ± 30,92200 ± 3700,5120 ± 230,12930 ± 520,276000 ± 21000,1765000 ± 92000,12800 ± 660,2160000 ± 110000,6.89 ± 0.54,124 ± 73,-6 ± 30,92200 ± 3700,5120 ± 230,12930 ± 520,276000 ± 21000,1765000 ± 92000,12800 ± 660,2160000 ± 110000,0.0530 ± 0.0014,333.1 ± 8.5,0.405 ± 0.011,344.8 ± 7.6,0.0501 ± 0.0035,985 ± 67,0.02652 ± 0.00069,168.7 ± 4.3,0.405 ± 0.011,344.8 ± 7.6,0.0501 ± 0.0035,985 ± 67,0.05545 ± 0.00070,425 ± 29,0.0680 ± 0.0018,424 ± 11,0.515 ± 0.013,421.1 ± 9.0,0 ± 0.0E+0,0 ± 0.0E+0,0.05493 ± 0.00070,404 ± 29,14.89 ± 0.39,2.09 ± 0.16,412 ± 21,192 ± 15,
,,-,,,,,,,1230 ± 62,326 ± 37,439100 ± 8800,72900 ± 1300,96100 ± 1500,342000 ± 17000,1214000 ± 43000,8800 ± 310,2181000 ± 55000,0 ± 0.0E+0,1.00E+0 ± 0,86 ± 62,42 ± 37,438800 ± 8800,72700 ± 1300,95500 ± 1500,342000 ± 17000,1214000 ± 43000,8800 ± 310,2178000 ± 55000,3.72 ± 0.23,86 ± 62,42 ± 37,438800 ± 8800,72700 ± 1300,95500 ± 1500,342000 ± 17000,1214000 ± 43000,8800 ± 310,2178000 ± 55000,0.3630 ± 0.0090,1994 ± 42,8.27 ± 0.21,2260 ± 25,0.290 ± 0.016,5120 ± 240,0.1815 ± 0.0045,1074 ± 24,8.27 ± 0.21,2260 ± 25,0.290 ± 0.016,5120 ± 240,0.16512 ± 0.00092,2507.4 ± 9.3,0.464 ± 0.012,2455 ± 51,10.50 ± 0.27,2478 ± 25,0 ± 0.0E+0,0 ± 0.0E+0,0.16359 ± 0.00091,2491.7 ± 9.3,2.171 ± 0.056,1.133 ± 0.069,282 ± 10,235 ± 12,
,,-,,,,,,,1286 ± 87,313 ± 47,277000 ± 13000,81700 ± 4500,52100 ± 2600,124000 ± 15000,517000 ± 36000,3750 ± 260,1053000 ± 62000,0 ± 0.0E+0,1.00E+0 ± 0,140 ± 87,27 ± 47,277000 ± 13000,81500 ± 4500,51500 ± 2600,124000 ± 15000,517000 ± 36000,3750 ± 260,1050000 ± 62000,4.69 ± 0.54,140 ± 87,27 ± 47,277000 ± 13000,81500 ± 4500,51500 ± 2600,124000 ± 15000,517000 ± 36000,3750 ± 260,1050000 ± 62000,0.543 ± 0.031,2780 ± 120,22.3 ± 1.3,3182 ± 53,0.465 ± 0.055,7560 ± 720,0.272 ± 0.015,1544 ± 76,22.3 ± 1.3,3182 ± 53,0.465 ± 0.055,7560 ± 720,0.2982 ± 0.0022,3460 ± 11,0.694 ± 0.039,3380 ± 150,28.3 ± 1.6,3413 ± 54,0 ± 0.0E+0,0 ± 0.0E+0,0.2955 ± 0.0022,3445 ± 12,1.491 ± 0.079,1.43 ± 0.17,119.7 ± 8.4,84 ± 10,
,,-,,,,,,,1313 ± 86,334 ± 32,3060 ± 110,368 ± 18,1200 ± 71,109000 ± 10000,407000 ± 22000,2950 ± 160,529000 ± 26000,0 ± 0.0E+0,1.00E+0 ± 0,165 ± 86,48 ± 32,2730 ± 110,126 ± 18,594 ± 71,109000 ± 10000,407000 ± 22000,2950 ± 160,526000 ± 26000,3.96 ± 0.42,165 ± 86,48 ± 32,2730 ± 110,126 ± 18,594 ± 71,109000 ± 10000,407000 ± 22000,2950 ± 160,526000 ± 26000,0.00698 ± 0.00039,44.8 ± 2.5,0.0433 ± 0.0068,42.7 ± 6.6,0.00572 ± 0.00091,115 ± 18,0.00349 ± 0.00019,22.5 ± 1.3,0.0433 ± 0.0068,42.7 ± 6.6,0.00572 ± 0.00091,115 ± 18,0.0457 ± 0.0070,660 ± 220,0.00890 ± 0.00050,57.1 ± 3.2,0.0548 ± 0.0086,53.7 ± 8.3,0 ± 0.0E+0,0 ± 0.0E+0,0.0453 ± 0.0069,690 ± 220,117.1 ± 6.4,1.21 ± 0.13,93.8 ± 5.1,73.3 ± 6.8,
