Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,
,,-,,,,,,,1240 ± 140,357 ± 68,57800 ± 5000,4560 ± 410,6820 ± 630,50000 ± 13000,385000 ± 43000,2790 ± 310,509000 ± 49000,0 ± 0.0E+0,1.00E+0 ± 0,100 ± 140,70 ± 68,57500 ± 5000,4310 ± 410,6210 ± 630,50000 ± 13000,385000 ± 43000,2790 ± 310,506000 ± 49000,-2400000000 ± 4700000000,100 ± 140,70 ± 68,57500 ± 5000,4310 ± 410,6210 ± 630,50000 ± 13000,385000 ± 43000,2790 ± 310,506000 ± 49000,0.154 ± 0.013,921 ± 71,1.59 ± 0.14,959 ± 53,-39000000 ± 76000000,2770 ± 670,0.0770 ± 0.0064,478 ± 38,1.59 ± 0.14,959 ± 53,-39000000 ± 76000000,2770 ± 670,0.0749 ± 0.0019,1060 ± 52,0.196 ± 0.016,1150 ± 87,2.01 ± 0.17,1109 ± 58,0 ± 0.0E+0,0 ± 0.0E+0,0.0742 ± 0.0019,1042 ± 52,5.31 ± 0.45,-700000000 ± 1500000000,88.3 ± 9.8,33.3 ± 8.6,
,,-,,,,,,,1140 ± 180,316 ± 48,4490 ± 320,433 ± 34,1190 ± 110,108000 ± 22000,599000 ± 57000,4350 ± 410,719000 ± 66000,0 ± 0.0E+0,1.00E+0 ± 0,-10 ± 180,29 ± 48,4160 ± 320,186 ± 34,570 ± 110,108000 ± 22000,599000 ± 57000,4340 ± 410,716000 ± 66000,6.2 ± 1.5,-10 ± 180,29 ± 48,4160 ± 320,186 ± 34,570 ± 110,108000 ± 22000,599000 ± 57000,4340 ± 410,716000 ± 66000,0.00707 ± 0.00053,45.4 ± 3.4,0.0444 ± 0.0090,43.9 ± 8.8,0.0065 ± 0.0028,131 ± 56,0.00354 ± 0.00027,22.8 ± 1.7,0.0444 ± 0.0090,43.9 ± 8.8,0.0065 ± 0.0028,131 ± 56,0.0461 ± 0.0092,800 ± 310,0.00899 ± 0.00067,57.7 ± 4.3,0.056 ± 0.011,55 ± 11,0 ± 0.0E+0,0 ± 0.0E+0,0.0456 ± 0.0091,780 ± 310,114.4 ± 8.8,1.92 ± 0.46,137 ± 13,71 ± 14,
,,-,,,,,,,1292 ± 92,327 ± 45,209000 ± 11000,19180 ± 960,22670 ± 820,152000 ± 16000,1048000 ± 71000,7600 ± 510,1461000 ± 90000,0 ± 0.0E+0,1.00E+0 ± 0,138 ± 92,39 ± 45,209000 ± 11000,18930 ± 960,22040 ± 820,152000 ± 16000,1048000 ± 71000,7600 ± 510,1458000 ± 90000,7.29 ± 0.68,138 ± 92,39 ± 45,209000 ± 11000,18930 ± 960,22040 ± 820,152000 ± 16000,1048000 ± 71000,7600 ± 510,1458000 ± 90000,0.2024 ± 0.0071,1187 ± 38,2.533 ± 0.092,1278 ± 27,0.155 ± 0.013,2900 ± 220,0.1012 ± 0.0035,621 ± 21,2.533 ± 0.092,1278 ± 27,0.155 ± 0.013,2900 ± 220,0.09077 ± 0.00083,1440 ± 17,0.2562 ± 0.0090,1469 ± 46,3.18 ± 0.12,1448 ± 28,0 ± 0.0E+0,0 ± 0.0E+0,0.08995 ± 0.00083,1423 ± 17,3.95 ± 0.14,2.27 ± 0.21,238 ± 16,98 ± 10,
,,-,,,,,,,1236 ± 78,332 ± 42,49800 ± 1200,2977 ± 83,9640 ± 270,219000 ± 15000,959000 ± 41000,6960 ± 300,1249000 ± 46000,0 ± 0.0E+0,1.00E+0 ± 0,81 ± 78,43 ± 42,49500 ± 1200,2724 ± 83,9010 ± 270,219000 ± 15000,959000 ± 41000,6960 ± 300,1246000 ± 46000,4.58 ± 0.36,81 ± 78,43 ± 42,49500 ± 1200,2724 ± 83,9010 ± 270,219000 ± 15000,959000 ± 41000,6960 ± 300,1246000 ± 46000,0.0522 ± 0.0020,328 ± 12,0.399 ± 0.016,340 ± 12,0.0428 ± 0.0027,847 ± 53,0.02610 ± 0.00100,166.1 ± 6.3,0.399 ± 0.016,340 ± 12,0.0428 ± 0.0027,847 ± 53,0.0555 ± 0.0011,438 ± 40,0.0660 ± 0.0025,412 ± 15,0.499 ± 0.021,410 ± 14,0 ± 0.0E+0,0 ± 0.0E+0,0.0550 ± 0.0011,418 ± 41,15.36 ± 0.59,1.43 ± 0.11,216.6 ± 9.3,139.3 ± 9.4,
,,-,,,,,,,1260 ± 110,314 ± 43,583000 ± 26000,86400 ± 3300,111900 ± 4600,624000 ± 61000,2730000 ± 220000,19800 ± 1600,4140000 ± 310000,0 ± 0.0E+0,1.00E+0 ± 0,100 ± 110,25 ± 43,583000 ± 26000,86100 ± 3300,111300 ± 4600,624000 ± 61000,2730000 ± 220000,19800 ± 1600,4140000 ± 310000,4.51 ± 0.29,100 ± 110,25 ± 43,583000 ± 26000,86100 ± 3300,111300 ± 4600,624000 ± 61000,2730000 ± 220000,19800 ± 1600,4140000 ± 310000,0.2162 ± 0.0094,1260 ± 49,4.44 ± 0.24,1713 ± 45,0.183 ± 0.012,3450 ± 240,0.1081 ± 0.0047,661 ± 27,4.44 ± 0.24,1713 ± 45,0.183 ± 0.012,3450 ± 240,0.1486 ± 0.0023,2327 ± 26,0.273 ± 0.012,1553 ± 59,5.56 ± 0.30,1901 ± 46,0 ± 0.0E+0,0 ± 0.0E+0,0.1473 ± 0.0022,2312 ± 26,3.72 ± 0.16,1.411 ± 0.090,614 ± 50,393 ± 38,
,,-,,,,,,,1280 ± 130,330 ± 51,349000 ± 21000,104800 ± 6200,68600 ± 4800,191000 ± 28000,579000 ± 53000,4200 ± 380,1298000 ± 89000,0 ± 0.0E+0,1.00E+0 ± 0,120 ± 130,40 ± 51,348000 ± 21000,104600 ± 6200,67900 ± 4800,191000 ± 28000,579000 ± 53000,4200 ± 380,1295000 ± 89000,3.21 ± 0.47,120 ± 130,40 ± 51,348000 ± 21000,104600 ± 6200,67900 ± 4800,191000 ± 28000,579000 ± 53000,4200 ± 380,1295000 ± 89000,0.622 ± 0.045,3100 ± 180,25.7 ± 1.9,3322 ± 70,0.400 ± 0.062,6690 ± 850,0.311 ± 0.022,1740 ± 110,25.7 ± 1.9,3322 ± 70,0.400 ± 0.062,6690 ± 850,0.3002 ± 0.0024,3470 ± 12,0.783 ± 0.056,3710 ± 200,32.1 ± 2.4,3539 ± 71,0 ± 0.0E+0,0 ± 0.0E+0,0.2975 ± 0.0024,3456 ± 12,1.317 ± 0.093,1.01 ± 0.15,130 ± 12,119 ± 17,
,,-,,,,,,,1324 ± 74,312 ± 32,50700 ± 1500,4090 ± 110,5810 ± 220,56600 ± 7600,333000 ± 20000,2420 ± 150,459000 ± 24000,0 ± 0.0E+0,1.00E+0 ± 0,163 ± 74,20 ± 32,50300 ± 1500,3830 ± 110,5160 ± 220,56600 ± 7600,333000 ± 20000,2420 ± 150,456000 ± 24000,8.2 ± 1.6,163 ± 74,20 ± 32,50300 ± 1500,3830 ± 110,5160 ± 220,56600 ± 7600,333000 ± 20000,2420 ± 150,456000 ± 24000,0.1552 ± 0.0085,927 ± 47,1.622 ± 0.096,968 ± 37,0.122 ± 0.021,2200 ± 330,0.0776 ± 0.0042,481 ± 25,1.622 ± 0.096,968 ± 37,0.122 ± 0.021,2200 ± 330,0.0757 ± 0.0013,1080 ± 33,0.195 ± 0.011,1143 ± 57,2.02 ± 0.12,1109 ± 40,0 ± 0.0E+0,0 ± 0.0E+0,0.0750 ± 0.0012,1063 ± 33,5.36 ± 0.33,2.58 ± 0.49,74.1 ± 4.5,34.5 ± 4.6,
,,-,,,,,,,1267 ± 87,330 ± 51,2534 ± 91,339 ± 19,855 ± 92,45700 ± 9800,320000 ± 23000,2320 ± 170,374000 ± 22000,0 ± 0.0E+0,1.00E+0 ± 0,105 ± 87,38 ± 51,2174 ± 91,76 ± 19,197 ± 92,45700 ± 9800,320000 ± 23000,2320 ± 170,371000 ± 22000,-800000000 ± 1600000000,105 ± 87,38 ± 51,2174 ± 91,76 ± 19,197 ± 92,45700 ± 9800,320000 ± 23000,2320 ± 170,371000 ± 22000,0.00707 ± 0.00067,45.4 ± 4.3,0.0331 ± 0.0094,32.6 ± 9.3,-1100000 ± 1600000,92 ± 65,0.00353 ± 0.00034,22.7 ± 2.2,0.0331 ± 0.0094,32.6 ± 9.3,-1100000 ± 1600000,92 ± 65,0.0358 ± 0.0094,760 ± 240,0.00886 ± 0.00084,56.8 ± 5.4,0.041 ± 0.012,40 ± 11,0 ± 0.0E+0,0 ± 0.0E+0,0.0355 ± 0.0093,790 ± 230,120 ± 11,-270000000 ± 520000000,70.9 ± 5.1,27.6 ± 5.9,
,,-,,,,,,,1313 ± 71,316 ± 36,88800 ± 3000,8320 ± 270,26400 ± 1500,169000 ± 15000,426000 ± 27000,3090 ± 200,721000 ± 32000,0 ± 0.0E+0,1.00E+0 ± 0,147 ± 71,23 ± 36,88400 ± 3000,8050 ± 270,25700 ± 1500,169000 ± 15000,426000 ± 27000,3090 ± 200,718000 ± 32000,2.81 ± 0.34,147 ± 71,23 ± 36,88400 ± 3000,8050 ± 270,25700 ± 1500,169000 ± 15000,426000 ± 27000,3090 ± 200,718000 ± 32000,0.213 ± 0.012,1241 ± 62,2.68 ± 0.15,1311 ± 43,0.157 ± 0.010,2940 ± 180,0.1065 ± 0.0058,651 ± 34,2.68 ± 0.15,1311 ± 43,0.157 ± 0.010,2940 ± 180,0.0912 ± 0.0010,1447 ± 22,0.266 ± 0.015,1515 ± 74,3.32 ± 0.19,1472 ± 45,0 ± 0.0E+0,0 ± 0.0E+0,0.0904 ± 0.0010,1431 ± 22,3.93 ± 0.23,0.90 ± 0.11,93.5 ± 5.9,99.8 ± 9.1,
,,-,,,,,,,1310 ± 84,336 ± 41,72200 ± 3400,4270 ± 200,11020 ± 570,246000 ± 25000,1341000 ± 70000,9720 ± 510,1693000 ± 87000,0 ± 0.0E+0,1.00E+0 ± 0,143 ± 84,42 ± 41,71800 ± 3400,4000 ± 200,10350 ± 570,246000 ± 25000,1341000 ± 70000,9720 ± 510,1691000 ± 87000,5.78 ± 0.53,143 ± 84,42 ± 41,71800 ± 3400,4000 ± 200,10350 ± 570,246000 ± 25000,1341000 ± 70000,9720 ± 510,1691000 ± 87000,0.0541 ± 0.0019,339 ± 11,0.412 ± 0.013,349.8 ± 9.3,0.0455 ± 0.0040,896 ± 77,0.02704 ± 0.00093,171.9 ± 5.8,0.412 ± 0.013,349.8 ± 9.3,0.0455 ± 0.0040,896 ± 77,0.05580 ± 0.00071,440 ± 29,0.0674 ± 0.0023,421 ± 14,0.509 ± 0.016,417 ± 11,0 ± 0.0E+0,0 ± 0.0E+0,0.05531 ± 0.00071,420 ± 29,15.07 ± 0.52,1.85 ± 0.17,293 ± 15,144 ± 14,
,,-,,,,,,,1309 ± 79,348 ± 43,426000 ± 38000,69400 ± 5500,81900 ± 3300,298000 ± 25000,1320000 ± 230000,9600 ± 1700,2210000 ± 270000,0 ± 0.0E+0,1.00E+0 ± 0,141 ± 79,53 ± 43,426000 ± 38000,69100 ± 5500,81200 ± 3300,298000 ± 25000,1320000 ± 230000,9600 ± 1700,2200000 ± 270000,4.69 ± 0.88,141 ± 79,53 ± 43,426000 ± 38000,69100 ± 5500,81200 ± 3300,298000 ± 25000,1320000 ± 230000,9600 ± 1700,2200000 ± 270000,0.360 ± 0.024,1970 ± 120,8.15 ± 0.59,2223 ± 73,0.289 ± 0.025,5100 ± 380,0.180 ± 0.012,1063 ± 66,8.15 ± 0.59,2223 ± 73,0.289 ± 0.025,5100 ± 380,0.1634 ± 0.0019,2489 ± 20,0.448 ± 0.030,2370 ± 140,10.05 ± 0.72,2414 ± 75,0 ± 0.0E+0,0 ± 0.0E+0,0.1620 ± 0.0019,2475 ± 20,2.36 ± 0.19,1.51 ± 0.28,288 ± 50,173 ± 15,
,,-,,,,,,,1329 ± 79,325 ± 40,629000 ± 45000,189000 ± 13000,88400 ± 6100,242000 ± 26000,1031000 ± 92000,7480 ± 670,2190000 ± 170000,0 ± 0.0E+0,1.00E+0 ± 0,159 ± 79,30 ± 40,629000 ± 45000,189000 ± 13000,87700 ± 6100,242000 ± 26000,1031000 ± 92000,7480 ± 670,2190000 ± 170000,4.65 ± 0.49,159 ± 79,30 ± 40,629000 ± 45000,189000 ± 13000,87700 ± 6100,242000 ± 26000,1031000 ± 92000,7480 ± 670,2190000 ± 170000,0.626 ± 0.026,3150 ± 110,26.2 ± 1.1,3344 ± 41,0.394 ± 0.038,6630 ± 520,0.313 ± 0.013,1768 ± 68,26.2 ± 1.1,3344 ± 41,0.394 ± 0.038,6630 ± 520,0.3004 ± 0.0018,3471.4 ± 9.5,0.779 ± 0.032,3730 ± 120,32.2 ± 1.4,3547 ± 41,0 ± 0.0E+0,0 ± 0.0E+0,0.2978 ± 0.0018,3458.0 ± 9.5,1.299 ± 0.053,1.50 ± 0.16,224 ± 20,139 ± 15,
,,-,,,,,,,1272 ± 81,313 ± 54,431000 ± 23000,39600 ± 2000,175800 ± 8300,1282000 ± 89000,2180000 ± 110000,15800 ± 830,4120000 ± 210000,0 ± 0.0E+0,1.00E+0 ± 0,101 ± 81,17 ± 54,430000 ± 23000,39300 ± 2000,175100 ± 8300,1282000 ± 89000,2180000 ± 110000,15800 ± 830,4120000 ± 210000,1.74 ± 0.10,101 ± 81,17 ± 54,430000 ± 23000,39300 ± 2000,175100 ± 8300,1282000 ± 89000,2180000 ± 110000,15800 ± 830,4120000 ± 210000,0.1971 ± 0.0048,1167 ± 30,2.501 ± 0.075,1270 ± 21,0.1380 ± 0.0070,2610 ± 120,0.0986 ± 0.0024,610 ± 16,2.501 ± 0.075,1270 ± 21,0.1380 ± 0.0070,2610 ± 120,0.09140 ± 0.00060,1454 ± 12,0.2446 ± 0.0060,1419 ± 35,3.074 ± 0.092,1424 ± 23,0 ± 0.0E+0,0 ± 0.0E+0,0.09061 ± 0.00059,1437 ± 12,4.09 ± 0.11,0.563 ± 0.033,471 ± 25,730 ± 50,
,,-,,,,,,,1309 ± 86,315 ± 38,40000 ± 2200,3250 ± 180,4720 ± 300,38800 ± 7300,286000 ± 23000,2080 ± 170,377000 ± 29000,0 ± 0.0E+0,1.00E+0 ± 0,136 ± 86,19 ± 38,39600 ± 2200,2980 ± 180,4020 ± 300,38800 ± 7300,286000 ± 23000,2080 ± 170,374000 ± 29000,-1700000000 ± 1600000000,136 ± 86,19 ± 38,39600 ± 2200,2980 ± 180,4020 ± 300,38800 ± 7300,286000 ± 23000,2080 ± 170,374000 ± 29000,0.1447 ± 0.0093,868 ± 52,1.50 ± 0.10,920 ± 41,-32000000 ± 29000000,2190 ± 310,0.0723 ± 0.0046,449 ± 28,1.50 ± 0.10,920 ± 41,-32000000 ± 29000000,2190 ± 310,0.0751 ± 0.0020,1060 ± 53,0.179 ± 0.011,1059 ± 62,1.84 ± 0.13,1047 ± 45,0 ± 0.0E+0,0 ± 0.0E+0,0.0745 ± 0.0019,1043 ± 53,5.87 ± 0.37,-540000000 ± 520000000,61.7 ± 5.0,21.9 ± 4.1,
,,-,,,,,,,1330 ± 130,338 ± 51,4790 ± 280,513 ± 36,1119 ± 92,72000 ± 15000,665000 ± 43000,4830 ± 310,764000 ± 41000,0 ± 0.0E+0,1.00E+0 ± 0,150 ± 130,41 ± 51,4400 ± 280,233 ± 36,419 ± 92,72000 ± 15000,665000 ± 43000,4830 ± 310,761000 ± 41000,12.0 ± 2.7,150 ± 130,41 ± 51,4400 ± 280,233 ± 36,419 ± 92,72000 ± 15000,665000 ± 43000,4830 ± 310,761000 ± 41000,0.00675 ± 0.00050,43.4 ± 3.2,0.0490 ± 0.0075,48.4 ± 7.2,0.0078 ± 0.0027,157 ± 54,0.00338 ± 0.00025,21.7 ± 1.6,0.0490 ± 0.0075,48.4 ± 7.2,0.0078 ± 0.0027,157 ± 54,0.0536 ± 0.0080,780 ± 200,0.00835 ± 0.00062,53.6 ± 4.0,0.0600 ± 0.0092,58.9 ± 8.8,0 ± 0.0E+0,0 ± 0.0E+0,0.0531 ± 0.0079,810 ± 190,121.9 ± 8.3,3.91 ± 0.89,142.8 ± 9.3,40.1 ± 8.2,
,,-,,,,,,,1335 ± 98,317 ± 54,132700 ± 9100,12260 ± 840,28800 ± 2000,208000 ± 23000,670000 ± 50000,4860 ± 360,1057000 ± 76000,0 ± 0.0E+0,1.00E+0 ± 0,158 ± 98,19 ± 54,132300 ± 9100,11980 ± 840,28100 ± 2000,208000 ± 23000,670000 ± 50000,4860 ± 360,1054000 ± 76000,3.36 ± 0.30,158 ± 98,19 ± 54,132300 ± 9100,11980 ± 840,28100 ± 2000,208000 ± 23000,670000 ± 50000,4860 ± 360,1054000 ± 76000,0.1989 ± 0.0088,1168 ± 47,2.52 ± 0.13,1270 ± 37,0.144 ± 0.013,2700 ± 230,0.0995 ± 0.0044,611 ± 26,2.52 ± 0.13,1270 ± 37,0.144 ± 0.013,2700 ± 230,0.0906 ± 0.0013,1434 ± 28,0.245 ± 0.011,1412 ± 56,3.07 ± 0.16,1418 ± 38,0 ± 0.0E+0,0 ± 0.0E+0,0.0898 ± 0.0013,1418 ± 28,4.12 ± 0.20,1.101 ± 0.099,143 ± 11,114 ± 13,
,,-,,,,,,,1396 ± 72,355 ± 40,76500 ± 3700,4500 ± 210,11700 ± 780,255000 ± 26000,1380000 ± 63000,10010 ± 460,1739000 ± 86000,0 ± 0.0E+0,1.00E+0 ± 0,217 ± 72,56 ± 40,76100 ± 3700,4220 ± 210,10990 ± 780,255000 ± 26000,1380000 ± 63000,10010 ± 460,1736000 ± 86000,5.87 ± 0.47,217 ± 72,56 ± 40,76100 ± 3700,4220 ± 210,10990 ± 780,255000 ± 26000,1380000 ± 63000,10010 ± 460,1736000 ± 86000,0.0554 ± 0.0019,347 ± 12,0.424 ± 0.016,358 ± 12,0.0458 ± 0.0038,903 ± 72,0.02770 ± 0.00096,176.1 ± 6.0,0.424 ± 0.016,358 ± 12,0.0458 ± 0.0038,903 ± 72,0.0555 ± 0.0010,426 ± 41,0.0682 ± 0.0024,425 ± 14,0.517 ± 0.020,422 ± 13,0 ± 0.0E+0,0 ± 0.0E+0,0.0551 ± 0.0010,407 ± 41,14.88 ± 0.52,1.93 ± 0.16,293 ± 13,139 ± 14,
,,-,,,,,,,1340 ± 120,341 ± 53,660000 ± 41000,109500 ± 6600,103500 ± 6500,387000 ± 44000,1650000 ± 110000,11930 ± 830,2920000 ± 200000,0 ± 0.0E+0,1.00E+0 ± 0,160 ± 120,41 ± 53,660000 ± 41000,109200 ± 6600,102700 ± 6500,387000 ± 44000,1650000 ± 110000,11930 ± 830,2920000 ± 200000,4.51 ± 0.42,160 ± 120,41 ± 53,660000 ± 41000,109200 ± 6600,102700 ± 6500,387000 ± 44000,1650000 ± 110000,11930 ± 830,2920000 ± 200000,0.404 ± 0.016,2187 ± 73,9.24 ± 0.35,2358 ± 34,0.283 ± 0.027,5000 ± 410,0.2022 ± 0.0080,1186 ± 43,9.24 ± 0.35,2358 ± 34,0.283 ± 0.027,5000 ± 410,0.1658 ± 0.0017,2514 ± 17,0.497 ± 0.020,2597 ± 84,11.23 ± 0.43,2539 ± 35,0 ± 0.0E+0,0 ± 0.0E+0,0.1644 ± 0.0017,2500 ± 17,2.033 ± 0.078,1.49 ± 0.14,348 ± 24,208 ± 24,
,,-,,,,,,,1354 ± 96,405 ± 54,889000 ± 27000,263600 ± 9600,97100 ± 5100,260000 ± 22000,1664000 ± 80000,12060 ± 580,3212000 ± 78000,0 ± 0.0E+0,1.00E+0 ± 0,172 ± 96,106 ± 54,888000 ± 27000,263300 ± 9600,96300 ± 5100,260000 ± 22000,1664000 ± 80000,12060 ± 580,3209000 ± 78000,7.0 ± 1.0,172 ± 96,106 ± 54,888000 ± 27000,263300 ± 9600,96300 ± 5100,260000 ± 22000,1664000 ± 80000,12060 ± 580,3209000 ± 78000,0.542 ± 0.034,2780 ± 140,22.2 ± 1.5,3170 ± 73,0.381 ± 0.027,6600 ± 440,0.271 ± 0.017,1541 ± 87,22.2 ± 1.5,3170 ± 73,0.381 ± 0.027,6600 ± 440,0.2959 ± 0.0032,3447 ± 17,0.665 ± 0.042,3270 ± 170,27.0 ± 1.8,3359 ± 74,0 ± 0.0E+0,0 ± 0.0E+0,0.2935 ± 0.0032,3434 ± 17,1.54 ± 0.11,2.32 ± 0.35,350 ± 17,139 ± 12,
,,-,,,,,,,1367 ± 91,313 ± 39,33500 ± 1600,2110 ± 110,5050 ± 300,112000 ± 17000,647000 ± 47000,4690 ± 340,806000 ± 55000,0 ± 0.0E+0,1.00E+0 ± 0,184 ± 91,12 ± 39,33100 ± 1600,1820 ± 110,4320 ± 300,112000 ± 17000,647000 ± 47000,4690 ± 340,803000 ± 55000,6.5 ± 1.0,184 ± 91,12 ± 39,33100 ± 1600,1820 ± 110,4320 ± 300,112000 ± 17000,647000 ± 47000,4690 ± 340,803000 ± 55000,0.0523 ± 0.0029,328 ± 18,0.394 ± 0.023,336 ± 17,0.0443 ± 0.0084,870 ± 160,0.0261 ± 0.0014,166.3 ± 9.1,0.394 ± 0.023,336 ± 17,0.0443 ± 0.0084,870 ± 160,0.0550 ± 0.0022,391 ± 87,0.0640 ± 0.0035,400 ± 21,0.478 ± 0.028,395 ± 19,0 ± 0.0E+0,0 ± 0.0E+0,0.0545 ± 0.0022,372 ± 87,15.98 ± 0.87,2.16 ± 0.34,135.7 ± 9.8,59.5 ± 9.0,
,,-,,,,,,,1102 ± 53,259 ± 30,284 ± 31,189 ± 11,480 ± 42,0 ± 0.0E+0,690 ± 680,5.0 ± 4.9,3010 ± 690,0 ± 0.0E+0,1.00E+0 ± 0,-8 ± 53,-11 ± 30,23 ± 31,-1 ± 11,6 ± 42,-0.0000027952 ± 0.0000000022,690 ± 680,5.0 ± 4.9,680 ± 690,-250000000 ± 240000000,-8 ± 53,-11 ± 30,23 ± 31,-1 ± 11,6 ± 42,-0.0000027952 ± 0.0000000022,690 ± 680,5.0 ± 4.9,680 ± 690,-110000 ± 200000,76200 ± 6100,70 ± 500,6560 ± 630,-2000000 ± 15000000,355100 ± 4100,-55000 ± 98000,72100 ± 5800,70 ± 500,6560 ± 630,-2000000 ± 15000000,355100 ± 4100,0.41 ± 0.40,2920 ± 420,-150000 ± 260000,77900 ± 6200,100 ± 660,6990 ± 570,0 ± 0.0E+0,0 ± 0.0E+0,0.40 ± 0.40,2900 ± 420,-0.7 ± 6.8,-69000000 ± 68000000,0.18 ± 0.17,-2.63E-9 ± 0,
,,-,,,,,,,1192 ± 45,266 ± 28,271 ± 20,198 ± 10,493 ± 37,300 ± 430,610 ± 600,4.4 ± 4.4,3340 ± 750,0 ± 0.0E+0,1.00E+0 ± 0,81 ± 45,-5 ± 28,7 ± 20,6 ± 10,14 ± 37,300 ± 430,610 ± 600,4.4 ± 4.4,1000 ± 750,-210000000 ± 200000000,81 ± 45,-5 ± 28,7 ± 20,6 ± 10,14 ± 37,300 ± 430,610 ± 600,4.4 ± 4.4,1000 ± 750,-40000 ± 130000,76700 ± 6300,-270 ± 480,6670 ± 570,-3000000 ± 12000000,340000 ± 21000,-22000 ± 65000,72600 ± 6000,-270 ± 480,6670 ± 570,-3000000 ± 12000000,340000 ± 21000,-0.09 ± 0.32,3010 ± 390,-60000 ± 170000,78400 ± 6500,-360 ± 630,6930 ± 590,0 ± 0.0E+0,0 ± 0.0E+0,-0.09 ± 0.32,3100 ± 400,-1 ± 21,-59000000 ± 58000000,0.16 ± 0.15,0.28 ± 0.40,
,,-,,,,,,,1108 ± 61,267 ± 29,275 ± 28,194 ± 10,505 ± 41,0 ± 0.0E+0,400 ± 560,2.9 ± 4.1,2750 ± 570,0 ± 0.0E+0,1.00E+0 ± 0,-5 ± 61,-4 ± 29,8 ± 28,0 ± 10,21 ± 41,-0.0000030765 ± 0.0000000021,400 ± 560,2.9 ± 4.1,400 ± 570,-130000000 ± 180000000,-5 ± 61,-4 ± 29,8 ± 28,0 ± 10,21 ± 41,-0.0000030765 ± 0.0000000021,400 ± 560,2.9 ± 4.1,400 ± 570,-50000 ± 180000,78600 ± 4700,-30 ± 480,6880 ± 610,-7000000 ± 13000000,350700 ± 4000,-27000 ± 92000,74300 ± 4500,-30 ± 480,6880 ± 610,-7000000 ± 13000000,350700 ± 4000,0.05 ± 0.26,2650 ± 630,-70000 ± 240000,80400 ± 4800,-40 ± 630,7150 ± 630,0 ± 0.0E+0,0 ± 0.0E+0,0.04 ± 0.26,2640 ± 630,-12 ± 19,-37000000 ± 52000000,0.10 ± 0.14,-2.81E-9 ± 0,
,,-,,,,,,,1095 ± 75,271 ± 36,280 ± 23,189 ± 13,479 ± 43,0 ± 0.0E+0,830 ± 820,6.1 ± 5.9,3150 ± 820,0 ± 0.0E+0,1.00E+0 ± 0,-20 ± 75,-1 ± 36,10 ± 23,-7 ± 13,-10 ± 43,-0.0000032128 ± 0.0000000020,830 ± 820,6.0 ± 5.9,790 ± 820,-260000000 ± 250000000,-20 ± 75,-1 ± 36,10 ± 23,-7 ± 13,-10 ± 43,-0.0000032128 ± 0.0000000020,830 ± 820,6.0 ± 5.9,790 ± 820,-80000 ± 150000,73700 ± 8700,280 ± 590,6790 ± 730,3000000 ± 13000000,355500 ± 4300,-40000 ± 73000,69700 ± 8200,280 ± 590,6790 ± 730,3000000 ± 13000000,355500 ± 4300,0.13 ± 0.36,3260 ± 410,-110000 ± 190000,75300 ± 8900,370 ± 770,7000 ± 810,0 ± 0.0E+0,0 ± 0.0E+0,0.13 ± 0.36,3250 ± 410,-4 ± 12,-74000000 ± 72000000,0.21 ± 0.21,-2.89E-9 ± 0,
,,-,,,,,,,1119 ± 68,283 ± 30,283 ± 28,204 ± 13,500 ± 40,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2389 ± 87,0 ± 0.0E+0,1.00E+0 ± 0,3 ± 68,10 ± 30,10 ± 28,6 ± 13,6 ± 40,-0.0000033560 ± 0.0000000019,-0.0001537402 ± 0.0000000074,-0.02100338 ± 0.00000098,9 ± 87,45.811 ± 0.024,3 ± 68,10 ± 30,10 ± 28,6 ± 13,6 ± 40,-0.0000033560 ± 0.0000000019,-0.0001537402 ± 0.0000000074,-0.02100338 ± 0.00000098,9 ± 87,-70000 ± 190000,83900 ± 1700,-290 ± 620,7260 ± 250,-2000000 ± 12000000,351700 ± 4500,-33000 ± 93000,79400 ± 1700,-290 ± 620,7260 ± 250,-2000000 ± 12000000,351700 ± 4500,0.09 ± 0.36,2920 ± 510,-90000 ± 250000,85700 ± 1700,-390 ± 820,7540 ± 250,0 ± 0.0E+0,0 ± 0.0E+0,0.09 ± 0.36,2900 ± 510,-0.0000011 ± 0.0000012,13.0989 ± 0.0063,-3.89E-8 ± 0,-2.97E-9 ± 0,
