Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
,,-,,,,,,,1278 ± 59,326 ± 28,151400 ± 5000,8640 ± 280,14110 ± 320,318000 ± 17000,2960000 ± 120000,21460 ± 890,3470000 ± 140000,11.4 ± 1.3,1.00E+0 ± 0,162 ± 59,53 ± 28,151100 ± 5000,8440 ± 280,13610 ± 320,318000 ± 17000,2960000 ± 120000,21460 ± 890,3470000 ± 140000,9.56 ± 0.47,162 ± 59,53 ± 28,151100 ± 5000,8440 ± 280,13610 ± 320,318000 ± 17000,2960000 ± 120000,21460 ± 890,3470000 ± 140000,0.05123 ± 0.00085,322.0 ± 5.2,0.3953 ± 0.0076,337.9 ± 5.5,0.0446 ± 0.0021,881 ± 40,1.186 ± 0.021,5034 ± 60,1.240 ± 0.028,817 ± 13,1.311 ± 0.065,16820 ± 570,0.05588 ± 0.00052,447 ± 22,0.0669 ± 0.0012,417.6 ± 7.0,0.513 ± 0.012,419.8 ± 7.7,0 ± 0.0E+0,0 ± 0.0E+0,0.05528 ± 0.00051,422 ± 22,15.05 ± 0.26,2.96 ± 0.14,0.879889,0.195958,
,,-,,,,,,,1295 ± 45,355 ± 26,805000 ± 25000,133400 ± 4100,238900 ± 7700,884000 ± 38000,2134000 ± 83000,15480 ± 600,4200000 ± 150000,16.1 ± 1.5,1.00E+0 ± 0,176 ± 45,81 ± 26,805000 ± 25000,133200 ± 4100,238300 ± 7700,884000 ± 38000,2134000 ± 83000,15480 ± 600,4200000 ± 150000,2.455 ± 0.066,176 ± 45,81 ± 26,805000 ± 25000,133200 ± 4100,238300 ± 7700,884000 ± 38000,2134000 ± 83000,15480 ± 600,4200000 ± 150000,0.3786 ± 0.0065,2067 ± 30,8.62 ± 0.14,2297 ± 15,0.2729 ± 0.0061,4870 ± 96,8.50 ± 0.14,14488 ± 94,26.17 ± 0.44,3348 ± 16,8.11 ± 0.25,44470 ± 550,0.16555 ± 0.00055,2512.1 ± 5.5,0.4786 ± 0.0079,2518 ± 34,10.80 ± 0.18,2502 ± 15,0 ± 0.0E+0,0 ± 0.0E+0,0.16377 ± 0.00054,2493.8 ± 5.5,2.109 ± 0.034,0.764 ± 0.021,0.931347,0.0847922,
,,-,,,,,,,1269 ± 51,315 ± 24,477000 ± 14000,143600 ± 4300,78800 ± 2200,198000 ± 11000,849000 ± 36000,6160 ± 260,1754000 ± 60000,15.0 ± 1.4,1.00E+0 ± 0,149 ± 51,41 ± 24,477000 ± 14000,143400 ± 4300,78300 ± 2200,198000 ± 11000,849000 ± 36000,6160 ± 260,1752000 ± 60000,4.61 ± 0.28,149 ± 51,41 ± 24,477000 ± 14000,143400 ± 4300,78300 ± 2200,198000 ± 11000,849000 ± 36000,6160 ± 260,1752000 ± 60000,0.572 ± 0.014,2907 ± 57,23.72 ± 0.59,3251 ± 24,0.419 ± 0.021,7060 ± 300,12.94 ± 0.34,16950 ± 160,72.1 ± 1.8,4352 ± 25,12.22 ± 0.64,51620 ± 960,0.3008 ± 0.0010,3474.1 ± 5.5,0.726 ± 0.019,3508 ± 69,29.69 ± 0.74,3471 ± 25,0 ± 0.0E+0,0 ± 0.0E+0,0.2976 ± 0.0010,3457.5 ± 5.5,1.397 ± 0.036,1.439 ± 0.089,0.981144,0.157471,
,,-,,,,,,,1313 ± 48,304 ± 22,43510 ± 780,3476 ± 72,5160 ± 130,47100 ± 4600,304000 ± 15000,2200 ± 110,407000 ± 17000,15.1 ± 1.4,1.00E+0 ± 0,191 ± 48,29 ± 22,43220 ± 780,3271 ± 72,4650 ± 130,47100 ± 4600,304000 ± 15000,2200 ± 110,405000 ± 17000,8.12 ± 0.87,191 ± 48,29 ± 22,43220 ± 780,3271 ± 72,4650 ± 130,47100 ± 4600,304000 ± 15000,2200 ± 110,405000 ± 17000,0.1500 ± 0.0063,898 ± 35,1.563 ± 0.069,951 ± 28,0.125 ± 0.013,2300 ± 220,3.40 ± 0.14,9480 ± 210,4.80 ± 0.21,1767 ± 37,3.69 ± 0.39,29300 ± 1500,0.07552 ± 0.00097,1075 ± 26,0.1906 ± 0.0080,1120 ± 43,1.969 ± 0.087,1094 ± 30,0 ± 0.0E+0,0 ± 0.0E+0,0.07473 ± 0.00096,1053 ± 26,5.45 ± 0.21,2.54 ± 0.27,0.9593,-0.0976103,
,,-,,,,,,,1297 ± 52,332 ± 26,55700 ± 1300,4390 ± 100,6590 ± 160,54300 ± 5300,381000 ± 18000,2760 ± 130,503000 ± 21000,15.5 ± 1.4,1.00E+0 ± 0,174 ± 52,57 ± 26,55400 ± 1300,4190 ± 100,6070 ± 160,54300 ± 5300,381000 ± 18000,2760 ± 130,501000 ± 21000,9.0 ± 1.0,174 ± 52,57 ± 26,55400 ± 1300,4190 ± 100,6070 ± 160,54300 ± 5300,381000 ± 18000,2760 ± 130,501000 ± 21000,0.1503 ± 0.0053,900 ± 29,1.587 ± 0.064,959 ± 25,0.146 ± 0.017,2600 ± 260,3.39 ± 0.12,9540 ± 180,4.85 ± 0.19,1776 ± 32,4.31 ± 0.51,31500 ± 1600,0.07558 ± 0.00080,1081 ± 21,0.1894 ± 0.0065,1115 ± 35,1.984 ± 0.079,1099 ± 25,0 ± 0.0E+0,0 ± 0.0E+0,0.07479 ± 0.00079,1060 ± 21,5.37 ± 0.18,2.83 ± 0.32,0.96051,0.045145,
,,-,,,,,,,1300 ± 51,310 ± 24,4310 ± 190,389 ± 16,892 ± 43,73500 ± 6200,600000 ± 38000,4360 ± 270,687000 ± 41000,14.2 ± 1.3,1.00E+0 ± 0,176 ± 51,34 ± 24,4020 ± 190,180 ± 16,369 ± 43,73500 ± 6200,600000 ± 38000,4360 ± 270,684000 ± 41000,10.0 ± 1.3,176 ± 51,34 ± 24,4020 ± 190,180 ± 16,369 ± 43,73500 ± 6200,600000 ± 38000,4360 ± 270,684000 ± 41000,0.00703 ± 0.00030,45.1 ± 1.9,0.0422 ± 0.0036,41.8 ± 3.5,0.0065 ± 0.0013,123 ± 21,0.1586 ± 0.0064,946 ± 35,0.129 ± 0.011,121.9 ± 9.8,0.193 ± 0.039,3190 ± 500,0.0445 ± 0.0037,560 ± 110,0.00883 ± 0.00036,56.7 ± 2.3,0.0527 ± 0.0045,51.9 ± 4.3,0 ± 0.0E+0,0 ± 0.0E+0,0.0440 ± 0.0036,560 ± 110,117.2 ± 4.6,3.16 ± 0.41,0.499427,-0.00210533,
,,-,,,,,,,1278 ± 52,318 ± 27,279700 ± 7400,25760 ± 740,19720 ± 790,124600 ± 9300,1415000 ± 61000,10260 ± 440,1870000 ± 73000,15.4 ± 1.5,1.00E+0 ± 0,151 ± 52,41 ± 27,279500 ± 7400,25550 ± 740,19190 ± 790,124600 ± 9300,1415000 ± 61000,10260 ± 440,1868000 ± 73000,13.7 ± 1.4,151 ± 52,41 ± 27,279500 ± 7400,25550 ± 740,19190 ± 790,124600 ± 9300,1415000 ± 61000,10260 ± 440,1868000 ± 73000,0.2021 ± 0.0040,1185 ± 21,2.533 ± 0.051,1278 ± 14,0.186 ± 0.018,3240 ± 220,4.587 ± 0.087,11064 ± 99,7.76 ± 0.16,2201 ± 19,5.56 ± 0.58,35800 ± 1200,0.09094 ± 0.00049,1443 ± 10,0.2541 ± 0.0048,1458 ± 25,3.153 ± 0.066,1444 ± 16,0 ± 0.0E+0,0 ± 0.0E+0,0.09002 ± 0.00048,1424 ± 10,3.983 ± 0.074,4.36 ± 0.44,0.934632,-0.129256,
,,-,,,,,,,1271 ± 50,300 ± 23,65300 ± 1700,3821 ± 97,11420 ± 270,244000 ± 13000,1235000 ± 52000,8960 ± 380,1577000 ± 53000,15.2 ± 1.5,1.00E+0 ± 0,143 ± 50,22 ± 23,65000 ± 1700,3605 ± 97,10890 ± 270,244000 ± 13000,1235000 ± 52000,8960 ± 380,1575000 ± 53000,5.51 ± 0.38,143 ± 50,22 ± 23,65000 ± 1700,3605 ± 97,10890 ± 270,244000 ± 13000,1235000 ± 52000,8960 ± 380,1575000 ± 53000,0.0533 ± 0.0013,334.4 ± 7.8,0.405 ± 0.010,344.6 ± 7.4,0.0463 ± 0.0022,913 ± 42,1.200 ± 0.026,5080 ± 78,1.236 ± 0.029,816 ± 13,1.362 ± 0.074,17160 ± 590,0.05526 ± 0.00068,417 ± 27,0.0663 ± 0.0014,413.7 ± 8.7,0.501 ± 0.012,411.2 ± 7.8,0 ± 0.0E+0,0 ± 0.0E+0,0.05470 ± 0.00067,397 ± 27,15.28 ± 0.34,1.76 ± 0.12,0.871684,-0.215974,
,,-,,,,,,,1289 ± 52,309 ± 21,74600 ± 3600,4360 ± 210,11340 ± 470,240000 ± 13000,1386000 ± 82000,10050 ± 590,1728000 ± 95000,16.2 ± 1.5,1.00E+0 ± 0,145 ± 52,25 ± 21,74300 ± 3600,4130 ± 210,10750 ± 470,240000 ± 13000,1386000 ± 82000,10050 ± 590,1725000 ± 95000,5.98 ± 0.34,145 ± 52,25 ± 21,74300 ± 3600,4130 ± 210,10750 ± 470,240000 ± 13000,1386000 ± 82000,10050 ± 590,1725000 ± 95000,0.0549 ± 0.0011,344.3 ± 6.7,0.4201 ± 0.0092,355.4 ± 6.5,0.0473 ± 0.0023,939 ± 45,1.239 ± 0.026,5180 ± 74,1.281 ± 0.030,834 ± 13,1.391 ± 0.075,17530 ± 630,0.05536 ± 0.00056,423 ± 22,0.0667 ± 0.0014,416.0 ± 8.5,0.506 ± 0.012,414.7 ± 8.0,0 ± 0.0E+0,0 ± 0.0E+0,0.05486 ± 0.00055,403 ± 22,15.23 ± 0.32,1.98 ± 0.11,0.879873,-0.0908543,
,,-,,,,,,,1294 ± 46,332 ± 25,364000 ± 15000,60700 ± 2400,79300 ± 3600,291000 ± 17000,952000 ± 54000,6910 ± 390,1753000 ± 87000,17.3 ± 1.5,1.00E+0 ± 0,150 ± 46,48 ± 25,364000 ± 15000,60400 ± 2400,78700 ± 3600,291000 ± 17000,952000 ± 54000,6910 ± 390,1750000 ± 87000,3.57 ± 0.23,150 ± 46,48 ± 25,364000 ± 15000,60400 ± 2400,78700 ± 3600,291000 ± 17000,952000 ± 54000,6910 ± 390,1750000 ± 87000,0.3919 ± 0.0093,2126 ± 43,8.93 ± 0.21,2325 ± 22,0.294 ± 0.016,5040 ± 200,8.82 ± 0.21,14670 ± 130,26.45 ± 0.80,3371 ± 26,8.11 ± 0.55,44790 ± 880,0.16524 ± 0.00063,2508.7 ± 6.4,0.473 ± 0.011,2492 ± 48,10.42 ± 0.31,2481 ± 25,0 ± 0.0E+0,0 ± 0.0E+0,0.16376 ± 0.00062,2493.6 ± 6.4,2.34 ± 0.37,1.187 ± 0.076,0.9608,-0.168387,
