Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
,,-,,,,,,,1307 ± 44,351 ± 27,376000 ± 16000,113100 ± 4900,88400 ± 5300,248000 ± 19000,645000 ± 29000,4680 ± 210,1477000 ± 67000,16.4 ± 1.5,1.00E+0 ± 0,161 ± 44,66 ± 27,376000 ± 16000,112900 ± 4900,87800 ± 5300,248000 ± 19000,645000 ± 29000,4680 ± 210,1475000 ± 67000,3.14 ± 0.26,161 ± 44,66 ± 27,376000 ± 16000,112900 ± 4900,87800 ± 5300,248000 ± 19000,645000 ± 29000,4680 ± 210,1475000 ± 67000,0.591 ± 0.017,2982 ± 67,24.47 ± 0.70,3273 ± 28,0.387 ± 0.020,6540 ± 280,13.23 ± 0.34,17080 ± 160,74.0 ± 2.0,4371 ± 26,11.42 ± 0.64,50600 ± 1100,0.3000 ± 0.0010,3469.7 ± 5.1,0.708 ± 0.018,3439 ± 68,29.09 ± 0.78,3444 ± 26,0 ± 0.0E+0,0 ± 0.0E+0,0.2973 ± 0.0010,3455.9 ± 5.1,1.440 ± 0.038,1.047 ± 0.086,0.972066,0.0281919,
,,-,,,,,,,1315 ± 55,324 ± 21,2996 ± 66,362 ± 12,1134 ± 48,111400 ± 6800,370000 ± 14000,2680 ± 100,491000 ± 16000,15.7 ± 1.5,1.00E+0 ± 0,168 ± 55,38 ± 21,2664 ± 66,119 ± 12,528 ± 48,111400 ± 6800,370000 ± 14000,2680 ± 100,489000 ± 16000,3.73 ± 0.30,168 ± 55,38 ± 21,2664 ± 66,119 ± 12,528 ± 48,111400 ± 6800,370000 ± 14000,2680 ± 100,489000 ± 16000,0.00743 ± 0.00028,47.7 ± 1.8,0.0455 ± 0.0049,44.8 ± 4.8,0.00527 ± 0.00059,106 ± 12,0.1674 ± 0.0062,995 ± 34,0.139 ± 0.015,131 ± 14,0.155 ± 0.017,2830 ± 300,0.0446 ± 0.0046,770 ± 140,0.00894 ± 0.00033,57.4 ± 2.1,0.0545 ± 0.0059,53.3 ± 5.7,0 ± 0.0E+0,0 ± 0.0E+0,0.0442 ± 0.0045,780 ± 140,116.0 ± 4.4,1.248 ± 0.100,0.404914,0.00369237,
,,-,,,,,,,1337 ± 61,366 ± 28,63700 ± 1400,4970 ± 130,7440 ± 200,63100 ± 6200,408000 ± 18000,2960 ± 130,556000 ± 22000,11.9 ± 1.3,1.00E+0 ± 0,187 ± 61,80 ± 28,63300 ± 1400,4730 ± 130,6830 ± 200,63100 ± 6200,408000 ± 18000,2960 ± 130,553000 ± 22000,8.4 ± 1.1,187 ± 61,80 ± 28,63300 ± 1400,4730 ± 130,6830 ± 200,63100 ± 6200,408000 ± 18000,2960 ± 130,553000 ± 22000,0.1564 ± 0.0054,935 ± 30,1.618 ± 0.059,971 ± 22,0.139 ± 0.019,2390 ± 240,3.62 ± 0.13,9800 ± 180,5.05 ± 0.19,1815 ± 31,4.06 ± 0.55,30500 ± 1800,0.07471 ± 0.00093,1055 ± 25,0.1928 ± 0.0071,1134 ± 38,1.973 ± 0.076,1098 ± 25,0 ± 0.0E+0,0 ± 0.0E+0,0.07407 ± 0.00092,1037 ± 25,5.33 ± 0.18,2.82 ± 0.38,0.92929,0.0931343,
,,-,,,,,,,1315 ± 64,332 ± 27,3990 ± 130,414 ± 14,1118 ± 54,98500 ± 6900,508000 ± 27000,3680 ± 200,617000 ± 30000,12.8 ± 1.3,1.00E+0 ± 0,164 ± 64,45 ± 27,3650 ± 130,167 ± 14,501 ± 54,98500 ± 6900,508000 ± 27000,3680 ± 200,615000 ± 30000,5.68 ± 0.52,164 ± 64,45 ± 27,3650 ± 130,167 ± 14,501 ± 54,98500 ± 6900,508000 ± 27000,3680 ± 200,615000 ± 30000,0.00754 ± 0.00031,48.4 ± 2.0,0.0482 ± 0.0046,47.5 ± 4.4,0.00563 ± 0.00088,113 ± 18,0.1708 ± 0.0064,1014 ± 35,0.149 ± 0.014,139 ± 12,0.160 ± 0.023,2900 ± 380,0.0459 ± 0.0038,740 ± 120,0.00908 ± 0.00034,58.2 ± 2.2,0.0582 ± 0.0055,57.0 ± 5.2,0 ± 0.0E+0,0 ± 0.0E+0,0.0455 ± 0.0038,720 ± 120,113.6 ± 4.4,1.92 ± 0.18,0.386539,0.0392097,
,,-,,,,,,,1369 ± 56,336 ± 24,170500 ± 6600,15590 ± 610,24620 ± 780,163000 ± 10000,816000 ± 43000,5920 ± 310,1198000 ± 53000,15.4 ± 1.4,1.00E+0 ± 0,216 ± 56,48 ± 24,170200 ± 6600,15340 ± 610,24000 ± 780,163000 ± 10000,816000 ± 43000,5920 ± 310,1196000 ± 53000,5.50 ± 0.41,216 ± 56,48 ± 24,170200 ± 6600,15340 ± 610,24000 ± 780,163000 ± 10000,816000 ± 43000,5920 ± 310,1196000 ± 53000,0.2149 ± 0.0055,1253 ± 29,2.668 ± 0.070,1314 ± 19,0.1582 ± 0.0090,2980 ± 160,4.83 ± 0.12,11330 ± 130,8.09 ± 0.21,2233 ± 23,4.65 ± 0.28,34440 ± 960,0.09010 ± 0.00054,1425 ± 11,0.2556 ± 0.0064,1465 ± 33,3.140 ± 0.080,1436 ± 20,0 ± 0.0E+0,0 ± 0.0E+0,0.08934 ± 0.00053,1409 ± 11,3.99 ± 0.10,1.87 ± 0.14,0.962077,0.0538245,
,,-,,,,,,,1287 ± 52,314 ± 29,43200 ± 1500,2615 ± 88,8490 ± 300,200000 ± 11000,801000 ± 41000,5810 ± 290,1063000 ± 47000,14.6 ± 1.3,1.00E+0 ± 0,132 ± 52,25 ± 29,42800 ± 1500,2363 ± 88,7850 ± 300,200000 ± 11000,801000 ± 41000,5810 ± 290,1060000 ± 47000,4.20 ± 0.25,132 ± 52,25 ± 29,42800 ± 1500,2363 ± 88,7850 ± 300,200000 ± 11000,801000 ± 41000,5810 ± 290,1060000 ± 47000,0.0552 ± 0.0017,346 ± 11,0.418 ± 0.013,353.6 ± 9.4,0.0411 ± 0.0021,813 ± 41,1.247 ± 0.037,5200 ± 110,1.276 ± 0.040,831 ± 18,1.218 ± 0.069,15920 ± 630,0.05518 ± 0.00087,424 ± 33,0.0658 ± 0.0020,410 ± 12,0.494 ± 0.015,406 ± 10,0 ± 0.0E+0,0 ± 0.0E+0,0.05472 ± 0.00086,413 ± 32,15.51 ± 0.43,1.435 ± 0.087,0.867377,0.18802,
,,-,,,,,,,1303 ± 49,347 ± 23,467000 ± 22000,63700 ± 3400,85200 ± 4300,676000 ± 30000,2750000 ± 120000,19940 ± 890,4110000 ± 160000,17.5 ± 1.5,1.00E+0 ± 0,147 ± 49,58 ± 23,467000 ± 22000,63400 ± 3400,84600 ± 4300,676000 ± 30000,2750000 ± 120000,19940 ± 890,4110000 ± 160000,4.08 ± 0.13,147 ± 49,58 ± 23,467000 ± 22000,63400 ± 3400,84600 ± 4300,676000 ± 30000,2750000 ± 120000,19940 ± 890,4110000 ± 160000,0.1715 ± 0.0046,1018 ± 25,3.20 ± 0.12,1444 ± 26,0.1269 ± 0.0063,2420 ± 110,3.72 ± 0.20,10160 ± 180,9.44 ± 0.53,2358 ± 51,3.62 ± 0.22,31520 ± 780,0.1346 ± 0.0015,2153 ± 19,0.195 ± 0.011,1186 ± 47,3.64 ± 0.21,1545 ± 44,0 ± 0.0E+0,0 ± 0.0E+0,0.1335 ± 0.0015,2139 ± 19,5.6 ± 1.0,1.397 ± 0.046,0.954657,-0.187875,
,,-,,,,,,,1322 ± 56,327 ± 25,341600 ± 6300,102900 ± 1900,72000 ± 1200,201000 ± 11000,559000 ± 21000,4050 ± 150,1284000 ± 30000,13.1 ± 1.3,1.00E+0 ± 0,164 ± 56,37 ± 25,341300 ± 6300,102700 ± 1900,71400 ± 1200,201000 ± 11000,559000 ± 21000,4050 ± 150,1281000 ± 30000,2.94 ± 0.19,164 ± 56,37 ± 25,341300 ± 6300,102700 ± 1900,71400 ± 1200,201000 ± 11000,559000 ± 21000,4050 ± 150,1281000 ± 30000,0.622 ± 0.019,3107 ± 73,25.81 ± 0.79,3327 ± 30,0.372 ± 0.021,6440 ± 330,14.18 ± 0.43,17490 ± 190,79.4 ± 2.5,4446 ± 32,11.14 ± 0.72,49700 ± 1200,0.3008 ± 0.0012,3473.3 ± 6.2,0.744 ± 0.023,3569 ± 83,30.58 ± 0.97,3497 ± 32,0 ± 0.0E+0,0 ± 0.0E+0,0.2984 ± 0.0012,3460.8 ± 6.2,1.374 ± 0.042,1.012 ± 0.064,0.983694,-0.0513126,
,,-,,,,,,,1316 ± 50,308 ± 22,42800 ± 1800,3480 ± 140,5020 ± 210,47500 ± 5100,264000 ± 17000,1910 ± 130,369000 ± 22000,17.4 ± 1.5,1.00E+0 ± 0,155 ± 50,17 ± 22,42500 ± 1800,3220 ± 140,4370 ± 210,47500 ± 5100,264000 ± 17000,1910 ± 130,366000 ± 22000,-900000000 ± 700000000,155 ± 50,17 ± 22,42500 ± 1800,3220 ± 140,4370 ± 210,47500 ± 5100,264000 ± 17000,1910 ± 130,366000 ± 22000,0.1713 ± 0.0078,1014 ± 42,1.769 ± 0.083,1018 ± 30,-9300000 ± 9400000,2000 ± 210,3.66 ± 0.19,10040 ± 230,5.18 ± 0.25,1844 ± 42,-270000000 ± 260000000,26900 ± 1800,0.07526 ± 0.00091,1068 ± 25,0.1913 ± 0.0099,1135 ± 50,1.987 ± 0.097,1107 ± 32,0 ± 0.0E+0,0 ± 0.0E+0,0.07467 ± 0.00091,1052 ± 25,5.73 ± 0.84,-310000000 ± 240000000,0.962098,-0.452056,
,,-,,,,,,,1274 ± 45,314 ± 24,2374 ± 66,347 ± 11,832 ± 41,37800 ± 4100,268000 ± 15000,1940 ± 110,314000 ± 17000,16.7 ± 1.5,1.00E+0 ± 0,112 ± 45,22 ± 24,2014 ± 65,84 ± 11,174 ± 41,37800 ± 4100,268000 ± 15000,1940 ± 110,311000 ± 17000,-2000000000 ± 1100000000,112 ± 45,22 ± 24,2014 ± 65,84 ± 11,174 ± 41,37800 ± 4100,268000 ± 15000,1940 ± 110,311000 ± 17000,0.00783 ± 0.00042,50.3 ± 2.7,0.0446 ± 0.0070,43.5 ± 6.7,-1030000 ± 930000,106 ± 32,0.1717 ± 0.0096,1013 ± 53,0.134 ± 0.020,122 ± 18,-16000000 ± 31000000,2400 ± 840,0.0421 ± 0.0062,990 ± 160,0.00894 ± 0.00050,57.3 ± 3.2,0.0511 ± 0.0076,49.6 ± 7.3,0 ± 0.0E+0,0 ± 0.0E+0,0.0417 ± 0.0062,990 ± 160,135 ± 23,-680000000 ± 400000000,0.0507932,-0.0315885,
,,-,,,,,,,1318 ± 63,320 ± 29,81000 ± 3700,7620 ± 340,28000 ± 1300,189000 ± 16000,388000 ± 25000,2810 ± 180,698000 ± 29000,9.5 ± 1.1,1.00E+0 ± 0,153 ± 63,27 ± 29,80600 ± 3700,7350 ± 340,27300 ± 1300,189000 ± 16000,388000 ± 25000,2810 ± 180,695000 ± 29000,2.41 ± 0.30,153 ± 63,27 ± 29,80600 ± 3700,7350 ± 340,27300 ± 1300,189000 ± 16000,388000 ± 25000,2810 ± 180,695000 ± 29000,0.2162 ± 0.0099,1257 ± 52,2.72 ± 0.13,1322 ± 36,0.153 ± 0.010,2860 ± 180,5.06 ± 0.22,11530 ± 230,8.59 ± 0.39,2279 ± 41,4.46 ± 0.34,33700 ± 1100,0.09117 ± 0.00098,1450 ± 20,0.262 ± 0.011,1494 ± 57,3.27 ± 0.15,1461 ± 35,0 ± 0.0E+0,0 ± 0.0E+0,0.09048 ± 0.00097,1436 ± 20,3.97 ± 0.18,0.85 ± 0.11,0.957353,-0.0593041,
,,-,,,,,,,1354 ± 60,342 ± 25,66500 ± 1900,3920 ± 120,10380 ± 290,231000 ± 14000,1120000 ± 53000,8120 ± 380,1448000 ± 61000,15.0 ± 1.4,1.00E+0 ± 0,187 ± 60,48 ± 25,66100 ± 1900,3650 ± 120,9700 ± 290,231000 ± 14000,1120000 ± 53000,8120 ± 380,1445000 ± 61000,5.24 ± 0.32,187 ± 60,48 ± 25,66100 ± 1900,3650 ± 120,9700 ± 290,231000 ± 14000,1120000 ± 53000,8120 ± 380,1445000 ± 61000,0.0598 ± 0.0017,374 ± 10,0.455 ± 0.013,379.4 ± 8.8,0.0449 ± 0.0024,886 ± 46,1.343 ± 0.032,5481 ± 89,1.385 ± 0.034,881 ± 14,1.339 ± 0.079,16830 ± 650,0.05535 ± 0.00059,426 ± 26,0.0694 ± 0.0016,432.2 ± 9.8,0.526 ± 0.013,429.0 ± 8.2,0 ± 0.0E+0,0 ± 0.0E+0,0.05494 ± 0.00058,410 ± 26,14.57 ± 0.33,1.85 ± 0.11,0.88408,0.0748872,
,,-,,,,,,,1373 ± 47,361 ± 24,279000 ± 17000,46500 ± 2700,79400 ± 2100,291000 ± 13000,673000 ± 51000,4880 ± 370,1369000 ± 71000,16.3 ± 1.5,1.00E+0 ± 0,205 ± 47,66 ± 24,279000 ± 17000,46300 ± 2700,78700 ± 2100,291000 ± 13000,673000 ± 51000,4880 ± 370,1366000 ± 71000,2.49 ± 0.22,205 ± 47,66 ± 24,279000 ± 17000,46300 ± 2700,78700 ± 2100,291000 ± 13000,673000 ± 51000,4880 ± 370,1366000 ± 71000,0.413 ± 0.014,2219 ± 63,9.48 ± 0.33,2375 ± 32,0.279 ± 0.011,4950 ± 180,9.24 ± 0.27,14910 ± 170,28.51 ± 0.86,3425 ± 30,8.18 ± 0.40,44710 ± 830,0.16629 ± 0.00082,2519.0 ± 8.4,0.476 ± 0.014,2501 ± 60,10.80 ± 0.33,2496 ± 28,0 ± 0.0E+0,0 ± 0.0E+0,0.16507 ± 0.00082,2506.7 ± 8.4,2.168 ± 0.067,0.883 ± 0.079,0.976068,-0.208199,
,,-,,,,,,,1327 ± 51,322 ± 23,453000 ± 33000,136100 ± 9900,66200 ± 4300,181000 ± 16000,716000 ± 63000,5190 ± 460,1560000 ± 120000,13.9 ± 1.4,1.00E+0 ± 0,157 ± 51,27 ± 23,452000 ± 33000,135800 ± 9900,65500 ± 4300,181000 ± 16000,716000 ± 63000,5190 ± 460,1560000 ± 120000,4.28 ± 0.33,157 ± 51,27 ± 23,452000 ± 33000,135800 ± 9900,65500 ± 4300,181000 ± 16000,716000 ± 63000,5190 ± 460,1560000 ± 120000,0.664 ± 0.022,3265 ± 86,27.49 ± 0.93,3386 ± 32,0.401 ± 0.027,6710 ± 380,15.04 ± 0.47,17830 ± 190,84.1 ± 2.6,4502 ± 32,11.86 ± 0.85,50400 ± 1300,0.3005 ± 0.0012,3471.5 ± 6.2,0.773 ± 0.024,3675 ± 87,31.78 ± 0.99,3534 ± 32,0 ± 0.0E+0,0 ± 0.0E+0,0.2983 ± 0.0012,3460.3 ± 6.2,1.327 ± 0.043,1.52 ± 0.12,0.986,0.0572795,
,,-,,,,,,,1340 ± 51,342 ± 26,586000 ± 39000,53700 ± 3500,125500 ± 8700,879000 ± 73000,2780000 ± 200000,20200 ± 1500,4450000 ± 220000,16.0 ± 1.5,1.00E+0 ± 0,169 ± 51,46 ± 26,585000 ± 39000,53400 ± 3500,124800 ± 8700,879000 ± 73000,2780000 ± 200000,20200 ± 1500,4440000 ± 220000,4.62 ± 0.66,169 ± 51,46 ± 26,585000 ± 39000,53400 ± 3500,124800 ± 8700,879000 ± 73000,2780000 ± 200000,20200 ± 1500,4440000 ± 220000,0.2154 ± 0.0043,1256 ± 23,2.709 ± 0.053,1327 ± 14,0.1487 ± 0.0046,2797 ± 80,4.837 ± 0.083,11350 ± 92,8.23 ± 0.14,2252 ± 16,4.46 ± 0.18,34130 ± 660,0.09128 ± 0.00033,1451.1 ± 6.8,0.2481 ± 0.0043,1427 ± 22,3.100 ± 0.054,1429 ± 13,0 ± 0.0E+0,0 ± 0.0E+0,0.09063 ± 0.00032,1437.5 ± 6.8,4.073 ± 0.070,1.65 ± 0.24,0.940174,0.0964644,
,,-,,,,,,,1291 ± 76,318 ± 38,39500 ± 1900,3230 ± 160,4640 ± 260,39100 ± 6700,272000 ± 22000,1970 ± 160,362000 ± 27000,6.97 ± 0.97,1.00E+0 ± 0,118 ± 76,22 ± 38,39200 ± 1900,2950 ± 160,3950 ± 260,39100 ± 6700,272000 ± 22000,1970 ± 160,359000 ± 27000,-1800000000 ± 1500000000,118 ± 76,22 ± 38,39200 ± 1900,2950 ± 160,3950 ± 260,39100 ± 6700,272000 ± 22000,1970 ± 160,359000 ± 27000,0.1504 ± 0.0092,900 ± 51,1.56 ± 0.10,942 ± 40,-34000000 ± 27000000,2170 ± 300,3.61 ± 0.20,9830 ± 310,5.04 ± 0.36,1830 ± 59,-970000000 ± 790000000,27700 ± 2500,0.0753 ± 0.0018,1064 ± 48,0.185 ± 0.010,1089 ± 56,1.89 ± 0.13,1075 ± 42,0 ± 0.0E+0,0 ± 0.0E+0,0.0747 ± 0.0018,1050 ± 48,5.63 ± 0.34,-630000000 ± 550000000,0.93037,-0.26232,
,,-,,,,,,,1347 ± 53,341 ± 24,5050 ± 100,506 ± 18,1095 ± 41,68900 ± 6700,632000 ± 23000,4580 ± 160,713000 ± 24000,13.8 ± 1.4,1.00E+0 ± 0,173 ± 53,44 ± 24,4670 ± 100,226 ± 18,395 ± 41,68900 ± 6700,632000 ± 23000,4580 ± 160,710000 ± 24000,12.7 ± 1.8,173 ± 53,44 ± 24,4670 ± 100,226 ± 18,395 ± 41,68900 ± 6700,632000 ± 23000,4580 ± 160,710000 ± 24000,0.00763 ± 0.00027,49.0 ± 1.7,0.0502 ± 0.0040,49.5 ± 3.9,0.0078 ± 0.0013,146 ± 23,0.1726 ± 0.0056,1024 ± 31,0.154 ± 0.012,144 ± 11,0.228 ± 0.041,3770 ± 520,0.0486 ± 0.0039,660 ± 110,0.00881 ± 0.00029,56.5 ± 1.8,0.0577 ± 0.0046,56.6 ± 4.4,0 ± 0.0E+0,0 ± 0.0E+0,0.0483 ± 0.0039,660 ± 110,116.6 ± 3.8,4.58 ± 0.64,0.209582,0.189717,
,,-,,,,,,,1336 ± 64,335 ± 33,144600 ± 5100,13380 ± 480,31300 ± 1200,215000 ± 13000,690000 ± 30000,5000 ± 220,1104000 ± 43000,9.9 ± 1.1,1.00E+0 ± 0,159 ± 64,37 ± 33,144200 ± 5100,13090 ± 480,30600 ± 1200,215000 ± 13000,690000 ± 30000,5000 ± 220,1101000 ± 43000,3.33 ± 0.20,159 ± 64,37 ± 33,144200 ± 5100,13090 ± 480,30600 ± 1200,215000 ± 13000,690000 ± 30000,5000 ± 220,1101000 ± 43000,0.2119 ± 0.0071,1243 ± 39,2.669 ± 0.097,1313 ± 26,0.1492 ± 0.0089,2800 ± 150,4.95 ± 0.16,11460 ± 160,8.40 ± 0.28,2271 ± 31,4.38 ± 0.29,33400 ± 1100,0.09082 ± 0.00083,1440 ± 17,0.2516 ± 0.0079,1444 ± 40,3.13 ± 0.11,1439 ± 27,0 ± 0.0E+0,0 ± 0.0E+0,0.09021 ± 0.00082,1427 ± 17,4.04 ± 0.13,1.207 ± 0.071,0.943398,-0.0213499,
,,-,,,,,,,1393 ± 59,345 ± 29,70700 ± 2400,4190 ± 130,11390 ± 430,241000 ± 16000,1223000 ± 50000,8870 ± 360,1561000 ± 61000,11.4 ± 1.2,1.00E+0 ± 0,214 ± 59,46 ± 29,70400 ± 2400,3910 ± 130,10680 ± 430,241000 ± 16000,1223000 ± 50000,8870 ± 360,1558000 ± 61000,5.47 ± 0.35,214 ± 59,46 ± 29,70400 ± 2400,3910 ± 130,10680 ± 430,241000 ± 16000,1223000 ± 50000,8870 ± 360,1558000 ± 61000,0.0584 ± 0.0015,365.6 ± 9.3,0.447 ± 0.013,374.4 ± 8.8,0.0468 ± 0.0025,923 ± 48,1.348 ± 0.032,5487 ± 86,1.396 ± 0.036,884 ± 15,1.410 ± 0.087,17490 ± 690,0.05559 ± 0.00073,429 ± 29,0.0683 ± 0.0016,425.6 ± 9.7,0.520 ± 0.013,423.9 ± 9.0,0 ± 0.0E+0,0 ± 0.0E+0,0.05522 ± 0.00073,414 ± 29,14.84 ± 0.34,1.99 ± 0.13,0.824341,0.118049,
,,-,,,,,,,1401 ± 52,344 ± 24,465000 ± 20000,77500 ± 3300,77200 ± 3100,282000 ± 16000,1062000 ± 61000,7700 ± 440,1964000 ± 95000,16.4 ± 1.5,1.00E+0 ± 0,221 ± 52,45 ± 24,464000 ± 20000,77200 ± 3300,76500 ± 3100,282000 ± 16000,1062000 ± 61000,7700 ± 440,1961000 ± 95000,3.96 ± 0.23,221 ± 52,45 ± 24,464000 ± 20000,77200 ± 3300,76500 ± 3100,282000 ± 16000,1062000 ± 61000,7700 ± 440,1961000 ± 95000,0.449 ± 0.011,2385 ± 49,10.30 ± 0.25,2454 ± 22,0.283 ± 0.012,5030 ± 200,10.01 ± 0.22,15420 ± 130,31.08 ± 0.71,3513 ± 22,8.51 ± 0.43,44870 ± 840,0.16647 ± 0.00063,2522.0 ± 6.2,0.506 ± 0.011,2633 ± 47,11.54 ± 0.26,2560 ± 21,0 ± 0.0E+0,0 ± 0.0E+0,0.16538 ± 0.00063,2511.0 ± 6.2,1.999 ± 0.045,1.448 ± 0.083,0.976174,0.104889,
,,-,,,,,,,1384 ± 50,369 ± 27,617000 ± 32000,185100 ± 9500,71600 ± 3300,195000 ± 11000,995000 ± 74000,7220 ± 540,2090000 ± 130000,15.9 ± 1.5,1.00E+0 ± 0,202 ± 50,69 ± 27,616000 ± 32000,184800 ± 9500,70900 ± 3300,195000 ± 11000,995000 ± 74000,7220 ± 540,2080000 ± 130000,5.20 ± 0.33,202 ± 50,69 ± 27,616000 ± 32000,184800 ± 9500,70900 ± 3300,195000 ± 11000,995000 ± 74000,7220 ± 540,2080000 ± 130000,0.654 ± 0.022,3237 ± 82,27.12 ± 0.92,3374 ± 33,0.380 ± 0.018,6490 ± 260,14.64 ± 0.43,17670 ± 170,81.9 ± 2.4,4470 ± 29,11.33 ± 0.57,50150 ± 940,0.3006 ± 0.0011,3472.9 ± 5.5,0.738 ± 0.022,3548 ± 80,30.33 ± 0.89,3483 ± 29,0 ± 0.0E+0,0 ± 0.0E+0,0.2986 ± 0.0011,3462.9 ± 5.5,1.388 ± 0.039,1.91 ± 0.12,0.98687,-0.168452,
,,-,,,,,,,1392 ± 45,331 ± 23,34900 ± 1200,2192 ± 76,5970 ± 250,136000 ± 10000,581000 ± 27000,4220 ± 200,766000 ± 35000,16.8 ± 1.5,1.00E+0 ± 0,209 ± 45,31 ± 23,34500 ± 1200,1900 ± 76,5240 ± 250,136000 ± 10000,581000 ± 27000,4220 ± 200,763000 ± 35000,4.72 ± 0.30,209 ± 45,31 ± 23,34500 ± 1200,1900 ± 76,5240 ± 250,136000 ± 10000,581000 ± 27000,4220 ± 200,763000 ± 35000,0.0604 ± 0.0019,378 ± 12,0.463 ± 0.015,387 ± 11,0.0435 ± 0.0031,857 ± 59,1.360 ± 0.042,5500 ± 110,1.382 ± 0.047,881 ± 18,1.27 ± 0.10,16000 ± 910,0.05559 ± 0.00095,442 ± 35,0.0684 ± 0.0021,426 ± 13,0.511 ± 0.017,420 ± 11,0 ± 0.0E+0,0 ± 0.0E+0,0.05524 ± 0.00095,427 ± 35,15.02 ± 0.43,1.74 ± 0.11,0.877135,0.0514994,
,,-,,,,,,,1102 ± 53,259 ± 30,284 ± 31,189 ± 11,480 ± 42,0 ± 0.0E+0,690 ± 680,5.0 ± 4.9,3010 ± 690,0.0093 ± 0.0092,1.00E+0 ± 0,30 ± 200,30 ± 170,140 ± 140,13 ± 89,-37 ± 88,-0.000002804 ± 0.000000014,15844.379848380 ± 0.000000054,114.9792776 ± 0.0000071,16110 ± 250,-5651000000 ± 28000000,-8 ± 53,-11 ± 30,23 ± 31,-1 ± 11,6 ± 42,-0.0000027952 ± 0.0000000022,690 ± 680,5.0 ± 4.9,680 ± 690,0.0086 ± 0.0090,55 ± 58,0.12 ± 0.77,-180 ± 1000,13000000 ± 31000000,345000 ± 13000,0.0086 ± 0.0090,55 ± 58,0.12 ± 0.77,-180 ± 1000,13000000 ± 31000000,345000 ± 13000,0.17 ± 0.67,4000 ± 1200,0.00049 ± 0.00051,3.2 ± 3.3,0.05 ± 0.32,10 ± 330,0 ± 0.0E+0,0 ± 0.0E+0,0.17 ± 0.66,4000 ± 1200,-400 ± 4100,-1724100000 ± 8000000,nan,nan,
,,-,,,,,,,1192 ± 45,266 ± 28,271 ± 20,198 ± 10,493 ± 37,300 ± 430,610 ± 600,4.4 ± 4.4,3340 ± 750,0.0082 ± 0.0081,1.00E+0 ± 0,30 ± 410,120 ± 210,0 ± 120,5 ± 33,110 ± 110,-0.000002943 ± 0.000000018,15844.379847845 ± 0.000000068,114.9792066 ± 0.0000090,16200 ± 240,-5383000000 ± 32000000,81 ± 45,-5 ± 28,7 ± 20,6 ± 10,14 ± 37,300 ± 430,610 ± 600,4.4 ± 4.4,1000 ± 750,0.0001 ± 0.0073,0 ± 47,0.04 ± 0.28,10 ± 290,-39000000 ± 37000000,-,0.0001 ± 0.0073,0 ± 47,0.04 ± 0.28,10 ± 290,-39000000 ± 37000000,-,-0.1 ± 1.2,3.07E+3 ± 0,0.00000 ± 0.00042,0.0 ± 2.7,0.02 ± 0.12,10 ± 120,0 ± 0.0E+0,0 ± 0.0E+0,-0.1 ± 1.2,3.05E+3 ± 0,-1000 ± 14000,-1648200000 ± 9200000,nan,nan,
,,-,,,,,,,1108 ± 61,267 ± 29,275 ± 28,194 ± 10,505 ± 41,0 ± 0.0E+0,400 ± 560,2.9 ± 4.1,2750 ± 570,0.0054 ± 0.0076,1.00E+0 ± 0,10 ± 370,-20 ± 130,-33 ± 32,-19 ± 25,-78 ± 63,-0.000003080 ± 0.000000023,15844.379847321 ± 0.000000087,114.979137 ± 0.000012,15800 ± 180,-5145000000 ± 38000000,-5 ± 61,-4 ± 29,8 ± 28,0 ± 10,21 ± 41,-0.0000030765 ± 0.0000000021,400 ± 560,2.9 ± 4.1,400 ± 570,-0.0021 ± 0.0020,-13 ± 13,-0.16 ± 0.21,-190 ± 260,25000000 ± 20000000,343000 ± 17000,-0.0021 ± 0.0020,-13 ± 13,-0.16 ± 0.21,-190 ± 260,25000000 ± 20000000,343000 ± 17000,1.0 ± 1.7,2.16E+3 ± 0,-0.00012 ± 0.00011,-0.76 ± 0.73,-0.068 ± 0.089,-73 ± 98,0 ± 0.0E+0,0 ± 0.0E+0,1.0 ± 1.7,2.14E+3 ± 0,-11000 ± 11000,-1581000000 ± 11000000,nan,nan,
