Z_9435 SC V, 0.28037383177570063
Z_9435 SC E, 1.4766355140186909
Z_Plesovice SC V, 0.7663551401869156
Z_Temora2 SC V, -0.7663551401869156
Z_91500 SC V, -0.8411214953271027
Z_91500 SC E, 0.20560747663551365
Z_FC1 SC V, -0.35514018691588767
Z_FC1 SC E, 0.5420560747663545
Z_Oracle SC V, 0.2616822429906539
Z_Temora2 SC E, 0.2616822429906539
Z_Plesovice SC E, 1.9626168224299065
Z_Oracle SC E, 1.401869158878504
Z_9435 MC V, 1.1028037383177571
Z_9435 MC E, 2.654205607476635
Z_Plesovice MC V, 1.401869158878504
Z_Plesovice MC E, 2.9345794392523366
Z_91500 MC V, -0.018691588785046752
Z_91500 MC E, 1.4205607476635507
Z_FC1 MC V, 1.4579439252336441
Z_FC1 MC E, 3.177570093457943
Z_Oracle MC V, 1.1214953271028039
Z_Oracle MC E, 2.6915887850467284
