VERSION: 1.3,,,,,,,,,,,,,,,,,
"Date: ""14:12:39 06/11/2019""",,,,,,,,,,,,,,,,,
"Analysis Filename: ""7808_TRA_Analysis.csv""",,,,,,,,,,,,,,,,,
"Analysis Description: """"",,,,,,,,,,,,,,,,,
"Analysis Type: ""EScan""",,,,,,,,,,,,,,,,,
"Session: ""TRA Session""",,,,,,,,,,,,,,,,,
"Sample Type: ""Sample""",,,,,,,,,,,,,,,,,
"Run: ""M-40-400""",,,,,,,,,,,,,,,,,
"Sample ID: """"",,,,,,,,,,,,,,,,,
"Sample Info: """"",,,,,,,,,,,,,,,,,
Num. Cycles: 1803,,,,,,,,,,,,,,,,,
Num. Sweeps: 40,,,,,,,,,,,,,,,,,
IC Deadtime: 10E-09,,,,,,,,,,,,,,,,,
IC Attenuation Factor: 253.51,,,,,,,,,,,,,,,,,
IC Faraday Factor: 0.76,,,,,,,,,,,,,,,,,
Peak Integration Window Size:  100 ,,,,,,,,,,,,,,,,,
Faraday Baseline: -2.047E-11,,,,,,,,,,,,,,,,,
Resolution: 300,,,,,,,,,,,,,,,,,
Servo Integration Time: 0.1,,,,,,,,,,,,,,,,,
TRA Integration Time: 0.00001,,,,,,,,,,,,,,,,,
EScan Integration Time: 0.00001,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Raw Data (Corrected),,,,,,,,,,,,,,,,,
========,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cycle,Timestamp,Hg(202),Mode,Pb(204),Mode,Pb(206),Mode,Pb(207),Mode,Pb(208),Mode,Th(232),Mode,U(238),Mode,U(235),Mode
,,,,,,,,,,,,,,,,,
1,0.2144,750.01,1,250,1,281.25,1,137.5,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
2,0.4288,1187.51,1,125,1,156.25,1,162.5,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
3,0.6432,875.01,1,125,1,93.75,1,137.5,1,500,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
4,0.8576,875.01,1,375,1,125,1,162.5,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
5,1.072,750.01,1,312.5,1,187.5,1,137.5,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
6,1.2864,937.51,1,62.5,1,187.5,1,175,1,750.01,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
7,1.5008,1187.51,1,250,1,218.75,1,87.5,1,437.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
8,1.7152,1437.52,1,187.5,1,187.5,1,150,1,625,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
9,1.9296,1437.52,1,312.5,1,218.75,1,137.5,1,250,1,0.00E+00,2,15844.38,2,1.15E+02,1
10,2.144,1062.51,1,125,1,125,1,175,1,437.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
11,2.3584,1125.01,1,375,1,250,1,137.5,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
12,2.5728,625,1,125,1,62.5,1,100,1,125,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
13,2.7872,875.01,1,187.5,1,250,1,237.5,1,625,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
14,3.0016,1000.01,1,812.51,1,187.5,1,150,1,312.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
15,3.216,812.51,1,375,1,250,1,125,1,312.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
16,3.4304,1000.01,1,312.5,1,218.75,1,150,1,312.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
17,3.6448,1187.51,1,62.5,1,156.25,1,125,1,437.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
18,3.8592,1125.01,1,312.5,1,187.5,1,175,1,500,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
19,4.0736,1250.02,1,312.5,1,250,1,62.5,1,625,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
20,4.288,1000.01,1,312.5,1,312.5,1,212.5,1,437.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
21,4.5024,1750.03,1,250,1,218.75,1,100,1,625,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
22,4.7168,1187.51,1,312.5,1,218.75,1,212.5,1,312.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
23,4.9312,1187.51,1,437.5,1,281.25,1,150,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
24,5.1456,1062.51,1,312.5,1,218.75,1,125,1,375,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
25,5.36,1062.51,1,500,1,156.25,1,137.5,1,375,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
26,5.5744,875.01,1,375,1,218.75,1,162.5,1,437.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
27,5.7888,1187.51,1,250,1,250,1,187.5,1,375,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
28,6.0032,1187.51,1,250,1,312.5,1,50,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
29,6.2176,1187.51,1,187.5,1,250,1,187.5,1,437.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
30,6.432,1562.52,1,125,1,781.26,1,125,1,187.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
31,6.6464,1437.52,1,312.5,1,125,1,187.5,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
32,6.8608,1375.02,1,62.5,1,125,1,175,1,312.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
33,7.0752,812.51,1,187.5,1,250,1,150,1,375,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
34,7.2896,1312.52,1,187.5,1,187.5,1,200,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
35,7.504,1125.01,1,375,1,281.25,1,187.5,1,375,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
36,7.7184,1187.51,1,375,1,125,1,150,1,312.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
37,7.9328,812.51,1,375,1,125,1,200,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
38,8.1472,750.01,1,562.5,1,250,1,150,1,500,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
39,8.3616,1187.51,1,187.5,1,187.5,1,237.5,1,437.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
40,8.576,1000.01,1,500,1,250,1,125,1,125,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
41,8.7904,1062.51,1,437.5,1,406.25,1,137.5,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
42,9.0048,1312.52,1,312.5,1,250,1,212.5,1,625,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
43,9.2192,1250.02,1,250,1,218.75,1,150,1,187.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
44,9.4336,875.01,1,250,1,156.25,1,175,1,375,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
45,9.648,1687.53,1,250,1,406.25,1,162.5,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
46,9.8624,812.51,1,312.5,1,281.25,1,237.5,1,375,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
47,10.0768,1062.51,1,312.5,1,250,1,187.5,1,187.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
48,10.2912,687.5,1,625,1,187.5,1,125,1,500,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
49,10.5056,1375.02,1,312.5,1,125,1,162.5,1,375,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
50,10.72,1062.51,1,375,1,93.75,1,112.5,1,437.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
51,10.9344,1187.51,1,187.5,1,156.25,1,75,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
52,11.1488,750.01,1,187.5,1,281.25,1,250,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
53,11.3632,1187.51,1,312.5,1,312.5,1,125,1,500,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
54,11.5776,1250.02,1,312.5,1,187.5,1,87.5,1,500,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
55,11.792,937.51,1,187.5,1,93.75,1,87.5,1,312.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
56,12.0064,1125.01,1,250,1,93.75,1,150,1,125,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
57,12.2208,500,1,187.5,1,312.5,1,150,1,312.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
58,12.4352,687.5,1,312.5,1,187.5,1,175,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
59,12.6496,1312.52,1,62.5,1,187.5,1,100,1,187.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
60,12.864,937.51,1,125,1,375,1,150,1,187.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
61,13.0784,875.01,1,125,1,125,1,87.5,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
62,13.2928,1062.51,1,187.5,1,125,1,112.5,1,500,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
63,13.5072,1187.51,1,187.5,1,250,1,150,1,437.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
64,13.7216,937.51,1,125,1,250,1,137.5,1,437.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
65,13.936,687.5,1,250,1,187.5,1,112.5,1,312.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
66,14.1504,937.51,1,250,1,250,1,137.5,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
67,14.3648,812.51,1,687.5,1,187.5,1,137.5,1,375,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
68,14.5792,1062.51,1,62.5,1,187.5,1,125,1,437.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
69,14.7936,750.01,1,187.5,1,250,1,175,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
70,15.008,1125.01,1,312.5,1,250,1,125,1,312.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
71,15.2224,1250.02,1,187.5,1,156.25,1,100,1,312.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
72,15.4368,1125.01,1,375,1,156.25,1,175,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
73,15.6512,937.51,1,250,1,125,1,137.5,1,562.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
74,15.8656,1312.52,1,250,1,156.25,1,150,1,437.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
75,16.08,1250.02,1,125,1,125,1,137.5,1,250,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
76,16.2944,875.01,1,375,1,218.75,1,112.5,1,687.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
77,16.5088,1312.52,1,125,1,312.5,1,175,1,125,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
78,16.7232,562.5,1,312.5,1,218.75,1,162.5,1,187.5,1,0.00E+00,2,0.00E+00,2,0.00E+00,1
