Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,Mask,BeamSeconds,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
OG1,,-,,,,,,,1281 ± 48,317 ± 23,453000 ± 18000,136500 ± 5500,75600 ± 2800,190000 ± 12000,800000 ± 41000,5800 ± 300,1660000 ± 75000,1.00E+0 ± 0,0 ± 0.0E+0,162 ± 48,43 ± 23,453000 ± 18000,136300 ± 5500,75100 ± 2800,190000 ± 12000,800000 ± 41000,5800 ± 300,1657000 ± 75000,4.47 ± 0.27,162 ± 48,43 ± 23,453000 ± 18000,136300 ± 5500,75100 ± 2800,190000 ± 12000,800000 ± 41000,5800 ± 300,1657000 ± 75000,0.573 ± 0.014,2920 ± 59,23.78 ± 0.58,3256 ± 25,0.416 ± 0.022,6940 ± 300,0.2865 ± 0.0071,1621 ± 35,11.89 ± 0.29,2593 ± 24,0.208 ± 0.011,3790 ± 180,0.3011 ± 0.0010,3474.8 ± 5.3,0.684 ± 0.017,3357 ± 66,27.83 ± 0.68,3409 ± 25,1.40E-8 ± 0,0.000283 ± 0.000015,0.2985 ± 0.0010,3461.6 ± 5.3,1.480 ± 0.037,0.000000311 ± 0.000000018,160.4 ± 8.3,99.0 ± 6.1,0.991668,0.158786
FC1,,-,,,,,,,1302 ± 50,300 ± 22,43420 ± 800,3446 ± 74,5080 ± 120,46200 ± 4600,292000 ± 15000,2120 ± 110,394000 ± 18000,1.00E+0 ± 0,0 ± 0.0E+0,181 ± 50,26 ± 22,43140 ± 800,3241 ± 74,4560 ± 120,46200 ± 4600,292000 ± 15000,2120 ± 110,391000 ± 18000,-290000000 ± 570000000,181 ± 50,26 ± 22,43140 ± 800,3241 ± 74,4560 ± 120,46200 ± 4600,292000 ± 15000,2120 ± 110,391000 ± 18000,0.1558 ± 0.0070,930 ± 38,1.627 ± 0.076,967 ± 28,-4100000 ± 8000000,2290 ± 220,0.0779 ± 0.0035,482 ± 21,0.813 ± 0.038,597 ± 21,-2000000 ± 4000000,1190 ± 120,0.07561 ± 0.00097,1077 ± 26,0.1852 ± 0.0083,1090 ± 44,1.898 ± 0.089,1065 ± 30,-0.13 ± 0.25,0.0000756 ± 0.0000080,0.07500 ± 0.00096,1060 ± 26,5.64 ± 0.23,-15 ± 29,59.2 ± 3.1,24.2 ± 2.4,0.970602,-0.0915143
9453,,-,,,,,,,1306 ± 51,310 ± 24,4310 ± 200,387 ± 17,888 ± 44,73800 ± 6400,597000 ± 39000,4330 ± 280,683000 ± 42000,1.00E+0 ± 0,0 ± 0.0E+0,182 ± 51,34 ± 24,4030 ± 200,178 ± 17,365 ± 44,73800 ± 6400,597000 ± 39000,4330 ± 280,681000 ± 42000,9.9 ± 1.3,182 ± 51,34 ± 24,4030 ± 200,178 ± 17,365 ± 44,73800 ± 6400,597000 ± 39000,4330 ± 280,681000 ± 42000,0.00707 ± 0.00031,45.4 ± 2.0,0.0421 ± 0.0037,41.7 ± 3.6,0.0064 ± 0.0013,121 ± 21,0.00354 ± 0.00015,22.76 ± 0.99,0.0210 ± 0.0019,21.1 ± 1.8,0.00321 ± 0.00065,61 ± 11,0.0439 ± 0.0037,570 ± 110,0.00835 ± 0.00036,53.6 ± 2.3,0.0488 ± 0.0043,48.1 ± 4.2,0 ± 3.4E-11,0.00000316 ± 0.00000055,0.0436 ± 0.0036,560 ± 110,125.0 ± 5.1,0.000000299 ± 0.000000040,123.0 ± 8.0,39.1 ± 3.4,0.493709,-0.0231125
Ples,,-,,,,,,,1317 ± 49,324 ± 25,144900 ± 1900,8000 ± 110,5030 ± 110,124500 ± 8100,3379000 ± 76000,24500 ± 550,3689000 ± 80000,1.00E+0 ± 0,0 ± 0.0E+0,192 ± 49,47 ± 25,144600 ± 1900,7780 ± 110,4500 ± 110,124500 ± 8100,3379000 ± 76000,24500 ± 550,3686000 ± 80000,29.2 ± 1.9,192 ± 49,47 ± 25,144600 ± 1900,7780 ± 110,4500 ± 110,124500 ± 8100,3379000 ± 76000,24500 ± 550,3686000 ± 80000,0.04340 ± 0.00068,273.8 ± 4.2,0.3222 ± 0.0054,283.3 ± 4.1,0.0396 ± 0.0027,782 ± 51,0.02170 ± 0.00034,138.4 ± 2.2,0.1611 ± 0.0027,151.6 ± 2.4,0.0198 ± 0.0013,396 ± 26,0.05381 ± 0.00039,364 ± 17,0.05104 ± 0.00081,320.8 ± 4.9,0.3729 ± 0.0063,321.4 ± 4.6,0 ± 6.5E-11,0.0000194 ± 0.0000013,0.05344 ± 0.00039,348 ± 17,19.75 ± 0.30,0.000000747 ± 0.000000047,703 ± 16,66.3 ± 4.3,0.891171,0.115316
Oracle,,-,,,,,,,1273 ± 53,327 ± 28,280300 ± 7200,25810 ± 720,19750 ± 770,124800 ± 9400,1413000 ± 57000,10240 ± 420,1878000 ± 71000,1.00E+0 ± 0,0 ± 0.0E+0,146 ± 53,50 ± 28,280000 ± 7200,25600 ± 720,19220 ± 770,124800 ± 9400,1413000 ± 57000,10240 ± 420,1875000 ± 71000,13.2 ± 1.1,146 ± 53,50 ± 28,280000 ± 7200,25600 ± 720,19220 ± 770,124800 ± 9400,1413000 ± 57000,10240 ± 420,1875000 ± 71000,0.2030 ± 0.0041,1190 ± 22,2.545 ± 0.052,1281 ± 15,0.176 ± 0.013,3240 ± 220,0.1015 ± 0.0020,623 ± 12,1.272 ± 0.026,831 ± 11,0.0881 ± 0.0066,1700 ± 120,0.09096 ± 0.00050,1444 ± 10,0.2379 ± 0.0048,1374 ± 25,2.936 ± 0.060,1387 ± 15,4.02E-9 ± 0,0.0000813 ± 0.0000061,0.09035 ± 0.00050,1431 ± 11,4.239 ± 0.087,0.000000294 ± 0.000000025,297 ± 12,66.9 ± 5.0,0.96782,0.037368
Temora2,,-,,,,,,,1295 ± 49,308 ± 22,64500 ± 1900,3740 ± 110,11340 ± 280,247000 ± 12000,1199000 ± 59000,8700 ± 420,1535000 ± 62000,1.00E+0 ± 0,0 ± 0.0E+0,166 ± 49,30 ± 22,64200 ± 1900,3520 ± 110,10800 ± 280,247000 ± 12000,1199000 ± 59000,8700 ± 420,1532000 ± 62000,5.20 ± 0.38,166 ± 49,30 ± 22,64200 ± 1900,3520 ± 110,10800 ± 280,247000 ± 12000,1199000 ± 59000,8700 ± 420,1532000 ± 62000,0.0542 ± 0.0013,340.3 ± 7.9,0.412 ± 0.010,350.5 ± 7.6,0.0458 ± 0.0022,903 ± 42,0.02712 ± 0.00064,172.4 ± 4.0,0.2061 ± 0.0052,190.6 ± 4.5,0.0229 ± 0.0011,457 ± 21,0.05514 ± 0.00065,413 ± 26,0.0633 ± 0.0015,395.6 ± 9.1,0.474 ± 0.012,394.2 ± 8.4,0 ± 4.7E-11,0.00002006 ± 0.00000094,0.05479 ± 0.00065,402 ± 25,16.00 ± 0.40,0.0000001037 ± 0.0000000074,254 ± 12,133.0 ± 6.6,0.90215,0.175449
Temora2,,-,,,,,,,1320 ± 56,317 ± 22,70800 ± 4100,4160 ± 240,10880 ± 540,219000 ± 13000,1292000 ± 89000,9370 ± 650,1610000 ± 100000,1.00E+0 ± 0,0 ± 0.0E+0,176 ± 56,33 ± 22,70500 ± 4100,3920 ± 240,10290 ± 540,219000 ± 13000,1292000 ± 89000,9370 ± 650,1610000 ± 100000,6.02 ± 0.39,176 ± 56,33 ± 22,70500 ± 4100,3920 ± 240,10290 ± 540,219000 ± 13000,1292000 ± 89000,9370 ± 650,1610000 ± 100000,0.0559 ± 0.0012,351.8 ± 7.7,0.427 ± 0.010,361.6 ± 7.4,0.0490 ± 0.0026,965 ± 50,0.02796 ± 0.00061,177.8 ± 3.8,0.2137 ± 0.0050,196.4 ± 4.2,0.0245 ± 0.0013,489 ± 26,0.05542 ± 0.00063,426 ± 25,0.0631 ± 0.0014,395.4 ± 8.7,0.478 ± 0.011,397.2 ± 8.0,1.39E-9 ± 0,0.0000281 ± 0.0000015,0.05524 ± 0.00063,418 ± 25,16.01 ± 0.37,0.0000001230 ± 0.0000000081,305 ± 21,126.8 ± 7.5,0.878774,0.0570155
TANBR,,-,,,,,,,1301 ± 45,337 ± 25,351000 ± 18000,58100 ± 3000,76700 ± 4200,280000 ± 18000,920000 ± 60000,6670 ± 430,1694000 ± 98000,1.00E+0 ± 0,0 ± 0.0E+0,156 ± 45,53 ± 25,350000 ± 18000,57900 ± 3000,76100 ± 4200,280000 ± 18000,920000 ± 60000,6670 ± 430,1691000 ± 98000,3.54 ± 0.23,156 ± 45,53 ± 25,350000 ± 18000,57900 ± 3000,76100 ± 4200,280000 ± 18000,920000 ± 60000,6670 ± 430,1691000 ± 98000,0.3943 ± 0.0094,2137 ± 43,9.00 ± 0.22,2331 ± 23,0.291 ± 0.016,4990 ± 200,0.1972 ± 0.0047,1158 ± 25,4.50 ± 0.11,1726 ± 21,0.1455 ± 0.0082,2660 ± 120,0.16539 ± 0.00062,2510.3 ± 6.3,0.443 ± 0.011,2358 ± 47,10.05 ± 0.25,2432 ± 23,1.01E-8 ± 0,0.0001991 ± 0.0000094,0.16487 ± 0.00062,2504.9 ± 6.3,2.280 ± 0.058,0.0000000877 ± 0.0000000057,220 ± 14,164 ± 11,0.980756,0.0536404
OG1,,-,,,,,,,1300 ± 42,345 ± 25,344000 ± 21000,103400 ± 6400,81300 ± 5900,227000 ± 20000,589000 ± 38000,4270 ± 270,1350000 ± 86000,1.00E+0 ± 0,0 ± 0.0E+0,154 ± 42,60 ± 25,344000 ± 21000,103200 ± 6400,80700 ± 5900,227000 ± 20000,589000 ± 38000,4270 ± 270,1348000 ± 86000,3.37 ± 0.43,154 ± 42,60 ± 25,344000 ± 21000,103200 ± 6400,80700 ± 5900,227000 ± 20000,589000 ± 38000,4270 ± 270,1348000 ± 86000,0.607 ± 0.024,2988 ± 73,25.15 ± 0.98,3275 ± 30,0.411 ± 0.030,6620 ± 300,0.303 ± 0.012,1669 ± 45,12.57 ± 0.49,2611 ± 29,0.205 ± 0.015,3600 ± 170,0.3000 ± 0.0011,3468.8 ± 5.7,0.680 ± 0.026,3267 ± 78,28.0 ± 1.1,3379 ± 30,0.0000000198 ± 0.0000000015,0.000382 ± 0.000021,0.2991 ± 0.0011,3464.2 ± 5.7,1.536 ± 0.048,0.000000116 ± 0.000000015,142.6 ± 9.1,134 ± 12,1,0.0120923
9453,,-,,,,,,,1319 ± 60,314 ± 21,3063 ± 68,361 ± 12,1147 ± 55,116300 ± 7600,379000 ± 16000,2750 ± 120,506000 ± 17000,1.00E+0 ± 0,0 ± 0.0E+0,172 ± 60,29 ± 21,2731 ± 68,119 ± 12,541 ± 55,116300 ± 7600,379000 ± 16000,2750 ± 120,503000 ± 17000,3.70 ± 0.34,172 ± 60,29 ± 21,2731 ± 68,119 ± 12,541 ± 55,116300 ± 7600,379000 ± 16000,2750 ± 120,503000 ± 17000,0.00742 ± 0.00031,47.6 ± 2.0,0.0444 ± 0.0049,43.8 ± 4.7,0.00521 ± 0.00066,105 ± 13,0.00371 ± 0.00015,23.86 ± 0.99,0.0222 ± 0.0024,22.2 ± 2.4,0.00261 ± 0.00033,52.6 ± 6.7,0.0435 ± 0.0046,670 ± 140,0.00828 ± 0.00035,53.1 ± 2.2,0.0492 ± 0.0054,48.4 ± 5.2,0 ± 6.0E-11,0.0000095 ± 0.0000012,0.0434 ± 0.0045,670 ± 140,125.2 ± 5.3,0.000000242 ± 0.000000023,93.2 ± 3.9,69.5 ± 4.5,0.460708,0.0414968
