Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,Mask,BeamSeconds,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
9453,,-,,,,,,,1377 ± 60,338 ± 28,3740 ± 140,403 ± 15,1081 ± 57,92500 ± 7000,470000 ± 28000,3410 ± 210,573000 ± 32000,1.00E+0 ± 0,0 ± 0.0E+0,227 ± 60,51 ± 28,3410 ± 140,156 ± 15,465 ± 57,92500 ± 7000,470000 ± 28000,3410 ± 210,571000 ± 32000,5.58 ± 0.46,227 ± 60,51 ± 28,3410 ± 140,156 ± 15,465 ± 57,92500 ± 7000,470000 ± 28000,3410 ± 210,571000 ± 32000,0.00758 ± 0.00034,48.7 ± 2.2,0.0472 ± 0.0048,46.5 ± 4.6,0.00507 ± 0.00071,102 ± 14,0.00379 ± 0.00017,24.4 ± 1.1,0.0236 ± 0.0024,23.6 ± 2.4,0.00253 ± 0.00035,51.1 ± 7.1,0.0452 ± 0.0041,770 ± 130,0.00840 ± 0.00037,53.9 ± 2.4,0.0520 ± 0.0052,51.1 ± 5.0,0 ± 5.9E-11,-0.0000082 ± 0.0000012,0.0451 ± 0.0041,760 ± 130,124.8 ± 5.6,-0.000000313 ± 0.000000029,119.2 ± 7.2,56.6 ± 4.3,0.350251,-0.00689706
Ples,,-,,,,,,,1343 ± 50,345 ± 25,145200 ± 6300,8010 ± 350,5300 ± 250,141000 ± 10000,3230000 ± 170000,23400 ± 1200,3560000 ± 190000,1.00E+0 ± 0,0 ± 0.0E+0,191 ± 50,58 ± 25,144800 ± 6300,7760 ± 350,4670 ± 250,141000 ± 10000,3230000 ± 170000,23400 ± 1200,3550000 ± 190000,26.2 ± 2.0,191 ± 50,58 ± 25,144800 ± 6300,7760 ± 350,4670 ± 250,141000 ± 10000,3230000 ± 170000,23400 ± 1200,3550000 ± 190000,0.04566 ± 0.00080,287.8 ± 4.9,0.3368 ± 0.0060,294.4 ± 4.6,0.0379 ± 0.0030,722 ± 49,0.02283 ± 0.00040,145.5 ± 2.5,0.1684 ± 0.0030,157.9 ± 2.6,0.0189 ± 0.0015,365 ± 25,0.05354 ± 0.00044,347 ± 19,0.05045 ± 0.00088,317.2 ± 5.4,0.3701 ± 0.0067,319.4 ± 4.9,-1.44E-9 ± 0,-0.0000290 ± 0.0000024,0.05341 ± 0.00044,341 ± 19,19.93 ± 0.35,-0.000000681 ± 0.000000055,831 ± 45,87.2 ± 6.4,0.909704,0.125876
Oracle,,-,,,,,,,1372 ± 58,341 ± 25,167800 ± 7000,15360 ± 640,24940 ± 770,164000 ± 11000,800000 ± 45000,5810 ± 320,1182000 ± 55000,1.00E+0 ± 0,0 ± 0.0E+0,218 ± 58,53 ± 25,167500 ± 7000,15110 ± 640,24310 ± 770,164000 ± 11000,800000 ± 45000,5810 ± 320,1179000 ± 55000,5.36 ± 0.41,218 ± 58,53 ± 25,167500 ± 7000,15110 ± 640,24310 ± 770,164000 ± 11000,800000 ± 45000,5810 ± 320,1179000 ± 55000,0.2154 ± 0.0057,1255 ± 30,2.678 ± 0.072,1317 ± 20,0.1582 ± 0.0091,2980 ± 160,0.1077 ± 0.0029,659 ± 17,1.339 ± 0.036,859 ± 15,0.0791 ± 0.0045,1533 ± 84,0.09022 ± 0.00055,1428 ± 12,0.2372 ± 0.0063,1369 ± 33,2.934 ± 0.079,1385 ± 20,-3.76E-9 ± 0,-0.0000760 ± 0.0000044,0.09000 ± 0.00055,1423 ± 12,4.31 ± 0.11,-0.0000000867 ± 0.0000000064,209 ± 12,103.3 ± 6.7,0.973223,0.0926844
Ples,,-,,,,,,,1298 ± 48,309 ± 25,38600 ± 2100,2370 ± 120,7640 ± 390,180000 ± 12000,701000 ± 47000,5080 ± 340,936000 ± 58000,1.00E+0 ± 0,0 ± 0.0E+0,143 ± 48,21 ± 25,38300 ± 2100,2110 ± 120,7010 ± 390,180000 ± 12000,701000 ± 47000,5080 ± 340,933000 ± 58000,4.05 ± 0.24,143 ± 48,21 ± 25,38300 ± 2100,2110 ± 120,7010 ± 390,180000 ± 12000,701000 ± 47000,5080 ± 340,933000 ± 58000,0.0562 ± 0.0016,352.5 ± 9.9,0.434 ± 0.015,364 ± 10,0.0415 ± 0.0023,806 ± 40,0.02812 ± 0.00081,178.7 ± 5.1,0.2171 ± 0.0075,198.8 ± 6.2,0.0208 ± 0.0012,408 ± 21,0.05528 ± 0.00084,432 ± 33,0.0617 ± 0.0018,386 ± 11,0.474 ± 0.016,392 ± 11,0 ± 4.0E-11,-0.00001435 ± 0.00000081,0.05515 ± 0.00084,427 ± 33,16.41 ± 0.52,-0.0000000472 ± 0.0000000028,186 ± 12,114.9 ± 7.5,0.911825,-0.00593846
TANBR,,-,,,,,,,1322 ± 54,359 ± 28,487000 ± 19000,65100 ± 2900,87700 ± 3800,735000 ± 23000,2970000 ± 97000,21540 ± 700,4370000 ± 130000,1.00E+0 ± 0,0 ± 0.0E+0,166 ± 54,70 ± 28,486000 ± 19000,64800 ± 2900,87000 ± 3800,735000 ± 23000,2970000 ± 97000,21540 ± 700,4360000 ± 130000,4.09 ± 0.14,166 ± 54,70 ± 28,486000 ± 19000,64800 ± 2900,87000 ± 3800,735000 ± 23000,2970000 ± 97000,21540 ± 700,4360000 ± 130000,0.1632 ± 0.0031,974 ± 17,2.984 ± 0.076,1401 ± 19,0.1189 ± 0.0050,2265 ± 89,0.0816 ± 0.0016,505.5 ± 9.3,1.492 ± 0.038,926 ± 15,0.0595 ± 0.0025,1166 ± 47,0.1322 ± 0.0012,2126 ± 16,0.1785 ± 0.0034,1058 ± 19,3.249 ± 0.083,1466 ± 20,-1.55E-9 ± 0,-0.0000313 ± 0.0000012,0.1319 ± 0.0012,2122 ± 16,5.65 ± 0.11,-0.0000000365 ± 0.0000000012,804 ± 26,476 ± 15,0.94966,-0.490953
OG1,,-,,,,,,,1315 ± 57,322 ± 25,344400 ± 6700,103800 ± 2000,74300 ± 1500,209000 ± 12000,557000 ± 21000,4040 ± 150,1296000 ± 31000,1.00E+0 ± 0,0 ± 0.0E+0,157 ± 57,32 ± 25,344000 ± 6700,103600 ± 2000,73600 ± 1500,209000 ± 12000,557000 ± 21000,4040 ± 150,1294000 ± 31000,2.79 ± 0.18,157 ± 57,32 ± 25,344000 ± 6700,103600 ± 2000,73600 ± 1500,209000 ± 12000,557000 ± 21000,4040 ± 150,1294000 ± 31000,0.624 ± 0.019,3117 ± 73,25.90 ± 0.78,3338 ± 31,0.366 ± 0.021,6250 ± 300,0.3121 ± 0.0093,1747 ± 45,12.95 ± 0.39,2667 ± 28,0.183 ± 0.010,3380 ± 170,0.3010 ± 0.0013,3474.4 ± 6.6,0.681 ± 0.020,3336 ± 77,28.11 ± 0.85,3418 ± 31,-3.81E-9 ± 0,-0.0000770 ± 0.0000043,0.3003 ± 0.0013,3470.8 ± 6.6,1.478 ± 0.046,-0.0000000199 ± 0.0000000013,153.6 ± 5.7,137.2 ± 7.7,0.993639,-0.109199
Ples,,-,,,,,,,1331 ± 46,321 ± 24,136100 ± 3900,7480 ± 210,4530 ± 160,125200 ± 8000,3030000 ± 110000,21980 ± 800,3330000 ± 120000,1.00E+0 ± 0,0 ± 0.0E+0,171 ± 46,31 ± 24,135800 ± 3900,7220 ± 210,3880 ± 160,125200 ± 8000,3030000 ± 110000,21980 ± 800,3320000 ± 120000,27.4 ± 2.3,171 ± 46,31 ± 24,135800 ± 3900,7220 ± 210,3880 ± 160,125200 ± 8000,3030000 ± 110000,21980 ± 800,3320000 ± 120000,0.04487 ± 0.00071,282.9 ± 4.4,0.3284 ± 0.0057,288.0 ± 4.4,0.0354 ± 0.0030,662 ± 44,0.02244 ± 0.00036,143.0 ± 2.2,0.1642 ± 0.0029,154.3 ± 2.5,0.0177 ± 0.0015,334 ± 22,0.05327 ± 0.00045,335 ± 19,0.04877 ± 0.00077,306.9 ± 4.8,0.3553 ± 0.0062,308.3 ± 4.6,0 ± 2.6E-11,-0.00000615 ± 0.00000052,0.05314 ± 0.00045,330 ± 19,20.68 ± 0.32,-0.000000160 ± 0.000000013,852 ± 31,83.7 ± 5.4,0.855497,0.0396964
9453,,-,,,,,,,1313 ± 58,322 ± 34,2494 ± 63,351 ± 13,870 ± 55,43000 ± 5600,288000 ± 16000,2090 ± 120,339000 ± 17000,1.00E+0 ± 0,0 ± 0.0E+0,151 ± 58,30 ± 34,2134 ± 63,87 ± 13,213 ± 55,43000 ± 5600,288000 ± 16000,2090 ± 120,336000 ± 17000,-610000000 ± 850000000,151 ± 58,30 ± 34,2134 ± 63,87 ± 13,213 ± 55,43000 ± 5600,288000 ± 16000,2090 ± 120,336000 ± 17000,0.00780 ± 0.00046,50.1 ± 3.0,0.0442 ± 0.0073,43.3 ± 7.1,-430000 ± 860000,127 ± 40,0.00390 ± 0.00023,25.1 ± 1.5,0.0221 ± 0.0036,22.0 ± 3.6,-210000 ± 430000,64 ± 20,0.0419 ± 0.0065,870 ± 170,0.00842 ± 0.00050,54.0 ± 3.2,0.0475 ± 0.0078,46.4 ± 7.6,0.0027 ± 0.0054,80 ± 120,0.0418 ± 0.0065,890 ± 170,125.4 ± 7.3,1.1 ± 2.1,84.2 ± 4.8,29.8 ± 3.9,-0.0176176,0.215656
Ples,,-,,,,,,,1291 ± 44,308 ± 20,143200 ± 6000,7920 ± 330,4420 ± 180,111600 ± 8100,3080000 ± 160000,22300 ± 1200,3370000 ± 170000,1.00E+0 ± 0,0 ± 0.0E+0,127 ± 44,15 ± 20,142900 ± 6000,7660 ± 330,3750 ± 180,111600 ± 8100,3080000 ± 160000,22300 ± 1200,3370000 ± 170000,30.9 ± 2.2,127 ± 44,15 ± 20,142900 ± 6000,7660 ± 330,3750 ± 180,111600 ± 8100,3080000 ± 160000,22300 ± 1200,3370000 ± 170000,0.04730 ± 0.00083,297.8 ± 5.1,0.3502 ± 0.0066,304.5 ± 4.9,0.0375 ± 0.0026,742 ± 50,0.02365 ± 0.00041,150.7 ± 2.6,0.1751 ± 0.0033,163.7 ± 2.8,0.0187 ± 0.0013,375 ± 26,0.05369 ± 0.00036,357 ± 15,0.05091 ± 0.00089,320.0 ± 5.5,0.3752 ± 0.0071,323.0 ± 5.2,0 ± 1.4E-11,-0.00000416 ± 0.00000029,0.05356 ± 0.00036,351 ± 15,19.78 ± 0.36,-0.0000001164 ± 0.0000000081,919 ± 49,78.9 ± 5.7,0.912018,0.0891391
Oracle,,-,,,,,,,1342 ± 49,334 ± 21,66000 ± 3800,6250 ± 340,28540 ± 710,196000 ± 12000,290000 ± 23000,2110 ± 170,591000 ± 30000,1.00E+0 ± 0,0 ± 0.0E+0,176 ± 49,41 ± 21,65600 ± 3800,5980 ± 340,27870 ± 710,196000 ± 12000,290000 ± 23000,2110 ± 170,588000 ± 30000,1.60 ± 0.15,176 ± 49,41 ± 21,65600 ± 3800,5980 ± 340,27870 ± 710,196000 ± 12000,290000 ± 23000,2110 ± 170,588000 ± 30000,0.2406 ± 0.0098,1383 ± 50,3.05 ± 0.14,1403 ± 32,0.1530 ± 0.0085,2860 ± 150,0.1203 ± 0.0049,730 ± 28,1.526 ± 0.068,930 ± 26,0.0765 ± 0.0042,1485 ± 79,0.09120 ± 0.00081,1447 ± 17,0.258 ± 0.010,1473 ± 53,3.26 ± 0.14,1453 ± 33,0 ± 4.1E-11,-0.00001509 ± 0.00000084,0.09096 ± 0.00081,1442 ± 17,4.02 ± 0.17,-5.32E-9 ± 0,88.7 ± 7.1,141.6 ± 8.4,0.985932,-0.0659988
Temora2,,-,,,,,,,1358 ± 58,342 ± 24,65500 ± 2000,3850 ± 120,10320 ± 280,229000 ± 13000,1087000 ± 55000,7880 ± 400,1404000 ± 65000,1.00E+0 ± 0,0 ± 0.0E+0,192 ± 58,48 ± 24,65200 ± 2000,3580 ± 120,9650 ± 280,229000 ± 13000,1087000 ± 55000,7880 ± 400,1401000 ± 65000,4.88 ± 0.26,192 ± 58,48 ± 24,65200 ± 2000,3580 ± 120,9650 ± 280,229000 ± 13000,1087000 ± 55000,7880 ± 400,1401000 ± 65000,0.0606 ± 0.0016,378.7 ± 9.9,0.463 ± 0.013,385.1 ± 9.1,0.0436 ± 0.0022,862 ± 42,0.03028 ± 0.00082,192.2 ± 5.1,0.2316 ± 0.0066,211.0 ± 5.4,0.0218 ± 0.0011,436 ± 22,0.05557 ± 0.00068,434 ± 27,0.0648 ± 0.0018,404 ± 11,0.493 ± 0.014,405.5 ± 9.6,0 ± 9.6E-12,-0.00000386 ± 0.00000019,0.05542 ± 0.00068,428 ± 27,15.78 ± 0.42,-1.46E-8 ± 0,339 ± 17,168.9 ± 9.4,0.890516,0.0294941
TANBR,,-,,,,,,,1387 ± 51,359 ± 25,253100 ± 8600,42500 ± 1400,79200 ± 2100,291000 ± 14000,616000 ± 30000,4470 ± 220,1292000 ± 44000,1.00E+0 ± 0,0 ± 0.0E+0,219 ± 51,65 ± 25,252800 ± 8600,42200 ± 1400,78500 ± 2100,291000 ± 14000,616000 ± 30000,4470 ± 220,1289000 ± 44000,2.24 ± 0.16,219 ± 51,65 ± 25,252800 ± 8600,42200 ± 1400,78500 ± 2100,291000 ± 14000,616000 ± 30000,4470 ± 220,1289000 ± 44000,0.424 ± 0.013,2271 ± 56,9.77 ± 0.29,2402 ± 27,0.278 ± 0.011,4940 ± 180,0.2120 ± 0.0063,1237 ± 33,4.88 ± 0.15,1790 ± 25,0.1392 ± 0.0057,2630 ± 100,0.16694 ± 0.00072,2525.9 ± 7.3,0.452 ± 0.013,2396 ± 59,10.36 ± 0.31,2457 ± 27,-1.10E-9 ± 0,-0.00002227 ± 0.00000091,0.16649 ± 0.00072,2521.3 ± 7.3,2.269 ± 0.063,-6.10E-9 ± 0,196.5 ± 9.8,219 ± 10,0.98877,-0.0288094
OG1,,-,,,,,,,1332 ± 47,325 ± 22,400000 ± 31000,120400 ± 9400,59200 ± 4100,164000 ± 14000,627000 ± 58000,4550 ± 420,1380000 ± 110000,1.00E+0 ± 0,0 ± 0.0E+0,162 ± 47,30 ± 22,400000 ± 31000,120100 ± 9400,58500 ± 4100,164000 ± 14000,627000 ± 58000,4550 ± 420,1380000 ± 110000,4.07 ± 0.31,162 ± 47,30 ± 22,400000 ± 31000,120100 ± 9400,58500 ± 4100,164000 ± 14000,627000 ± 58000,4550 ± 420,1380000 ± 110000,0.671 ± 0.022,3290 ± 83,27.74 ± 0.91,3397 ± 33,0.390 ± 0.026,6540 ± 360,0.335 ± 0.011,1857 ± 52,13.87 ± 0.45,2729 ± 32,0.195 ± 0.013,3560 ± 210,0.3003 ± 0.0012,3470.5 ± 5.9,0.713 ± 0.023,3449 ± 86,29.35 ± 0.96,3452 ± 33,-1.41E-9 ± 0,-0.0000285 ± 0.0000019,0.2994 ± 0.0012,3466.1 ± 5.9,1.443 ± 0.046,-1.01E-8 ± 0,205 ± 19,126 ± 11,0.992625,0.00556296
Temora2,,-,,,,,,,1364 ± 52,339 ± 27,585000 ± 42000,53600 ± 3900,116600 ± 8300,817000 ± 72000,2750000 ± 220000,20000 ± 1600,4350000 ± 250000,1.00E+0 ± 0,0 ± 0.0E+0,193 ± 52,44 ± 27,585000 ± 42000,53400 ± 3900,115900 ± 8300,817000 ± 72000,2750000 ± 220000,20000 ± 1600,4340000 ± 250000,4.78 ± 0.69,193 ± 52,44 ± 27,585000 ± 42000,53400 ± 3900,115900 ± 8300,817000 ± 72000,2750000 ± 220000,20000 ± 1600,4340000 ± 250000,0.2185 ± 0.0044,1272 ± 23,2.749 ± 0.054,1338 ± 15,0.1488 ± 0.0048,2797 ± 84,0.1092 ± 0.0022,668 ± 13,1.375 ± 0.027,876 ± 12,0.0744 ± 0.0024,1448 ± 45,0.09125 ± 0.00034,1451.3 ± 7.0,0.2315 ± 0.0047,1341 ± 24,2.899 ± 0.058,1378 ± 15,0 ± 1.6E-11,-0.00000998 ± 0.00000032,0.09098 ± 0.00034,1445.8 ± 7.0,4.368 ± 0.088,-0.0000000109 ± 0.0000000016,921 ± 74,643 ± 56,0.979619,0.145819
9453,,-,,,,,,,1328 ± 58,330 ± 26,5110 ± 110,502 ± 20,1089 ± 45,68600 ± 7500,628000 ± 26000,4560 ± 190,710000 ± 27000,1.00E+0 ± 0,0 ± 0.0E+0,154 ± 58,33 ± 26,4730 ± 110,222 ± 20,389 ± 45,68600 ± 7500,628000 ± 26000,4560 ± 190,707000 ± 27000,12.8 ± 2.1,154 ± 58,33 ± 26,4730 ± 110,222 ± 20,389 ± 45,68600 ± 7500,628000 ± 26000,4560 ± 190,707000 ± 27000,0.00774 ± 0.00029,49.7 ± 1.9,0.0497 ± 0.0046,49.1 ± 4.4,0.0078 ± 0.0015,145 ± 25,0.00387 ± 0.00014,24.91 ± 0.93,0.0249 ± 0.0023,24.9 ± 2.3,0.00392 ± 0.00075,73 ± 12,0.0470 ± 0.0043,620 ± 120,0.00815 ± 0.00031,52.3 ± 2.0,0.0521 ± 0.0048,51.3 ± 4.6,0 ± 4.3E-12,-0.000000451 ± 0.000000086,0.0468 ± 0.0043,630 ± 120,125.0 ± 4.4,-0.0000000252 ± 0.0000000042,221.0 ± 9.0,56.6 ± 6.2,0.295184,0.0995139
Ples,,-,,,,,,,1340 ± 46,356 ± 23,132200 ± 8000,7360 ± 440,4230 ± 240,110200 ± 9300,2780000 ± 190000,20100 ± 1400,3050000 ± 210000,1.00E+0 ± 0,0 ± 0.0E+0,165 ± 46,59 ± 23,131800 ± 8000,7080 ± 440,3520 ± 240,110200 ± 9300,2780000 ± 190000,20100 ± 1400,3050000 ± 210000,-270000000 ± 380000000,165 ± 46,59 ± 23,131800 ± 8000,7080 ± 440,3520 ± 240,110200 ± 9300,2780000 ± 190000,20100 ± 1400,3050000 ± 210000,0.04869 ± 0.00097,306.4 ± 6.0,0.3593 ± 0.0074,311.1 ± 5.5,160000 ± 490000,708 ± 60,0.02435 ± 0.00049,155.0 ± 3.1,0.1797 ± 0.0037,167.6 ± 3.2,80000 ± 240000,358 ± 31,0.05361 ± 0.00041,355 ± 17,0.0511 ± 0.0010,321.3 ± 6.3,0.3754 ± 0.0077,323.0 ± 5.7,-0.0004 ± 0.0013,4.2 ± 8.3,0.05344 ± 0.00041,347 ± 17,19.78 ± 0.41,0.51 ± 0.72,1001 ± 69,93.2 ± 7.9,0.919027,0.101756
Oracle,,-,,,,,,,1346 ± 59,339 ± 27,145400 ± 3700,13420 ± 350,30900 ± 970,212000 ± 12000,670000 ± 26000,4860 ± 190,1080000 ± 37000,1.00E+0 ± 0,0 ± 0.0E+0,169 ± 59,41 ± 27,145000 ± 3700,13140 ± 350,30190 ± 970,212000 ± 12000,670000 ± 26000,4860 ± 190,1078000 ± 37000,3.29 ± 0.18,169 ± 59,41 ± 27,145000 ± 3700,13140 ± 350,30190 ± 970,212000 ± 12000,670000 ± 26000,4860 ± 190,1078000 ± 37000,0.2218 ± 0.0068,1289 ± 35,2.769 ± 0.086,1340 ± 23,0.1492 ± 0.0085,2800 ± 150,0.1109 ± 0.0034,677 ± 20,1.384 ± 0.043,878 ± 18,0.0746 ± 0.0042,1451 ± 79,0.09060 ± 0.00070,1435 ± 15,0.2320 ± 0.0071,1342 ± 37,2.883 ± 0.090,1371 ± 23,0 ± 2.1E-11,-0.00000752 ± 0.00000043,0.09030 ± 0.00070,1429 ± 15,4.41 ± 0.13,-5.69E-9 ± 0,248.3 ± 9.8,184 ± 11,0.968373,0.0445933
Temora2,,-,,,,,,,1400 ± 57,332 ± 24,68600 ± 2400,4060 ± 140,11410 ± 370,239000 ± 16000,1131000 ± 57000,8200 ± 410,1465000 ± 69000,1.00E+0 ± 0,0 ± 0.0E+0,221 ± 57,34 ± 24,68200 ± 2400,3770 ± 140,10690 ± 370,239000 ± 16000,1131000 ± 57000,8200 ± 410,1462000 ± 69000,5.07 ± 0.33,221 ± 57,34 ± 24,68200 ± 2400,3770 ± 140,10690 ± 370,239000 ± 16000,1131000 ± 57000,8200 ± 410,1462000 ± 69000,0.0616 ± 0.0016,385.1 ± 9.5,0.470 ± 0.013,391.4 ± 9.0,0.0478 ± 0.0027,943 ± 53,0.03079 ± 0.00079,195.5 ± 4.9,0.2349 ± 0.0063,213.9 ± 5.2,0.0239 ± 0.0014,477 ± 27,0.05532 ± 0.00067,423 ± 26,0.0642 ± 0.0016,401.2 ± 9.9,0.488 ± 0.013,403.7 ± 9.2,0 ± 6.5E-12,-0.00000228 ± 0.00000013,0.05514 ± 0.00067,415 ± 26,15.77 ± 0.40,-8.27E-9 ± 0,431 ± 22,213 ± 14,0.893684,0.119448
TANBR,,-,,,,,,,1429 ± 55,344 ± 26,460000 ± 20000,76700 ± 3300,77700 ± 3100,284000 ± 16000,1033000 ± 60000,7430 ± 420,1943000 ± 96000,1.00E+0 ± 0,0 ± 0.0E+0,249 ± 55,45 ± 26,459000 ± 20000,76400 ± 3300,77000 ± 3100,284000 ± 16000,1033000 ± 60000,7430 ± 420,1940000 ± 96000,3.82 ± 0.24,249 ± 55,45 ± 26,459000 ± 20000,76400 ± 3300,77000 ± 3100,284000 ± 16000,1033000 ± 60000,7430 ± 420,1940000 ± 96000,0.455 ± 0.012,2411 ± 51,10.43 ± 0.27,2466 ± 23,0.281 ± 0.013,5010 ± 210,0.2275 ± 0.0059,1319 ± 31,5.22 ± 0.13,1848 ± 21,0.1406 ± 0.0065,2670 ± 120,0.16656 ± 0.00064,2522.2 ± 6.4,0.473 ± 0.012,2491 ± 53,10.80 ± 0.28,2498 ± 23,0 ± 2.9E-11,-0.00001266 ± 0.00000059,0.16599 ± 0.00063,2516.4 ± 6.4,2.147 ± 0.054,-5.91E-9 ± 0,404 ± 24,259 ± 15,0.989449,0.0330233
OG1,,-,,,,,,,1383 ± 54,369 ± 29,636000 ± 35000,191000 ± 10000,73800 ± 3600,200000 ± 12000,1029000 ± 76000,7460 ± 550,2140000 ± 130000,1.00E+0 ± 0,0 ± 0.0E+0,202 ± 54,69 ± 29,635000 ± 35000,191000 ± 10000,73000 ± 3600,200000 ± 12000,1029000 ± 76000,7460 ± 550,2140000 ± 130000,5.22 ± 0.33,202 ± 54,69 ± 29,635000 ± 35000,191000 ± 10000,73000 ± 3600,200000 ± 12000,1029000 ± 76000,7460 ± 550,2140000 ± 130000,0.651 ± 0.022,3214 ± 84,26.97 ± 0.91,3367 ± 33,0.376 ± 0.018,6410 ± 250,0.325 ± 0.011,1809 ± 53,13.48 ± 0.45,2699 ± 32,0.1881 ± 0.0088,3470 ± 150,0.3009 ± 0.0010,3474.1 ± 5.3,0.674 ± 0.023,3306 ± 86,27.83 ± 0.94,3397 ± 33,0 ± 3.7E-11,-0.00001603 ± 0.00000075,0.2999 ± 0.0010,3468.6 ± 5.3,1.525 ± 0.049,-7.62E-9 ± 0,415 ± 31,188 ± 12,0.994668,-0.103528
Temora2,,-,,,,,,,1409 ± 47,334 ± 25,36100 ± 1100,2279 ± 67,6280 ± 220,144000 ± 10000,600000 ± 26000,4350 ± 190,794000 ± 33000,1.00E+0 ± 0,0 ± 0.0E+0,226 ± 47,34 ± 25,35700 ± 1100,1987 ± 67,5550 ± 220,144000 ± 10000,600000 ± 26000,4350 ± 190,791000 ± 33000,4.58 ± 0.31,226 ± 47,34 ± 25,35700 ± 1100,1987 ± 67,5550 ± 220,144000 ± 10000,600000 ± 26000,4350 ± 190,791000 ± 33000,0.0613 ± 0.0020,383 ± 12,0.468 ± 0.015,388 ± 10,0.0424 ± 0.0026,838 ± 51,0.0306 ± 0.0010,194.4 ± 6.2,0.2342 ± 0.0076,213.1 ± 6.2,0.0212 ± 0.0013,424 ± 26,0.05569 ± 0.00096,445 ± 35,0.0633 ± 0.0021,395 ± 13,0.482 ± 0.016,399 ± 11,0 ± 5.3E-12,-0.00000172 ± 0.00000011,0.05548 ± 0.00095,437 ± 35,16.20 ± 0.52,-6.39E-9 ± 0,249 ± 11,139 ± 10,0.866698,0.213539
Baseline,,-,,,,,,,1102 ± 53,259 ± 30,284 ± 31,189 ± 11,480 ± 42,0 ± 0.0E+0,690 ± 680,5.0 ± 4.9,3010 ± 690,1.00E+0 ± 0,0 ± 0.0E+0,-8 ± 53,-11 ± 30,23 ± 31,-1 ± 11,6 ± 42,-0.0000027952 ± 0.0000000022,690 ± 680,5.0 ± 4.9,680 ± 690,-250000000 ± 240000000,-8 ± 53,-11 ± 30,23 ± 31,-1 ± 11,6 ± 42,-0.0000027952 ± 0.0000000022,690 ± 680,5.0 ± 4.9,680 ± 690,-110000 ± 200000,76200 ± 6100,70 ± 500,6560 ± 630,-2000000 ± 15000000,355100 ± 4100,-55000 ± 98000,72100 ± 5800,40 ± 250,5930 ± 570,-1100000 ± 7600000,341000 ± 4100,0.41 ± 0.40,2920 ± 420,-130000 ± 240000,77400 ± 6200,90 ± 590,6710 ± 660,-0.2 ± 1.4,22500 ± 7400,0.40 ± 0.40,2900 ± 420,-0.8 ± 7.4,9.6 ± 9.4,0.13 ± 0.13,-1.40E-9 ± 0,nan,nan
Baseline,,-,,,,,,,1192 ± 45,266 ± 28,271 ± 20,198 ± 10,493 ± 37,300 ± 430,610 ± 600,4.4 ± 4.4,3340 ± 750,1.00E+0 ± 0,0 ± 0.0E+0,81 ± 45,-5 ± 28,7 ± 20,6 ± 10,14 ± 37,300 ± 430,610 ± 600,4.4 ± 4.4,1000 ± 750,-210000000 ± 200000000,81 ± 45,-5 ± 28,7 ± 20,6 ± 10,14 ± 37,300 ± 430,610 ± 600,4.4 ± 4.4,1000 ± 750,-40000 ± 130000,76700 ± 6300,-270 ± 480,6670 ± 570,-3000000 ± 12000000,340000 ± 21000,-22000 ± 65000,72600 ± 6000,-140 ± 240,6020 ± 530,-1700000 ± 6100000,327000 ± 20000,-0.09 ± 0.32,3010 ± 390,-50000 ± 160000,77900 ± 6400,-320 ± 570,6830 ± 580,-0.25 ± 0.89,17800 ± 5200,-0.09 ± 0.32,3100 ± 400,-1 ± 23,11 ± 10,0.12 ± 0.11,0.15 ± 0.22,nan,nan
