Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
91500,,-,,,,,,,1324 ± 53,362 ± 26,61700 ± 1600,4810 ± 140,7200 ± 220,60900 ± 5800,395000 ± 18000,2870 ± 130,538000 ± 22000,0 ± 0.0E+0,1.00E+0 ± 0,175 ± 53,76 ± 26,61400 ± 1600,4570 ± 140,6590 ± 220,60900 ± 5800,395000 ± 18000,2870 ± 130,536000 ± 22000,8.3 ± 1.0,175 ± 53,76 ± 26,61400 ± 1600,4570 ± 140,6590 ± 220,60900 ± 5800,395000 ± 18000,2870 ± 130,536000 ± 22000,0.1586 ± 0.0054,947 ± 30,1.632 ± 0.057,976 ± 22,0.139 ± 0.018,2410 ± 240,0.0793 ± 0.0027,491 ± 16,0.816 ± 0.029,602 ± 16,0.0695 ± 0.0088,1250 ± 130,0.07465 ± 0.00084,1057 ± 22,0.1811 ± 0.0061,1071 ± 33,1.852 ± 0.065,1057 ± 23,0.0203 ± 0.0026,376 ± 40,0.07418 ± 0.00084,1044 ± 22,5.65 ± 0.18,7.19 ± 0.90,52.4 ± 2.3,7.75 ± 0.74,0.953845,0.052086
9453,,-,,,,,,,1377 ± 60,338 ± 28,3740 ± 140,403 ± 15,1081 ± 57,92500 ± 7000,470000 ± 28000,3410 ± 210,573000 ± 32000,0 ± 0.0E+0,1.00E+0 ± 0,227 ± 60,51 ± 28,3410 ± 140,156 ± 15,465 ± 57,92500 ± 7000,470000 ± 28000,3410 ± 210,571000 ± 32000,5.58 ± 0.46,227 ± 60,51 ± 28,3410 ± 140,156 ± 15,465 ± 57,92500 ± 7000,470000 ± 28000,3410 ± 210,571000 ± 32000,0.00758 ± 0.00034,48.7 ± 2.2,0.0472 ± 0.0048,46.5 ± 4.6,0.00507 ± 0.00071,102 ± 14,0.00379 ± 0.00017,24.4 ± 1.1,0.0236 ± 0.0024,23.6 ± 2.4,0.00253 ± 0.00035,51.1 ± 7.1,0.0452 ± 0.0041,770 ± 130,0.00862 ± 0.00038,55.3 ± 2.5,0.0533 ± 0.0054,52.4 ± 5.1,0.00074 ± 0.00010,15.0 ± 2.1,0.0449 ± 0.0041,760 ± 130,121.6 ± 5.4,4.85 ± 0.40,62.6 ± 3.8,12.00 ± 0.90,0.350268,-0.00688447
Ples,,-,,,,,,,1339 ± 55,352 ± 28,154900 ± 5300,8550 ± 290,5640 ± 230,152000 ± 10000,3470000 ± 160000,25200 ± 1100,3820000 ± 170000,0 ± 0.0E+0,1.00E+0 ± 0,187 ± 55,64 ± 28,154600 ± 5300,8310 ± 290,5020 ± 230,152000 ± 10000,3470000 ± 160000,25200 ± 1100,3820000 ± 170000,25.1 ± 1.8,187 ± 55,64 ± 28,154600 ± 5300,8310 ± 290,5020 ± 230,152000 ± 10000,3470000 ± 160000,25200 ± 1100,3820000 ± 170000,0.04527 ± 0.00082,285.3 ± 5.1,0.3363 ± 0.0067,294.0 ± 5.1,0.0366 ± 0.0027,725 ± 53,0.02263 ± 0.00041,144.3 ± 2.6,0.1682 ± 0.0033,157.7 ± 2.9,0.0183 ± 0.0014,366 ± 27,0.05377 ± 0.00049,357 ± 20,0.05126 ± 0.00093,322.2 ± 5.7,0.3783 ± 0.0075,325.4 ± 5.5,0.00536 ± 0.00040,108.0 ± 8.1,0.05343 ± 0.00048,342 ± 20,19.65 ± 0.35,21.7 ± 1.6,463 ± 21,20.1 ± 1.4,0.895583,0.0830896
Oracle,,-,,,,,,,1372 ± 58,341 ± 25,167800 ± 7000,15360 ± 640,24940 ± 770,164000 ± 11000,800000 ± 45000,5810 ± 320,1182000 ± 55000,0 ± 0.0E+0,1.00E+0 ± 0,218 ± 58,53 ± 25,167500 ± 7000,15110 ± 640,24310 ± 770,164000 ± 11000,800000 ± 45000,5810 ± 320,1179000 ± 55000,5.36 ± 0.41,218 ± 58,53 ± 25,167500 ± 7000,15110 ± 640,24310 ± 770,164000 ± 11000,800000 ± 45000,5810 ± 320,1179000 ± 55000,0.2154 ± 0.0057,1255 ± 30,2.678 ± 0.072,1317 ± 20,0.1582 ± 0.0091,2980 ± 160,0.1077 ± 0.0029,659 ± 17,1.339 ± 0.036,859 ± 15,0.0791 ± 0.0045,1533 ± 84,0.09022 ± 0.00055,1428 ± 12,0.2428 ± 0.0064,1399 ± 33,2.999 ± 0.080,1401 ± 20,0.0232 ± 0.0013,463 ± 26,0.08964 ± 0.00055,1416 ± 12,4.21 ± 0.11,4.62 ± 0.36,107.1 ± 6.0,22.2 ± 1.4,0.97324,0.0927179
Temora2,,-,,,,,,,1292 ± 51,315 ± 27,41300 ± 1600,2510 ± 93,8130 ± 320,194000 ± 11000,750000 ± 41000,5440 ± 300,1002000 ± 49000,0 ± 0.0E+0,1.00E+0 ± 0,137 ± 51,26 ± 27,40900 ± 1600,2257 ± 93,7500 ± 320,194000 ± 11000,750000 ± 41000,5440 ± 300,1000000 ± 49000,4.00 ± 0.22,137 ± 51,26 ± 27,40900 ± 1600,2257 ± 93,7500 ± 320,194000 ± 11000,750000 ± 41000,5440 ± 300,1000000 ± 49000,0.0564 ± 0.0017,353 ± 10,0.427 ± 0.013,360.9 ± 9.8,0.0405 ± 0.0020,806 ± 40,0.02818 ± 0.00084,179.1 ± 5.2,0.2134 ± 0.0067,195.9 ± 5.5,0.02023 ± 0.00099,408 ± 20,0.05521 ± 0.00087,428 ± 33,0.0633 ± 0.0019,395 ± 11,0.476 ± 0.015,395 ± 11,0.00598 ± 0.00030,120.6 ± 6.1,0.05485 ± 0.00087,417 ± 32,16.02 ± 0.44,3.42 ± 0.18,100.4 ± 5.5,26.7 ± 1.5,0.889533,0.0906375
TANBR,,-,,,,,,,1322 ± 54,359 ± 28,487000 ± 19000,65100 ± 2900,87700 ± 3800,735000 ± 23000,2970000 ± 97000,21540 ± 700,4370000 ± 130000,0 ± 0.0E+0,1.00E+0 ± 0,166 ± 54,70 ± 28,486000 ± 19000,64800 ± 2900,87000 ± 3800,735000 ± 23000,2970000 ± 97000,21540 ± 700,4360000 ± 130000,4.09 ± 0.14,166 ± 54,70 ± 28,486000 ± 19000,64800 ± 2900,87000 ± 3800,735000 ± 23000,2970000 ± 97000,21540 ± 700,4360000 ± 130000,0.1632 ± 0.0031,974 ± 17,2.984 ± 0.076,1401 ± 19,0.1189 ± 0.0050,2265 ± 89,0.0816 ± 0.0016,505.5 ± 9.3,1.492 ± 0.038,926 ± 15,0.0595 ± 0.0025,1166 ± 47,0.1322 ± 0.0012,2126 ± 16,0.1824 ± 0.0035,1079 ± 19,3.313 ± 0.084,1481 ± 20,0.01748 ± 0.00073,350 ± 14,0.1313 ± 0.0011,2115 ± 16,5.53 ± 0.10,3.47 ± 0.12,398 ± 13,103.6 ± 3.3,0.949561,-0.490382
Ples,,-,,,,,,,1331 ± 46,321 ± 24,136100 ± 3900,7480 ± 210,4530 ± 160,125200 ± 8000,3030000 ± 110000,21980 ± 800,3330000 ± 120000,0 ± 0.0E+0,1.00E+0 ± 0,171 ± 46,31 ± 24,135800 ± 3900,7220 ± 210,3880 ± 160,125200 ± 8000,3030000 ± 110000,21980 ± 800,3320000 ± 120000,27.4 ± 2.3,171 ± 46,31 ± 24,135800 ± 3900,7220 ± 210,3880 ± 160,125200 ± 8000,3030000 ± 110000,21980 ± 800,3320000 ± 120000,0.04487 ± 0.00071,282.9 ± 4.4,0.3284 ± 0.0057,288.0 ± 4.4,0.0354 ± 0.0030,662 ± 44,0.02244 ± 0.00036,143.0 ± 2.2,0.1642 ± 0.0029,154.3 ± 2.5,0.0177 ± 0.0015,334 ± 22,0.05327 ± 0.00045,335 ± 19,0.04969 ± 0.00079,312.6 ± 4.8,0.3612 ± 0.0063,312.8 ± 4.7,0.00521 ± 0.00044,99.0 ± 6.7,0.05291 ± 0.00045,320 ± 19,20.30 ± 0.32,22.7 ± 1.9,404 ± 15,18.4 ± 1.2,0.855686,0.0394523
91500,,-,,,,,,,1330 ± 52,316 ± 24,45400 ± 1300,3650 ± 100,5280 ± 160,50100 ± 5300,282000 ± 16000,2050 ± 110,390000 ± 19000,0 ± 0.0E+0,1.00E+0 ± 0,170 ± 52,25 ± 24,45000 ± 1300,3390 ± 100,4630 ± 160,50100 ± 5300,282000 ± 16000,2050 ± 110,388000 ± 19000,-880000000 ± 760000000,170 ± 52,25 ± 24,45000 ± 1300,3390 ± 100,4630 ± 160,50100 ± 5300,282000 ± 16000,2050 ± 110,388000 ± 19000,0.1657 ± 0.0068,985 ± 37,1.724 ± 0.072,1010 ± 28,-6800000 ± 9300000,2110 ± 220,0.0828 ± 0.0034,512 ± 20,0.862 ± 0.036,628 ± 20,-3400000 ± 4600000,1070 ± 120,0.07533 ± 0.00090,1074 ± 25,0.1826 ± 0.0075,1077 ± 41,1.887 ± 0.079,1068 ± 29,-1000000 ± 1400000,325 ± 36,0.07483 ± 0.00090,1060 ± 25,5.71 ± 0.26,-720000000 ± 620000000,37.5 ± 2.1,7.53 ± 0.80,0.970153,0.0202857
9453,,-,,,,,,,1313 ± 58,322 ± 34,2494 ± 63,351 ± 13,870 ± 55,43000 ± 5600,288000 ± 16000,2090 ± 120,339000 ± 17000,0 ± 0.0E+0,1.00E+0 ± 0,151 ± 58,30 ± 34,2134 ± 63,87 ± 13,213 ± 55,43000 ± 5600,288000 ± 16000,2090 ± 120,336000 ± 17000,-610000000 ± 850000000,151 ± 58,30 ± 34,2134 ± 63,87 ± 13,213 ± 55,43000 ± 5600,288000 ± 16000,2090 ± 120,336000 ± 17000,0.00780 ± 0.00046,50.1 ± 3.0,0.0442 ± 0.0073,43.3 ± 7.1,-430000 ± 860000,127 ± 40,0.00390 ± 0.00023,25.1 ± 1.5,0.0221 ± 0.0036,22.0 ± 3.6,-210000 ± 430000,64 ± 20,0.0419 ± 0.0065,870 ± 170,0.00856 ± 0.00051,54.9 ± 3.2,0.0481 ± 0.0079,47.1 ± 7.7,-60000 ± 130000,18.9 ± 6.0,0.0416 ± 0.0065,880 ± 170,123.4 ± 7.2,-200000000 ± 390000000,38.0 ± 2.2,6.60 ± 0.86,-0.0174937,0.215582
Ples,,-,,,,,,,1291 ± 44,308 ± 20,143200 ± 6000,7920 ± 330,4420 ± 180,111600 ± 8100,3080000 ± 160000,22300 ± 1200,3370000 ± 170000,0 ± 0.0E+0,1.00E+0 ± 0,127 ± 44,15 ± 20,142900 ± 6000,7660 ± 330,3750 ± 180,111600 ± 8100,3080000 ± 160000,22300 ± 1200,3370000 ± 170000,30.9 ± 2.2,127 ± 44,15 ± 20,142900 ± 6000,7660 ± 330,3750 ± 180,111600 ± 8100,3080000 ± 160000,22300 ± 1200,3370000 ± 170000,0.04730 ± 0.00083,297.8 ± 5.1,0.3502 ± 0.0066,304.5 ± 4.9,0.0375 ± 0.0026,742 ± 50,0.02365 ± 0.00041,150.7 ± 2.6,0.1751 ± 0.0033,163.7 ± 2.8,0.0187 ± 0.0013,375 ± 26,0.05369 ± 0.00036,357 ± 15,0.05166 ± 0.00091,324.6 ± 5.5,0.3800 ± 0.0072,326.6 ± 5.3,0.00553 ± 0.00038,111.3 ± 7.7,0.05333 ± 0.00036,341 ± 15,19.49 ± 0.36,24.4 ± 1.7,404 ± 21,17.5 ± 1.3,0.912151,0.0891699
Oracle,,-,,,,,,,1342 ± 49,334 ± 21,66000 ± 3800,6250 ± 340,28540 ± 710,196000 ± 12000,290000 ± 23000,2110 ± 170,591000 ± 30000,0 ± 0.0E+0,1.00E+0 ± 0,176 ± 49,41 ± 21,65600 ± 3800,5980 ± 340,27870 ± 710,196000 ± 12000,290000 ± 23000,2110 ± 170,588000 ± 30000,1.60 ± 0.15,176 ± 49,41 ± 21,65600 ± 3800,5980 ± 340,27870 ± 710,196000 ± 12000,290000 ± 23000,2110 ± 170,588000 ± 30000,0.2406 ± 0.0098,1383 ± 50,3.05 ± 0.14,1403 ± 32,0.1530 ± 0.0085,2860 ± 150,0.1203 ± 0.0049,730 ± 28,1.526 ± 0.068,930 ± 26,0.0765 ± 0.0042,1485 ± 79,0.09120 ± 0.00081,1447 ± 17,0.262 ± 0.011,1491 ± 53,3.30 ± 0.15,1462 ± 33,0.0226 ± 0.0013,450 ± 25,0.09057 ± 0.00080,1434 ± 17,3.97 ± 0.17,1.24 ± 0.12,37.8 ± 3.0,31.3 ± 1.9,0.985937,-0.0659941
Temora2,,-,,,,,,,1357 ± 62,340 ± 25,66200 ± 1900,3920 ± 120,10430 ± 280,234000 ± 13000,1106000 ± 54000,8020 ± 390,1429000 ± 63000,0 ± 0.0E+0,1.00E+0 ± 0,191 ± 62,46 ± 25,65800 ± 1900,3650 ± 120,9760 ± 280,234000 ± 13000,1106000 ± 54000,8020 ± 390,1427000 ± 63000,4.92 ± 0.27,191 ± 62,46 ± 25,65800 ± 1900,3650 ± 120,9760 ± 280,234000 ± 13000,1106000 ± 54000,8020 ± 390,1427000 ± 63000,0.0611 ± 0.0017,382 ± 10,0.466 ± 0.013,387.4 ± 9.2,0.0444 ± 0.0023,877 ± 45,0.03055 ± 0.00086,193.9 ± 5.4,0.2332 ± 0.0067,212.4 ± 5.5,0.0222 ± 0.0012,444 ± 23,0.05519 ± 0.00063,427 ± 28,0.0662 ± 0.0019,413 ± 11,0.502 ± 0.014,411.3 ± 9.6,0.00655 ± 0.00035,132.0 ± 6.9,0.05481 ± 0.00063,412 ± 28,15.43 ± 0.43,3.75 ± 0.21,142.7 ± 6.9,38.0 ± 2.2,0.898029,0.105412
TANBR,,-,,,,,,,1387 ± 51,359 ± 25,253100 ± 8600,42500 ± 1400,79200 ± 2100,291000 ± 14000,616000 ± 30000,4470 ± 220,1292000 ± 44000,0 ± 0.0E+0,1.00E+0 ± 0,219 ± 51,65 ± 25,252800 ± 8600,42200 ± 1400,78500 ± 2100,291000 ± 14000,616000 ± 30000,4470 ± 220,1289000 ± 44000,2.24 ± 0.16,219 ± 51,65 ± 25,252800 ± 8600,42200 ± 1400,78500 ± 2100,291000 ± 14000,616000 ± 30000,4470 ± 220,1289000 ± 44000,0.424 ± 0.013,2271 ± 56,9.77 ± 0.29,2402 ± 27,0.278 ± 0.011,4940 ± 180,0.2120 ± 0.0063,1237 ± 33,4.88 ± 0.15,1790 ± 25,0.1392 ± 0.0057,2630 ± 100,0.16694 ± 0.00072,2525.9 ± 7.3,0.457 ± 0.014,2418 ± 59,10.46 ± 0.31,2465 ± 27,0.0410 ± 0.0017,812 ± 33,0.16577 ± 0.00072,2514.1 ± 7.3,2.244 ± 0.063,1.67 ± 0.12,78.7 ± 3.9,48.2 ± 2.3,0.988776,-0.0288317
Oracle,,-,,,,,,,1364 ± 52,339 ± 27,585000 ± 42000,53600 ± 3900,116600 ± 8300,817000 ± 72000,2750000 ± 220000,20000 ± 1600,4350000 ± 250000,0 ± 0.0E+0,1.00E+0 ± 0,193 ± 52,44 ± 27,585000 ± 42000,53400 ± 3900,115900 ± 8300,817000 ± 72000,2750000 ± 220000,20000 ± 1600,4340000 ± 250000,4.78 ± 0.69,193 ± 52,44 ± 27,585000 ± 42000,53400 ± 3900,115900 ± 8300,817000 ± 72000,2750000 ± 220000,20000 ± 1600,4340000 ± 250000,0.2185 ± 0.0044,1272 ± 23,2.749 ± 0.054,1338 ± 15,0.1488 ± 0.0048,2797 ± 84,0.1092 ± 0.0022,668 ± 13,1.375 ± 0.027,876 ± 12,0.0744 ± 0.0024,1448 ± 45,0.09125 ± 0.00034,1451.3 ± 7.0,0.2334 ± 0.0047,1351 ± 24,2.918 ± 0.058,1383 ± 15,0.02193 ± 0.00071,438 ± 14,0.09059 ± 0.00034,1437.6 ± 7.0,4.331 ± 0.087,3.43 ± 0.49,344 ± 28,140 ± 12,0.979644,0.145739
91500,,-,,,,,,,1316 ± 49,325 ± 24,35800 ± 1100,2939 ± 87,4240 ± 140,33600 ± 4200,226000 ± 14000,1635 ± 99,307000 ± 16000,0 ± 0.0E+0,1.00E+0 ± 0,143 ± 49,29 ± 24,35400 ± 1100,2662 ± 87,3550 ± 140,33600 ± 4200,226000 ± 14000,1635 ± 99,304000 ± 16000,-3400000000 ± 1500000000,143 ± 49,29 ± 24,35400 ± 1100,2662 ± 87,3550 ± 140,33600 ± 4200,226000 ± 14000,1635 ± 99,304000 ± 16000,0.1673 ± 0.0081,992 ± 44,1.737 ± 0.089,1006 ± 31,-53000000 ± 22000000,2220 ± 230,0.0837 ± 0.0040,516 ± 24,0.869 ± 0.044,626 ± 23,-26000000 ± 11000000,1130 ± 120,0.0753 ± 0.0011,1067 ± 30,0.1780 ± 0.0086,1051 ± 46,1.836 ± 0.094,1041 ± 32,-7800000 ± 3300000,343 ± 37,0.0748 ± 0.0011,1053 ± 30,5.94 ± 0.27,-2400000000 ± 1000000000,27.8 ± 1.7,5.84 ± 0.73,0.967478,-0.0218332
9453,,-,,,,,,,1328 ± 58,330 ± 26,5110 ± 110,502 ± 20,1089 ± 45,68600 ± 7500,628000 ± 26000,4560 ± 190,710000 ± 27000,0 ± 0.0E+0,1.00E+0 ± 0,154 ± 58,33 ± 26,4730 ± 110,222 ± 20,389 ± 45,68600 ± 7500,628000 ± 26000,4560 ± 190,707000 ± 27000,12.8 ± 2.1,154 ± 58,33 ± 26,4730 ± 110,222 ± 20,389 ± 45,68600 ± 7500,628000 ± 26000,4560 ± 190,707000 ± 27000,0.00774 ± 0.00029,49.7 ± 1.9,0.0497 ± 0.0046,49.1 ± 4.4,0.0078 ± 0.0015,145 ± 25,0.00387 ± 0.00014,24.91 ± 0.93,0.0249 ± 0.0023,24.9 ± 2.3,0.00392 ± 0.00075,73 ± 12,0.0470 ± 0.0043,620 ± 120,0.00820 ± 0.00031,52.6 ± 2.0,0.0523 ± 0.0048,51.5 ± 4.6,0.00116 ± 0.00022,21.5 ± 3.7,0.0466 ± 0.0042,620 ± 120,124.3 ± 4.4,8.8 ± 1.5,76.3 ± 3.1,12.1 ± 1.3,0.295153,0.0995642
Ples,,-,,,,,,,1340 ± 46,356 ± 23,132200 ± 8000,7360 ± 440,4230 ± 240,110200 ± 9300,2780000 ± 190000,20100 ± 1400,3050000 ± 210000,0 ± 0.0E+0,1.00E+0 ± 0,165 ± 46,59 ± 23,131800 ± 8000,7080 ± 440,3520 ± 240,110200 ± 9300,2780000 ± 190000,20100 ± 1400,3050000 ± 210000,-270000000 ± 380000000,165 ± 46,59 ± 23,131800 ± 8000,7080 ± 440,3520 ± 240,110200 ± 9300,2780000 ± 190000,20100 ± 1400,3050000 ± 210000,0.04869 ± 0.00097,306.4 ± 6.0,0.3593 ± 0.0074,311.1 ± 5.5,160000 ± 490000,708 ± 60,0.02435 ± 0.00049,155.0 ± 3.1,0.1797 ± 0.0037,167.6 ± 3.2,80000 ± 240000,358 ± 31,0.05361 ± 0.00041,355 ± 17,0.0514 ± 0.0010,322.9 ± 6.3,0.3766 ± 0.0078,323.9 ± 5.7,23000 ± 72000,106.3 ± 9.3,0.05322 ± 0.00041,338 ± 17,19.68 ± 0.41,-180000000 ± 260000000,333 ± 23,19.7 ± 1.7,0.9191,0.101773
Oracle,,-,,,,,,,1346 ± 59,339 ± 27,145400 ± 3700,13420 ± 350,30900 ± 970,212000 ± 12000,670000 ± 26000,4860 ± 190,1080000 ± 37000,0 ± 0.0E+0,1.00E+0 ± 0,169 ± 59,41 ± 27,145000 ± 3700,13140 ± 350,30190 ± 970,212000 ± 12000,670000 ± 26000,4860 ± 190,1078000 ± 37000,3.29 ± 0.18,169 ± 59,41 ± 27,145000 ± 3700,13140 ± 350,30190 ± 970,212000 ± 12000,670000 ± 26000,4860 ± 190,1078000 ± 37000,0.2218 ± 0.0068,1289 ± 35,2.769 ± 0.086,1340 ± 23,0.1492 ± 0.0085,2800 ± 150,0.1109 ± 0.0034,677 ± 20,1.384 ± 0.043,878 ± 18,0.0746 ± 0.0042,1451 ± 79,0.09060 ± 0.00070,1435 ± 15,0.2330 ± 0.0071,1347 ± 37,2.889 ± 0.090,1372 ± 23,0.0220 ± 0.0012,439 ± 25,0.08992 ± 0.00069,1421 ± 15,4.39 ± 0.13,2.18 ± 0.12,79.2 ± 3.1,38.4 ± 2.2,0.968385,0.0446283
Temora2,,-,,,,,,,1399 ± 57,334 ± 23,67700 ± 2500,4010 ± 140,11250 ± 380,236000 ± 15000,1113000 ± 57000,8070 ± 410,1442000 ± 69000,0 ± 0.0E+0,1.00E+0 ± 0,220 ± 57,36 ± 23,67400 ± 2500,3730 ± 140,10540 ± 380,236000 ± 15000,1113000 ± 57000,8070 ± 410,1439000 ± 69000,5.07 ± 0.33,220 ± 57,36 ± 23,67400 ± 2500,3730 ± 140,10540 ± 380,236000 ± 15000,1113000 ± 57000,8070 ± 410,1439000 ± 69000,0.0618 ± 0.0016,386.6 ± 9.4,0.472 ± 0.013,392.8 ± 8.9,0.0479 ± 0.0027,944 ± 52,0.03092 ± 0.00078,196.2 ± 4.9,0.2360 ± 0.0063,215.5 ± 5.3,0.0239 ± 0.0014,478 ± 27,0.05535 ± 0.00065,423 ± 25,0.0647 ± 0.0016,403.9 ± 9.9,0.491 ± 0.013,405.5 ± 9.2,0.00706 ± 0.00040,142.1 ± 8.0,0.05493 ± 0.00065,406 ± 25,15.66 ± 0.39,3.29 ± 0.21,129.7 ± 6.6,43.2 ± 2.8,0.898506,0.0958049
TANBR,,-,,,,,,,1429 ± 55,344 ± 26,460000 ± 20000,76700 ± 3300,77700 ± 3100,284000 ± 16000,1033000 ± 60000,7430 ± 420,1943000 ± 96000,0 ± 0.0E+0,1.00E+0 ± 0,249 ± 55,45 ± 26,459000 ± 20000,76400 ± 3300,77000 ± 3100,284000 ± 16000,1033000 ± 60000,7430 ± 420,1940000 ± 96000,3.82 ± 0.24,249 ± 55,45 ± 26,459000 ± 20000,76400 ± 3300,77000 ± 3100,284000 ± 16000,1033000 ± 60000,7430 ± 420,1940000 ± 96000,0.455 ± 0.012,2411 ± 51,10.43 ± 0.27,2466 ± 23,0.281 ± 0.013,5010 ± 210,0.2275 ± 0.0059,1319 ± 31,5.22 ± 0.13,1848 ± 21,0.1406 ± 0.0065,2670 ± 120,0.16656 ± 0.00064,2522.2 ± 6.4,0.474 ± 0.012,2495 ± 53,10.80 ± 0.28,2498 ± 23,0.0414 ± 0.0019,819 ± 37,0.16529 ± 0.00063,2509.3 ± 6.4,2.143 ± 0.054,2.43 ± 0.15,118.7 ± 6.9,52.6 ± 3.0,0.989453,0.0330066
Temora2,,-,,,,,,,1409 ± 47,334 ± 25,36100 ± 1100,2279 ± 67,6280 ± 220,144000 ± 10000,600000 ± 26000,4350 ± 190,794000 ± 33000,0 ± 0.0E+0,1.00E+0 ± 0,226 ± 47,34 ± 25,35700 ± 1100,1987 ± 67,5550 ± 220,144000 ± 10000,600000 ± 26000,4350 ± 190,791000 ± 33000,4.58 ± 0.31,226 ± 47,34 ± 25,35700 ± 1100,1987 ± 67,5550 ± 220,144000 ± 10000,600000 ± 26000,4350 ± 190,791000 ± 33000,0.0613 ± 0.0020,383 ± 12,0.468 ± 0.015,388 ± 10,0.0424 ± 0.0026,838 ± 51,0.0306 ± 0.0010,194.4 ± 6.2,0.2342 ± 0.0076,213.1 ± 6.2,0.0212 ± 0.0013,424 ± 26,0.05569 ± 0.00096,445 ± 35,0.0633 ± 0.0021,395 ± 13,0.481 ± 0.016,398 ± 11,0.00625 ± 0.00039,125.8 ± 7.8,0.05525 ± 0.00095,428 ± 35,16.20 ± 0.52,2.81 ± 0.19,67.0 ± 2.9,27.3 ± 2.0,0.866752,0.213428
Baseline,,-,,,,,,,1102 ± 53,259 ± 30,284 ± 31,189 ± 11,480 ± 42,0 ± 0.0E+0,690 ± 680,5.0 ± 4.9,3010 ± 690,0 ± 0.0E+0,1.00E+0 ± 0,-8 ± 53,-11 ± 30,23 ± 31,-1 ± 11,6 ± 42,-0.0000027952 ± 0.0000000022,690 ± 680,5.0 ± 4.9,680 ± 690,-250000000 ± 240000000,-8 ± 53,-11 ± 30,23 ± 31,-1 ± 11,6 ± 42,-0.0000027952 ± 0.0000000022,690 ± 680,5.0 ± 4.9,680 ± 690,-110000 ± 200000,76200 ± 6100,70 ± 500,6560 ± 630,-2000000 ± 15000000,355100 ± 4100,-55000 ± 98000,72100 ± 5800,40 ± 250,5930 ± 570,-1100000 ± 7600000,341000 ± 4100,0.41 ± 0.40,2920 ± 420,-140000 ± 250000,77600 ± 6200,90 ± 630,6730 ± 690,-300000 ± 2000000,314200 ± 4100,0.40 ± 0.40,2910 ± 420,-0.8 ± 7.1,-160000000 ± 150000000,0.082 ± 0.081,0 ± 2.3E-13,nan,nan
Baseline,,-,,,,,,,1192 ± 45,266 ± 28,271 ± 20,198 ± 10,493 ± 37,300 ± 430,610 ± 600,4.4 ± 4.4,3340 ± 750,0 ± 0.0E+0,1.00E+0 ± 0,81 ± 45,-5 ± 28,7 ± 20,6 ± 10,14 ± 37,300 ± 430,610 ± 600,4.4 ± 4.4,1000 ± 750,-210000000 ± 200000000,81 ± 45,-5 ± 28,7 ± 20,6 ± 10,14 ± 37,300 ± 430,610 ± 600,4.4 ± 4.4,1000 ± 750,-40000 ± 130000,76700 ± 6300,-270 ± 480,6670 ± 570,-3000000 ± 12000000,340000 ± 21000,-22000 ± 65000,72600 ± 6000,-140 ± 240,6020 ± 530,-1700000 ± 6100000,327000 ± 20000,-0.09 ± 0.32,3010 ± 390,-60000 ± 160000,78100 ± 6500,-340 ± 600,6880 ± 590,-400000 ± 1600000,301000 ± 18000,-0.09 ± 0.32,3050 ± 400,-1 ± 22,-130000000 ± 130000000,0.073 ± 0.072,0.026 ± 0.036,nan,nan
Baseline,,-,,,,,,,1108 ± 61,267 ± 29,275 ± 28,194 ± 10,505 ± 41,0 ± 0.0E+0,400 ± 560,2.9 ± 4.1,2750 ± 570,0 ± 0.0E+0,1.00E+0 ± 0,-5 ± 61,-4 ± 29,8 ± 28,0 ± 10,21 ± 41,-0.0000030765 ± 0.0000000021,400 ± 560,2.9 ± 4.1,400 ± 570,-130000000 ± 180000000,-5 ± 61,-4 ± 29,8 ± 28,0 ± 10,21 ± 41,-0.0000030765 ± 0.0000000021,400 ± 560,2.9 ± 4.1,400 ± 570,-50000 ± 180000,78600 ± 4700,-30 ± 480,6880 ± 610,-7000000 ± 13000000,350700 ± 4000,-27000 ± 92000,74300 ± 4500,-20 ± 240,6220 ± 550,-3400000 ± 6600000,336700 ± 4000,0.05 ± 0.26,2650 ± 630,-70000 ± 230000,80000 ± 4800,-40 ± 600,7090 ± 620,-900000 ± 1800000,310000 ± 4000,0.04 ± 0.26,2640 ± 630,-13 ± 20,-80000000 ± 120000000,0.048 ± 0.068,0 ± 2.3E-13,nan,nan
