Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
TANBR,,-,,,,,,,1293 ± 45,353 ± 26,811000 ± 24000,134300 ± 3900,241400 ± 7200,892000 ± 36000,2158000 ± 80000,15650 ± 580,4270000 ± 140000,0 ± 0.0E+0,1.00E+0 ± 0,174 ± 45,80 ± 26,811000 ± 24000,134100 ± 3900,240900 ± 7200,892000 ± 36000,2158000 ± 80000,15650 ± 580,4270000 ± 140000,2.438 ± 0.065,174 ± 45,80 ± 26,811000 ± 24000,134100 ± 3900,240900 ± 7200,892000 ± 36000,2158000 ± 80000,15650 ± 580,4270000 ± 140000,0.3792 ± 0.0065,2070 ± 30,8.65 ± 0.15,2298 ± 15,0.2720 ± 0.0061,4856 ± 96,0.1896 ± 0.0033,1118 ± 18,4.327 ± 0.074,1695 ± 14,0.1360 ± 0.0030,2575 ± 54,0.16557 ± 0.00056,2512.2 ± 5.6,0.4692 ± 0.0081,2477 ± 35,10.64 ± 0.18,2488 ± 16,0.03685 ± 0.00082,731 ± 16,0.16456 ± 0.00055,2502.0 ± 5.6,2.148 ± 0.035,1.672 ± 0.045,263.5 ± 9.7,79.5 ± 3.3,0.980827,0.154497
FC1,,-,,,,,,,1302 ± 50,300 ± 22,43420 ± 800,3446 ± 74,5080 ± 120,46200 ± 4600,292000 ± 15000,2120 ± 110,394000 ± 18000,0 ± 0.0E+0,1.00E+0 ± 0,181 ± 50,26 ± 22,43140 ± 800,3241 ± 74,4560 ± 120,46200 ± 4600,292000 ± 15000,2120 ± 110,391000 ± 18000,-290000000 ± 570000000,181 ± 50,26 ± 22,43140 ± 800,3241 ± 74,4560 ± 120,46200 ± 4600,292000 ± 15000,2120 ± 110,391000 ± 18000,0.1558 ± 0.0070,930 ± 38,1.627 ± 0.076,967 ± 28,-4100000 ± 8000000,2290 ± 220,0.0779 ± 0.0035,482 ± 21,0.813 ± 0.038,597 ± 21,-2000000 ± 4000000,1190 ± 120,0.07561 ± 0.00097,1077 ± 26,0.1913 ± 0.0085,1123 ± 46,1.985 ± 0.093,1095 ± 31,-600000 ± 1100000,333 ± 35,0.07515 ± 0.00096,1065 ± 26,5.46 ± 0.23,-210000000 ± 400000000,36.0 ± 1.9,4.24 ± 0.43,0.970607,-0.0916678
91500,,-,,,,,,,1291 ± 54,336 ± 29,57100 ± 1200,4481 ± 98,6700 ± 160,55700 ± 5700,394000 ± 18000,2860 ± 130,519000 ± 20000,0 ± 0.0E+0,1.00E+0 ± 0,169 ± 54,61 ± 29,56800 ± 1200,4274 ± 98,6190 ± 160,55700 ± 5700,394000 ± 18000,2860 ± 130,517000 ± 20000,9.2 ± 1.1,169 ± 54,61 ± 29,56800 ± 1200,4274 ± 98,6190 ± 160,55700 ± 5700,394000 ± 18000,2860 ± 130,517000 ± 20000,0.1494 ± 0.0056,896 ± 31,1.531 ± 0.053,949 ± 24,0.147 ± 0.018,2610 ± 270,0.0747 ± 0.0028,464 ± 17,0.766 ± 0.026,581 ± 17,0.0734 ± 0.0090,1360 ± 150,0.07559 ± 0.00085,1082 ± 22,0.1829 ± 0.0068,1079 ± 37,1.861 ± 0.064,1073 ± 26,0.0201 ± 0.0025,385 ± 44,0.07514 ± 0.00085,1069 ± 22,5.64 ± 0.20,6.61 ± 0.78,48.7 ± 2.3,5.19 ± 0.53,0.958933,0.0505319
9453,,-,,,,,,,1306 ± 51,310 ± 24,4310 ± 200,387 ± 17,888 ± 44,73800 ± 6400,597000 ± 39000,4330 ± 280,683000 ± 42000,0 ± 0.0E+0,1.00E+0 ± 0,182 ± 51,34 ± 24,4030 ± 200,178 ± 17,365 ± 44,73800 ± 6400,597000 ± 39000,4330 ± 280,681000 ± 42000,9.9 ± 1.3,182 ± 51,34 ± 24,4030 ± 200,178 ± 17,365 ± 44,73800 ± 6400,597000 ± 39000,4330 ± 280,681000 ± 42000,0.00707 ± 0.00031,45.4 ± 2.0,0.0421 ± 0.0037,41.7 ± 3.6,0.0064 ± 0.0013,121 ± 21,0.00354 ± 0.00015,22.76 ± 0.99,0.0210 ± 0.0019,21.1 ± 1.8,0.00321 ± 0.00065,61 ± 11,0.0439 ± 0.0037,570 ± 110,0.00862 ± 0.00038,55.3 ± 2.4,0.0509 ± 0.0045,50.2 ± 4.3,0.00088 ± 0.00018,16.8 ± 2.9,0.0436 ± 0.0036,570 ± 110,121.0 ± 5.0,7.27 ± 0.98,74.0 ± 4.8,6.99 ± 0.61,0.493729,-0.0231264
Ples,,-,,,,,,,1317 ± 49,324 ± 25,144900 ± 1900,8000 ± 110,5030 ± 110,124500 ± 8100,3379000 ± 76000,24500 ± 550,3689000 ± 80000,0 ± 0.0E+0,1.00E+0 ± 0,192 ± 49,47 ± 25,144600 ± 1900,7780 ± 110,4500 ± 110,124500 ± 8100,3379000 ± 76000,24500 ± 550,3686000 ± 80000,29.2 ± 1.9,192 ± 49,47 ± 25,144600 ± 1900,7780 ± 110,4500 ± 110,124500 ± 8100,3379000 ± 76000,24500 ± 550,3686000 ± 80000,0.04340 ± 0.00068,273.8 ± 4.2,0.3222 ± 0.0054,283.3 ± 4.1,0.0396 ± 0.0027,782 ± 51,0.02170 ± 0.00034,138.4 ± 2.2,0.1611 ± 0.0027,151.6 ± 2.4,0.0198 ± 0.0013,396 ± 26,0.05381 ± 0.00039,364 ± 17,0.05273 ± 0.00083,331.2 ± 5.1,0.3889 ± 0.0066,333.2 ± 4.8,0.00548 ± 0.00037,110.3 ± 7.4,0.05349 ± 0.00039,350 ± 17,19.12 ± 0.30,21.7 ± 1.4,420.7 ± 9.5,11.95 ± 0.77,0.891279,0.114749
Oracle,,-,,,,,,,1273 ± 53,327 ± 28,280300 ± 7200,25810 ± 720,19750 ± 770,124800 ± 9400,1413000 ± 57000,10240 ± 420,1878000 ± 71000,0 ± 0.0E+0,1.00E+0 ± 0,146 ± 53,50 ± 28,280000 ± 7200,25600 ± 720,19220 ± 770,124800 ± 9400,1413000 ± 57000,10240 ± 420,1875000 ± 71000,13.2 ± 1.1,146 ± 53,50 ± 28,280000 ± 7200,25600 ± 720,19220 ± 770,124800 ± 9400,1413000 ± 57000,10240 ± 420,1875000 ± 71000,0.2030 ± 0.0041,1190 ± 22,2.545 ± 0.052,1281 ± 15,0.176 ± 0.013,3240 ± 220,0.1015 ± 0.0020,623 ± 12,1.272 ± 0.026,831 ± 11,0.0881 ± 0.0066,1700 ± 120,0.09096 ± 0.00050,1444 ± 10,0.2457 ± 0.0050,1415 ± 25,3.060 ± 0.063,1419 ± 15,0.0245 ± 0.0018,488 ± 36,0.09041 ± 0.00050,1432 ± 11,4.104 ± 0.084,9.93 ± 0.82,176.6 ± 7.2,12.18 ± 0.92,0.967878,0.0368138
Temora2,,-,,,,,,,1288 ± 53,307 ± 24,64800 ± 1700,3777 ± 100,11590 ± 250,253000 ± 13000,1223000 ± 51000,8870 ± 370,1566000 ± 52000,0 ± 0.0E+0,1.00E+0 ± 0,160 ± 53,30 ± 24,64500 ± 1700,3561 ± 100,11050 ± 250,253000 ± 13000,1223000 ± 51000,8870 ± 370,1564000 ± 52000,5.22 ± 0.38,160 ± 53,30 ± 24,64500 ± 1700,3561 ± 100,11050 ± 250,253000 ± 13000,1223000 ± 51000,8870 ± 370,1564000 ± 52000,0.0542 ± 0.0013,339.8 ± 8.1,0.412 ± 0.010,349.3 ± 7.5,0.0465 ± 0.0023,916 ± 44,0.02708 ± 0.00066,172.2 ± 4.1,0.2059 ± 0.0052,189.8 ± 4.4,0.0232 ± 0.0011,464 ± 23,0.05523 ± 0.00065,414 ± 27,0.0653 ± 0.0016,407.6 ± 9.6,0.493 ± 0.013,406.1 ± 8.5,0.00648 ± 0.00032,130.5 ± 6.4,0.05489 ± 0.00064,403 ± 26,15.59 ± 0.37,3.99 ± 0.29,153.4 ± 6.4,25.0 ± 1.3,0.886034,0.155264
Temora2,,-,,,,,,,1324 ± 56,319 ± 22,72400 ± 4000,4250 ± 230,11110 ± 520,223000 ± 13000,1324000 ± 88000,9600 ± 640,1650000 ± 100000,0 ± 0.0E+0,1.00E+0 ± 0,181 ± 56,35 ± 22,72100 ± 4000,4020 ± 230,10520 ± 520,223000 ± 13000,1324000 ± 88000,9600 ± 640,1650000 ± 100000,6.12 ± 0.41,181 ± 56,35 ± 22,72100 ± 4000,4020 ± 230,10520 ± 520,223000 ± 13000,1324000 ± 88000,9600 ± 640,1650000 ± 100000,0.0557 ± 0.0012,349.4 ± 7.4,0.427 ± 0.010,361.0 ± 7.5,0.0491 ± 0.0027,967 ± 51,0.02786 ± 0.00061,177.1 ± 3.8,0.2133 ± 0.0051,196.7 ± 4.4,0.0246 ± 0.0013,490 ± 26,0.05550 ± 0.00062,429 ± 24,0.0647 ± 0.0014,404.2 ± 8.5,0.492 ± 0.012,406.7 ± 8.3,0.00709 ± 0.00039,142.8 ± 7.7,0.05516 ± 0.00062,415 ± 24,15.59 ± 0.36,5.27 ± 0.35,173 ± 11,26.2 ± 1.5,0.889503,0.0206917
TANBR,,-,,,,,,,1301 ± 45,337 ± 25,351000 ± 18000,58100 ± 3000,76700 ± 4200,280000 ± 18000,920000 ± 60000,6670 ± 430,1694000 ± 98000,0 ± 0.0E+0,1.00E+0 ± 0,156 ± 45,53 ± 25,350000 ± 18000,57900 ± 3000,76100 ± 4200,280000 ± 18000,920000 ± 60000,6670 ± 430,1691000 ± 98000,3.54 ± 0.23,156 ± 45,53 ± 25,350000 ± 18000,57900 ± 3000,76100 ± 4200,280000 ± 18000,920000 ± 60000,6670 ± 430,1691000 ± 98000,0.3943 ± 0.0094,2137 ± 43,9.00 ± 0.22,2331 ± 23,0.291 ± 0.016,4990 ± 200,0.1972 ± 0.0047,1158 ± 25,4.50 ± 0.11,1726 ± 21,0.1455 ± 0.0082,2660 ± 120,0.16539 ± 0.00062,2510.3 ± 6.3,0.456 ± 0.011,2416 ± 48,10.35 ± 0.26,2459 ± 23,0.0421 ± 0.0024,809 ± 37,0.16437 ± 0.00062,2499.8 ± 6.3,2.215 ± 0.056,3.06 ± 0.20,120.5 ± 7.8,33.6 ± 2.2,0.980777,0.0532038
9453,,-,,,,,,,1319 ± 60,314 ± 21,3063 ± 68,361 ± 12,1147 ± 55,116300 ± 7600,379000 ± 16000,2750 ± 120,506000 ± 17000,0 ± 0.0E+0,1.00E+0 ± 0,172 ± 60,29 ± 21,2731 ± 68,119 ± 12,541 ± 55,116300 ± 7600,379000 ± 16000,2750 ± 120,503000 ± 17000,3.70 ± 0.34,172 ± 60,29 ± 21,2731 ± 68,119 ± 12,541 ± 55,116300 ± 7600,379000 ± 16000,2750 ± 120,503000 ± 17000,0.00742 ± 0.00031,47.6 ± 2.0,0.0444 ± 0.0049,43.8 ± 4.7,0.00521 ± 0.00066,105 ± 13,0.00371 ± 0.00015,23.86 ± 0.99,0.0222 ± 0.0024,22.2 ± 2.4,0.00261 ± 0.00033,52.6 ± 6.7,0.0435 ± 0.0046,670 ± 140,0.00851 ± 0.00035,54.6 ± 2.3,0.0505 ± 0.0055,49.7 ± 5.3,0.000759 ± 0.000096,15.3 ± 1.9,0.0432 ± 0.0045,660 ± 140,121.8 ± 5.2,3.22 ± 0.29,50.1 ± 2.1,14.48 ± 0.95,0.460701,0.041545
